model;method;k;mask_mode;f1_original;f1_masked;f1_drop;acc_original;acc_masked;acc_drop;probability_shift;zones_removed
mlp;SMX;1;zero;0.447179;0.566275;-0.119095;0.44;0.56;-0.12;0.189149;Pb-212
mlp;SMX;2;zero;0.447179;0.381333;0.065846;0.44;0.36;0.08;0.145019;"Pb-212; Pb-214"
mlp;SMX;3;zero;0.447179;0.57445;-0.12727;0.44;0.56;-0.12;0.165835;"Pb-212; Pb-214; Tl-208"
mlp;SMX;4;zero;0.447179;0.6;-0.152821;0.44;0.6;-0.16;0.175648;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208"
mlp;SMX;5;zero;0.447179;0.487415;-0.040236;0.44;0.48;-0.04;0.150437;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; K-40"
mlp;SMX;6;zero;0.447179;0.531667;-0.084487;0.44;0.52;-0.08;0.194622;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; K-40; Ac-228"
mlp;SMX;7;zero;0.447179;0.551619;-0.10444;0.44;0.56;-0.12;0.213978;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; K-40; Ac-228; background 1"
mlp;SMX;8;zero;0.447179;0.52;-0.072821;0.44;0.52;-0.08;0.228978;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; K-40; Ac-228; background 1; background 2"
mlp;SMX;9;zero;0.447179;0.550476;-0.103297;0.44;0.68;-0.24;0.204797;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; K-40; Ac-228; background 1; background 2; Bi-214"
mlp;SHAP;1;zero;0.447179;0.566275;-0.119095;0.44;0.56;-0.12;0.189149;Pb-212
mlp;SHAP;2;zero;0.447179;0.381333;0.065846;0.44;0.36;0.08;0.145019;"Pb-212; Pb-214"
mlp;SHAP;3;zero;0.447179;0.44;0.007179;0.44;0.44;0.0;0.206761;"Pb-212; Pb-214; Ac-228 + Tl-208"
mlp;SHAP;4;zero;0.447179;0.6;-0.152821;0.44;0.6;-0.16;0.175648;"Pb-212; Pb-214; Ac-228 + Tl-208; Tl-208"
mlp;SHAP;5;zero;0.447179;0.633143;-0.185963;0.44;0.64;-0.2;0.194221;"Pb-212; Pb-214; Ac-228 + Tl-208; Tl-208; background 1"
mlp;SHAP;6;zero;0.447179;0.68;-0.232821;0.44;0.68;-0.24;0.23193;"Pb-212; Pb-214; Ac-228 + Tl-208; Tl-208; background 1; Ac-228"
mlp;SHAP;7;zero;0.447179;0.551619;-0.10444;0.44;0.56;-0.12;0.213978;"Pb-212; Pb-214; Ac-228 + Tl-208; Tl-208; background 1; Ac-228; K-40"
mlp;SHAP;8;zero;0.447179;0.58254;-0.13536;0.44;0.6;-0.16;0.214295;"Pb-212; Pb-214; Ac-228 + Tl-208; Tl-208; background 1; Ac-228; K-40; Bi-214"
mlp;SHAP;9;zero;0.447179;0.550476;-0.103297;0.44;0.68;-0.24;0.204797;"Pb-212; Pb-214; Ac-228 + Tl-208; Tl-208; background 1; Ac-228; K-40; Bi-214; background 2"
mlp;Permutation;1;zero;0.447179;0.566275;-0.119095;0.44;0.56;-0.12;0.189149;Pb-212
mlp;Permutation;2;zero;0.447179;0.381333;0.065846;0.44;0.36;0.08;0.145019;"Pb-212; Pb-214"
mlp;Permutation;3;zero;0.447179;0.57445;-0.12727;0.44;0.56;-0.12;0.165835;"Pb-212; Pb-214; Tl-208"
mlp;Permutation;4;zero;0.447179;0.6;-0.152821;0.44;0.6;-0.16;0.175648;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208"
mlp;Permutation;5;zero;0.447179;0.52;-0.072821;0.44;0.52;-0.08;0.202618;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228"
mlp;Permutation;6;zero;0.447179;0.531667;-0.084487;0.44;0.52;-0.08;0.186417;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; Bi-214"
mlp;Permutation;7;zero;0.447179;0.566275;-0.119095;0.44;0.56;-0.12;0.216458;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; Bi-214; background 1"
mlp;Permutation;8;zero;0.447179;0.58254;-0.13536;0.44;0.6;-0.16;0.214295;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; Bi-214; background 1; K-40"
mlp;Permutation;9;zero;0.447179;0.550476;-0.103297;0.44;0.68;-0.24;0.204797;"Pb-212; Pb-214; Tl-208; Ac-228 + Tl-208; Ac-228; Bi-214; background 1; K-40; background 2"
