A;5.59;4.87;6.64;10.46;16.13;22.6;27.77;31.58;32.35;33.19;33.37;33.45;31.68;27.13;20.1;13.89;8.13;4.84;2.85;1.94;1.78
A;4.52;3.78;5.22;8.03;11.7;15.87;20.57;22.97;26.6;28.68;31.59;33.28;32.13;27.75;21.38;14.1;8.34;4.94;2.89;2.23;1.79
A;5.29;4.68;6.08;9.24;14.23;19.53;24.72;28.35;30.58;32.66;35.15;35.91;34.82;30.14;22.54;15.42;9.12;5.11;3.07;2.18;1.97
A;6.47;5.53;7.33;11.95;17.91;24.96;30.49;33.53;33.62;32.75;31.75;30.2;27.66;22.88;17.5;11.66;7.18;4.23;2.64;1.88;1.79
A;5.01;4.3;5.64;8.65;13.41;18.78;22.82;26.41;28.84;30.86;32.78;33.59;32.36;27.76;21.69;14.81;8.45;5.06;3.06;2.14;1.85
A;6.51;5.76;7.73;12.5;18.99;26.25;31.98;35.38;34.81;32.93;31.06;29.06;26.14;21.95;16.25;11.02;6.7;4.01;2.47;1.79;1.65
A;5.17;4.54;6.07;9.2;14.11;19.82;24.48;27.88;30.5;32.61;34.62;35.67;34.04;29.21;22.71;14.99;9.13;5.19;2.98;2.19;1.76
A;5.97;5.24;6.89;11.22;16.99;23.15;28.95;31.96;33.1;33.17;33.44;32.55;30.39;25.55;20.07;13.06;7.95;4.36;2.83;2.02;1.72
A;5.1;4.43;5.93;9.17;13.47;19.28;23.57;26.52;28.14;29.36;30.97;31.29;29.39;25.03;19.79;12.99;7.67;4.65;2.97;1.98;1.96
B;4.93;4.48;5.79;9.01;13.75;19.41;24.97;30.33;35.74;43.22;49.69;54.86;54.56;48.46;36.18;23.83;14.0;7.5;4.15;2.49;1.96
B;4.41;4.21;5.56;8.22;13.18;18.24;22.59;26.58;29.97;33.8;37.93;40.27;39.34;34.22;25.29;16.47;9.53;5.24;3.09;2.19;1.95
B;4.17;4.06;5.55;8.74;13.14;18.42;24.04;29.52;36.35;44.8;53.12;58.9;57.31;48.38;35.7;21.78;12.25;6.44;3.63;2.45;2.08
B;4.57;4.08;5.43;8.42;12.86;18.07;23.92;28.42;34.02;41.45;48.32;53.41;53.86;46.99;36.41;23.56;13.68;7.54;3.97;2.46;2.1
B;4.54;3.8;5.19;7.91;11.95;16.35;20.99;25.61;30.07;35.28;41.23;45.77;44.63;39.2;30.48;20.2;11.71;6.56;3.72;2.42;2.07
B;5.17;4.85;7.23;11.4;17.5;24.28;29.64;33.96;35.65;38.37;40.7;41.83;40.19;32.62;23.86;15.24;8.75;4.83;2.93;1.93;1.82
B;3.45;3.13;3.94;5.63;8.83;12.31;16.8;22.52;30.25;40.26;52.35;60.09;61.12;54.06;41.3;26.95;15.73;8.65;4.55;2.9;2.28
B;3.42;3.33;4.57;6.93;10.3;14.38;19.41;24.28;31.54;41.1;50.2;57.71;56.8;48.57;35.81;22.88;13.0;6.82;3.72;2.47;2.02
B;3.11;3.16;4.42;6.61;10.12;14.13;18.89;23.65;30.62;39.53;49.12;55.09;54.07;45.5;33.06;20.44;11.27;6.0;3.29;2.42;2.05
B;3.92;3.5;4.68;7.14;10.47;14.41;18.33;22.64;27.28;33.1;39.18;43.67;43.52;37.74;29.01;19.35;11.77;6.38;3.46;2.41;2.06
B;4.52;3.96;5.48;8.36;12.71;18.12;23.21;28.81;34.77;41.96;50.48;55.87;55.45;48.92;37.75;24.66;14.51;7.74;4.23;2.61;2.1
B;4.03;3.98;5.8;8.75;13.11;18.35;24.11;29.03;34.68;42.44;50.51;55.77;55.29;48.4;34.84;22.82;12.92;6.76;3.72;2.46;2.04
B;3.43;3.06;3.91;5.68;8.42;11.87;16.57;22.85;31.29;43.44;56.83;65.33;66.45;59.16;45.38;29.76;17.4;9.4;4.89;2.98;2.29
B;5.05;4.22;5.76;9.04;13.61;19.21;24.46;28.6;32.22;36.53;40.64;43.17;42.04;36.65;27.53;18.52;10.92;6.02;3.39;2.23;1.87
B;3.67;3.18;4.07;5.93;9.16;12.85;16.69;21.17;26.51;33.87;40.59;46.4;46.85;41.02;31.66;21.18;12.32;6.69;3.81;2.47;2.12
B;4.67;4.25;5.3;8.18;12.57;17.6;22.31;26.33;30.29;34.84;38.7;42.28;41.66;36.7;27.58;18.18;10.97;6.14;3.56;2.36;1.88
B;4.1;4.09;5.89;9.35;14.37;19.95;24.48;28.83;31.93;36.14;40.85;43.36;41.36;35.24;25.28;15.9;8.54;4.74;2.95;1.99;1.81
B;5.6;4.83;6.6;9.99;15.04;21.15;26.34;29.85;33.11;35.09;38.15;39.78;38.35;32.89;24.83;16.72;10.02;5.67;3.27;2.17;1.92
B;4.29;3.77;5.24;7.8;11.97;16.94;22.16;27.83;34.92;42.94;51.5;58.0;57.16;50.33;38.03;25.03;14.73;7.36;4.29;2.58;2.23
B;4.48;4.11;5.32;8.3;12.27;17.08;22.48;27.27;32.3;38.48;45.26;49.49;49.96;43.1;32.85;21.85;12.7;7.08;3.9;2.42;2.05
B;3.62;3.53;4.78;7.67;11.13;15.84;21.43;27.99;36.27;47.63;58.69;65.77;65.7;56.98;41.29;25.78;14.34;7.57;3.89;2.51;2.14
B;3.44;3.2;4.32;6.53;9.69;13.56;17.95;24.2;31.77;42.07;53.04;60.85;60.8;52.8;39.73;25.88;14.76;7.49;4.24;2.5;2.2
B;4.49;4.2;5.83;9.26;13.74;19.15;23.99;29.85;36.22;43.32;52.48;57.43;56.25;46.96;35.44;22.54;12.57;6.75;3.68;2.42;1.98
B;3.67;3.74;5.46;8.2;12.44;17.31;23.28;30.56;39.68;52.42;66.56;74.67;72.82;61.95;44.35;26.92;14.86;7.2;3.94;2.5;2.24
B;4.48;4.44;6.46;10.25;15.17;20.79;26.66;31.23;35.7;42.3;48.21;52.59;50.34;42.63;31.17;19.34;11.15;5.68;3.3;2.22;1.87
B;4.71;4.18;5.61;8.67;12.94;18.16;23.59;28.97;35.03;42.75;50.49;56.15;56.59;49.29;38.07;24.85;14.5;7.91;4.37;2.66;2.05
B;5.08;4.54;6.02;9.4;14.24;19.94;25.43;30.43;34.54;39.69;44.68;48.16;47.9;41.73;31.98;20.58;12.24;6.5;3.7;2.43;2.03
B;3.82;3.95;5.28;8.36;12.28;17.38;21.78;26.01;30.1;35.62;40.62;43.69;41.99;36.14;26.35;16.55;9.37;5.31;3.1;2.26;1.99
B;3.77;3.91;5.45;8.63;12.97;17.58;23.08;27.33;32.16;38.24;45.15;49.5;47.82;40.09;29.13;18.46;10.38;5.38;2.99;2.15;1.92
B;3.43;3.7;4.88;7.71;11.61;16.3;21.02;26.03;32.66;40.98;49.82;55.04;53.48;45.14;32.4;20.95;11.21;6.08;3.41;2.21;2.07
B;4.84;4.12;5.43;8.52;12.6;17.88;22.86;28.01;33.1;39.89;45.62;50.54;50.3;43.97;33.66;22.07;13.05;7.23;4.04;2.51;2.23
B;3.96;3.73;5.31;7.82;12.02;16.91;21.56;26.06;30.7;38.23;44.72;48.63;48.07;41.27;30.92;19.73;11.37;6.24;3.63;2.28;2.02
B;5.53;4.87;6.26;10.1;15.25;21.43;27.25;32.12;37.49;42.97;49.17;52.95;52.05;45.37;34.3;22.19;13.04;7.0;4.0;2.34;1.99
B;5.16;4.83;6.66;10.49;15.6;22.22;28.11;32.93;37.86;42.44;48.71;52.38;50.85;43.21;32.68;21.05;12.1;6.37;3.39;2.39;1.93
B;3.77;3.68;5.05;7.65;11.62;16.44;21.43;25.78;31.17;38.77;46.38;51.29;50.06;42.63;31.41;19.64;11.22;5.91;3.29;2.42;2.01
B;5.25;4.48;5.75;8.96;13.59;18.73;24.28;28.16;32.31;36.36;40.95;43.75;43.15;37.23;28.66;19.1;11.36;6.18;3.41;2.33;2.09
B;4.01;4.03;5.61;8.77;13.02;18.39;23.91;29.07;36.09;45.16;53.68;59.03;57.43;49.03;36.33;22.63;12.81;6.55;3.45;2.49;2.01
B;5.15;4.55;6.08;9.5;14.5;19.98;26.58;31.97;37.89;45.19;53.15;58.3;57.61;50.35;37.96;25.09;14.27;7.66;4.24;2.63;2.21
B;3.92;3.95;5.33;8.28;12.26;16.8;22.23;26.59;31.73;38.26;45.2;50.36;48.37;42.2;31.24;19.65;11.24;6.06;3.41;2.4;2.02
B;3.6;3.36;4.74;7.21;11.17;15.65;20.92;26.98;35.98;47.75;60.66;68.61;67.5;58.46;42.77;26.89;15.23;7.91;4.1;2.62;2.26
B;4.05;3.56;4.92;6.95;10.54;14.97;19.44;24.0;29.86;37.94;46.18;51.52;52.32;45.89;34.39;23.81;13.73;7.36;4.11;2.62;2.11
B;4.86;4.65;7.04;10.57;16.71;23.01;28.31;32.81;36.61;40.3;44.86;48.07;46.03;38.85;28.09;18.28;10.26;5.5;3.02;2.13;1.86
B;5.31;4.67;6.36;9.65;14.73;20.94;26.92;31.76;36.74;42.94;49.21;53.67;53.28;46.05;34.77;23.44;13.64;7.28;3.94;2.52;2.02
B;4.89;4.06;5.37;8.36;12.51;17.91;23.72;30.38;38.26;47.47;59.3;67.41;67.48;58.87;45.52;30.04;17.0;9.18;4.7;3.05;2.35
B;4.01;3.44;4.51;6.74;10.3;14.54;18.69;24.04;30.01;37.43;46.54;52.64;52.85;46.66;35.6;23.73;13.97;7.55;4.08;2.45;2.17
B;3.2;3.23;4.37;6.65;10.42;14.24;18.81;24.11;31.64;41.14;51.83;58.85;57.29;48.61;35.76;22.54;12.13;6.49;3.56;2.44;2.02
B;3.79;3.41;4.6;6.57;10.16;14.36;19.47;26.21;35.0;46.69;58.92;67.16;69.24;59.96;45.54;30.13;17.6;9.26;4.87;2.76;2.29
B;4.08;3.5;4.93;7.13;10.76;15.39;20.15;26.6;33.22;42.86;52.72;60.53;61.34;53.43;40.85;26.28;15.4;8.19;4.52;2.68;2.2
B;3.57;3.16;4.14;6.31;8.81;12.74;17.4;23.03;31.09;41.05;52.19;59.97;61.03;53.85;41.62;27.27;16.22;8.48;4.48;2.87;2.29
B;4.01;3.73;5.45;8.15;12.21;17.06;22.37;28.19;35.81;44.41;53.33;60.24;59.65;51.61;38.4;24.54;13.67;7.13;3.89;2.51;2.05
B;4.95;4.27;5.83;9.05;13.4;19.03;24.05;28.18;31.03;34.17;37.67;40.27;39.5;33.55;25.82;17.2;10.09;5.52;3.21;2.27;1.95
B;3.49;3.28;4.45;6.57;10.16;14.59;19.54;26.05;35.64;47.9;60.78;69.62;69.85;60.19;44.61;28.38;15.69;8.14;4.19;2.57;2.16
B;3.31;3.35;4.51;6.8;9.72;13.85;18.15;22.84;28.95;37.53;45.9;51.28;49.82;43.6;31.77;20.1;11.29;5.96;3.25;2.4;2.13
