Class;1.64;1.66;1.68;1.7;1.72;1.74;1.76;1.78;1.8;1.82;1.84;1.86
A;1.59;2.97;6.06;10.45;14.16;15.34;13.58;9.65;5.64;3.09;1.93;1.42
A;1.79;3.17;6.02;10.09;13.87;15.44;13.6;9.64;5.77;3.14;2.03;1.54
A;1.64;2.79;5.79;9.8;13.82;15.12;12.99;9.48;5.55;3.2;1.88;1.47
A;1.75;2.91;6.2;10.18;14.54;15.69;13.37;9.47;5.65;3.18;1.98;1.44
A;1.78;3.41;6.71;11.94;16.62;17.57;15.53;11.13;6.78;3.66;2.2;1.5
A;1.68;3.32;6.65;11.15;15.36;16.69;14.52;10.28;6.19;3.56;2.05;1.49
A;1.87;3.31;6.72;11.56;15.19;17.35;15.09;10.22;6.12;3.62;2.24;1.46
A;1.63;2.85;5.78;9.82;13.78;14.77;13.08;9.02;5.46;3.01;2.01;1.39
A;1.58;2.64;5.25;9.15;12.76;13.97;12.04;8.53;5.11;3.02;1.92;1.28
A;1.46;2.43;4.89;8.2;11.18;12.31;10.54;7.6;4.64;2.79;1.62;1.35
A;1.83;3.17;6.19;10.83;14.57;15.85;14.01;9.75;6.01;3.43;2.03;1.49
A;1.7;2.96;5.39;9.56;13.09;13.89;12.45;8.67;5.18;3.0;1.86;1.31
A;1.85;3.02;6.56;11.03;15.2;16.47;14.22;9.96;6.05;3.4;2.18;1.53
A;1.81;3.08;6.06;10.68;14.75;15.77;13.72;9.63;5.83;3.24;2.07;1.46
A;1.82;2.98;5.92;9.8;13.69;14.72;13.13;9.31;5.69;3.08;1.96;1.46
A;1.79;3.3;6.36;10.87;14.72;16.05;14.35;9.89;5.89;3.33;2.16;1.48
A;1.63;2.8;5.66;9.51;13.33;14.23;12.58;8.9;5.42;2.98;1.93;1.38
A;1.87;3.48;7.11;12.51;17.27;19.04;16.52;11.31;6.71;3.96;2.34;1.6
A;1.44;2.64;5.15;9.21;12.43;13.55;11.7;8.27;5.02;2.89;1.81;1.32
A;1.6;2.87;6.14;10.29;14.2;15.56;13.44;9.35;5.77;3.29;2.0;1.29
A;1.74;3.53;6.9;12.26;16.39;17.97;15.36;11.05;6.21;3.53;2.2;1.47
A;1.73;3.14;6.33;10.46;14.8;16.24;14.1;10.04;5.94;3.35;2.01;1.46
A;1.48;3.2;6.67;11.04;15.7;16.91;14.68;10.08;6.16;3.44;2.04;1.36
A;1.71;3.07;6.11;10.45;14.15;15.65;13.76;9.72;5.63;3.18;1.98;1.38
A;1.61;2.94;5.64;9.57;13.05;14.26;12.63;8.81;5.54;3.19;1.86;1.44
