Class;21.49;21.52;21.54;21.57;21.59;21.62;21.64;21.67;21.70;21.72;21.75;21.77;21.80;21.82;21.85;21.87;21.90;21.93;21.95;21.98;22.00;22.03;22.05;22.08;22.10;22.13;22.16;22.18;22.21;22.23;22.26;22.28;22.31;22.33;22.36;22.39;22.41;22.44;22.46;22.49;22.51;22.54;22.56;22.59;22.62
A;434.737;407.579;398.737;442.947;422.263;410.579;415.316;403.632;413.684;428.526;474.368;557.105;601.0;722.474;817.211;1073.0;1295.0;1503.0;1839.0;2166.0;2278.0;2601.0;2823.0;3037.0;3275.0;3307.0;3301.0;3105.0;2869.0;2701.0;2244.0;1914.0;1582.0;1224.0;966.0;696.0;561.105;477.105;416.632;366.421;330.421;338.947;313.526;288.579;300.421
A;414.526;415.684;412.895;421.737;431.474;443.474;442.053;457.105;471.632;474.789;568.368;608.368;714.158;906.789;1058.26;1369.0;1517.74;1756.84;1988.63;2312.0;2566.32;2794.89;2941.74;3148.58;3257.95;3300.58;3325.32;3178.42;2923.89;2649.42;2284.47;1871.42;1528.16;1253.32;1025.0;746.474;584.263;506.368;435.0;405.737;344.895;324.053;318.316;307.789;291.211
A;464.474;463.737;450.316;442.105;465.316;454.579;446.053;467.526;473.211;510.789;590.579;644.368;793.895;902.526;1070.05;1251.0;1541.84;1787.05;2006.84;2315.37;2596.53;2811.95;2986.89;3180.11;3245.05;3261.63;3277.84;3174.58;2957.0;2598.42;2224.95;1926.37;1520.89;1219.68;1016.0;782.947;567.789;521.263;433.316;409.526;377.526;332.053;325.579;310.316;298.474
A;448.526;448.211;448.316;445.474;434.158;427.526;460.211;487.579;476.0;485.789;528.053;624.053;779.105;889.0;1108.16;1381.0;1499.42;1792.32;2044.95;2341.0;2554.16;2811.95;2978.37;3118.42;3237.37;3249.21;3239.0;3149.68;2885.37;2660.95;2259.37;1813.95;1493.84;1163.74;907.0;756.421;572.105;457.895;386.105;372.947;342.421;328.105;338.842;318.0;318.526
A;425.737;431.526;425.053;408.0;415.474;420.211;416.421;415.895;418.895;446.053;497.211;555.737;638.474;724.579;899.211;1047.0;1258.26;1454.32;1758.95;2009.37;2255.05;2479.32;2766.37;2977.11;3157.95;3321.84;3381.63;3317.68;3123.47;2875.89;2668.84;2322.74;1947.68;1650.79;1251.0;920.368;732.895;591.737;481.368;392.421;356.0;355.053;327.316;300.789;300.316
A;442.0;437.0;438.0;449.0;417.0;385.0;405.0;421.0;416.0;430.0;470.0;504.0;640.0;747.0;809.0;1115.0;1265.0;1622.0;1781.0;2074.0;2326.0;2645.0;2969.0;2999.0;3243.0;3398.0;3330.0;3336.0;3078.0;2739.0;2313.0;1995.0;1586.0;1253.0;978.0;743.053;579.684;466.0;414.053;357.842;340.316;334.947;330.842;320.0;310.526
A;435.368;420.105;434.895;419.105;426.0;418.842;410.789;416.158;421.316;466.789;520.737;586.947;648.368;770.895;898.0;1060.0;1289.0;1543.0;1804.0;2042.0;2445.0;2608.0;2904.0;3030.0;3188.0;3262.0;3334.0;3265.0;3040.0;2597.0;2323.0;1946.0;1536.0;1201.0;884.0;782.632;559.579;475.895;397.895;362.316;360.105;317.789;299.526;287.105;290.421
A;439.0;450.0;427.0;427.0;445.0;439.0;417.0;448.0;453.0;445.0;524.0;551.0;640.0;749.0;902.0;1059.0;1359.0;1616.0;1811.0;2053.0;2404.0;2633.0;2895.0;3006.0;3250.0;3319.0;3327.0;3122.0;2945.0;2749.0;2332.0;1978.0;1598.0;1235.0;909.0;709.316;563.842;489.421;402.263;336.474;306.684;306.0;305.579;298.842;290.947
A;485.895;455.368;461.789;442.789;466.789;451.158;436.947;432.263;427.421;459.421;488.474;501.895;540.211;639.158;736.211;875.0;1091.95;1243.58;1546.32;1768.16;2087.11;2317.05;2520.11;2732.68;2975.95;3191.95;3259.84;3275.89;3290.74;3116.32;2954.32;2593.05;2270.63;1999.79;1618.0;1289.26;980.211;766.632;626.421;513.263;413.895;366.842;362.632;361.263;343.263
