Class;6.161;6.166;6.171;6.176;6.181;6.186;6.191;6.196;6.201;6.206;6.211;6.216;6.221;6.226;6.231;6.236;6.241;6.246;6.251;6.256;6.261;6.266;6.271;6.276;6.281;6.286;6.291;6.296;6.301;6.306;6.311;6.316;6.321;6.326;6.331;6.336;6.341;6.346;6.351;6.356;6.361;6.366;6.371;6.376;6.381;6.386;6.391;6.396;6.401;6.406;6.411;6.416;6.421;6.426;6.431;6.436;6.441;6.446;6.451;6.456;6.461;6.466;6.471;6.476;6.481;6.486;6.491;6.496;6.501;6.506;6.511;6.516;6.521;6.526;6.531;6.536;6.541;6.546;6.551;6.556;6.561;6.566;6.571;6.576;6.581;6.586;6.591;6.596;6.601;6.606;6.611;6.616;6.621;6.626;6.631;6.636;6.641;6.646;6.651;6.656;6.661;6.666;6.671;6.676;6.681;6.686;6.691;6.696;6.701;6.706;6.712;6.717;6.722;6.727;6.732
A;46.0;38.0;37.0;50.0;41.0;55.0;36.0;57.0;60.0;52.0;61.0;68.0;70.0;84.0;76.0;84.0;86.0;81.0;95.0;121.0;134.0;133.0;151.0;207.0;157.0;211.0;241.0;236.0;300.0;306.0;367.0;377.0;440.0;471.0;515.0;529.0;580.0;621.0;651.0;722.0;732.0;757.0;778.0;793.0;850.0;866.0;833.0;861.0;900.0;851.0;848.0;829.0;779.0;748.0;751.0;752.0;673.0;632.0;627.0;614.0;570.0;499.0;412.0;448.0;407.0;350.0;328.0;277.0;270.0;242.0;202.0;204.0;161.0;157.0;133.0;100.0;102.0;118.0;84.0;74.0;86.0;69.0;68.0;71.0;47.0;63.0;44.0;48.0;41.0;37.0;47.0;33.0;44.0;47.0;38.0;42.0;31.0;46.0;38.0;44.0;46.0;43.0;38.0;50.0;33.0;37.0;31.0;45.0;38.0;46.0;37.0;40.0;28.0;38.0;37.0
A;40.0;27.0;45.0;43.0;39.0;46.0;59.0;49.0;65.0;75.0;82.0;98.0;90.0;114.0;127.0;156.0;174.0;206.0;211.0;226.0;273.0;330.0;336.0;415.0;429.0;536.0;529.0;645.0;695.0;809.0;859.0;913.0;943.0;1071.0;1192.0;1304.0;1331.0;1449.0;1513.0;1517.0;1668.0;1663.0;1626.0;1726.0;1778.0;1734.0;1754.0;1693.0;1734.0;1691.0;1640.0;1581.0;1569.0;1487.0;1446.0;1264.0;1249.0;1160.0;1072.0;997.0;886.0;854.0;808.0;698.0;624.0;542.0;523.0;457.0;426.0;319.0;314.0;237.0;232.0;198.0;188.0;137.0;119.0;93.0;81.0;88.0;81.0;72.0;63.0;58.0;52.0;38.0;41.0;53.0;27.0;37.0;34.0;39.0;27.0;33.0;33.0;23.0;31.0;37.0;27.0;33.0;41.0;30.0;32.0;41.0;23.0;44.0;23.0;33.0;35.0;38.0;26.0;30.0;24.0;28.0;39.0
A;38.0;38.0;40.0;39.0;43.0;43.0;42.0;48.0;56.0;66.0;72.0;68.0;72.0;79.0;69.0;73.0;106.0;113.0;125.0;176.0;167.0;193.0;209.0;265.0;267.0;303.0;348.0;351.0;416.0;434.0;484.0;547.0;539.0;604.0;643.0;725.0;749.0;777.0;802.0;828.0;838.0;886.0;954.0;947.0;961.0;945.0;939.0;917.0;907.0;841.0;902.0;812.0;842.0;744.0;689.0;656.0;658.0;629.0;592.0;527.0;488.0;463.0;398.0;355.0;325.0;256.0;267.0;231.0;224.0;171.0;159.0;153.0;147.0;97.0;96.0;86.0;84.0;67.0;87.0;63.0;44.0;52.0;35.0;46.0;40.0;33.0;50.0;45.0;41.0;31.0;35.0;35.0;25.0;29.0;31.0;31.0;32.0;33.0;29.0;34.0;33.0;30.0;33.0;39.0;42.0;24.0;35.0;22.0;39.0;28.0;37.0;35.0;37.0;32.0;39.0
A;31.0;42.0;32.0;40.0;53.0;37.0;45.0;44.0;66.0;57.0;57.0;73.0;64.0;84.0;86.0;102.0;108.0;139.0;148.0;144.0;194.0;217.0;259.0;242.0;312.0;362.0;379.0;450.0;480.0;549.0;576.0;623.0;723.0;739.0;832.0;920.0;997.0;917.0;1064.0;1076.0;1162.0;1163.0;1193.0;1211.0;1236.0;1292.0;1294.0;1132.0;1232.0;1155.0;1164.0;1131.0;1021.0;1092.0;987.0;947.0;914.0;870.0;813.0;739.0;675.0;602.0;551.0;498.0;410.0;416.0;352.0;328.0;290.0;252.0;238.0;214.0;202.0;149.0;128.0;118.0;94.0;88.0;83.0;71.0;52.0;75.0;50.0;45.0;46.0;45.0;46.0;31.0;34.0;40.0;26.0;24.0;27.0;20.0;23.0;29.0;37.0;24.0;23.0;21.0;30.0;25.0;29.0;28.0;26.0;23.0;32.0;29.0;30.0;26.0;35.0;29.0;22.0;24.0;26.0
A;27.0;28.0;30.0;35.0;28.0;33.0;39.0;42.0;39.0;34.0;51.0;54.0;59.0;44.0;46.0;61.0;69.0;62.0;91.0;82.0;104.0;109.0;124.0;130.0;163.0;162.0;175.0;214.0;225.0;204.0;265.0;263.0;294.0;304.0;316.0;333.0;403.0;372.0;413.0;460.0;453.0;515.0;485.0;450.0;512.0;474.0;454.0;486.0;512.0;474.0;451.0;422.0;414.0;350.0;349.0;347.0;321.0;313.0;283.0;264.0;240.0;217.0;194.0;174.0;175.0;155.0;140.0;121.0;121.0;123.0;66.0;89.0;77.0;74.0;49.0;46.0;46.0;54.0;39.0;48.0;36.0;43.0;26.0;30.0;33.0;44.0;41.0;31.0;29.0;21.0;34.0;30.0;29.0;26.0;35.0;34.0;25.0;34.0;20.0;31.0;30.0;30.0;20.0;28.0;27.0;27.0;23.0;27.0;26.0;29.0;33.0;23.0;18.0;28.0;32.0
A;34.0;37.0;31.0;43.0;43.0;48.0;47.0;44.0;51.0;56.0;66.0;70.0;69.0;62.0;66.0;82.0;115.0;149.0;131.0;163.0;199.0;224.0;210.0;226.0;333.0;356.0;392.0;395.0;491.0;539.0;632.0;681.0;719.0;792.0;904.0;906.0;1051.0;972.0;1164.0;1195.0;1242.0;1304.0;1347.0;1401.0;1439.0;1463.0;1474.0;1458.0;1419.0;1517.0;1417.0;1449.0;1349.0;1250.0;1297.0;1248.0;1185.0;1086.0;1016.0;958.0;890.0;822.0;733.0;709.0;664.0;552.0;449.0;460.0;372.0;337.0;316.0;269.0;233.0;213.0;193.0;167.0;136.0;139.0;106.0;102.0;83.0;72.0;60.0;61.0;63.0;53.0;42.0;34.0;48.0;41.0;43.0;37.0;40.0;27.0;18.0;37.0;33.0;34.0;28.0;31.0;30.0;36.0;24.0;23.0;29.0;33.0;17.0;28.0;26.0;26.0;37.0;32.0;28.0;20.0;31.0
A;44.0;47.0;46.0;46.0;56.0;56.0;42.0;54.0;51.0;53.0;63.0;59.0;76.0;80.0;73.0;78.0;87.0;79.0;101.0;98.0;130.0;132.0;131.0;145.0;175.0;168.0;197.0;254.0;288.0;237.0;310.0;323.0;356.0;345.0;374.0;410.0;440.0;463.0;493.0;492.0;542.0;536.0;533.0;559.0;588.0;572.0;562.0;596.0;543.0;536.0;552.0;512.0;520.0;459.0;445.0;443.0;409.0;389.0;406.0;328.0;296.0;268.0;275.0;238.0;247.0;226.0;178.0;172.0;152.0;144.0;120.0;101.0;102.0;94.0;83.0;79.0;81.0;62.0;52.0;65.0;65.0;42.0;45.0;56.0;46.0;43.0;41.0;36.0;32.0;38.0;36.0;37.0;51.0;36.0;45.0;46.0;41.0;38.0;36.0;39.0;27.0;42.0;42.0;46.0;39.0;39.0;47.0;38.0;52.0;40.0;35.0;41.0;33.0;42.0;44.0
A;67.0;79.0;75.0;65.0;88.0;70.0;68.0;69.0;83.0;72.0;73.0;95.0;87.0;82.0;97.0;118.0;114.0;128.0;137.0;122.0;155.0;163.0;183.0;214.0;181.0;215.0;250.0;265.0;290.0;272.0;321.0;360.0;377.0;375.0;432.0;469.0;529.0;516.0;540.0;585.0;570.0;605.0;596.0;609.0;630.0;638.0;606.0;615.0;635.0;597.0;623.0;602.0;559.0;556.0;520.0;505.0;512.0;397.0;390.0;379.0;326.0;337.0;355.0;281.0;260.0;245.0;212.0;213.0;193.0;164.0;170.0;144.0;157.0;137.0;125.0;135.0;106.0;97.0;92.0;84.0;82.0;72.0;84.0;70.0;79.0;69.0;86.0;78.0;83.0;84.0;84.0;63.0;64.0;73.0;61.0;54.0;74.0;73.0;55.0;64.0;68.0;71.0;88.0;91.0;57.0;77.0;63.0;62.0;65.0;59.0;55.0;73.0;81.0;66.0;68.0
A;35.0;41.0;46.0;41.0;35.0;36.0;42.0;48.0;43.0;60.0;52.0;57.0;67.0;72.0;58.0;75.0;98.0;128.0;131.0;143.0;162.0;189.0;203.0;221.0;267.0;303.0;312.0;354.0;416.0;452.0;500.0;550.0;547.0;622.0;695.0;777.0;788.0;837.0;857.0;906.0;920.0;976.0;977.0;1014.0;1099.0;1088.0;1089.0;1033.0;1113.0;1006.0;1072.0;1011.0;944.0;945.0;910.0;899.0;848.0;810.0;701.0;645.0;636.0;617.0;534.0;472.0;441.0;371.0;341.0;307.0;304.0;259.0;198.0;196.0;178.0;157.0;156.0;104.0;122.0;95.0;78.0;78.0;73.0;54.0;47.0;53.0;46.0;50.0;30.0;41.0;52.0;34.0;47.0;25.0;37.0;30.0;36.0;36.0;26.0;36.0;29.0;28.0;32.0;29.0;43.0;32.0;21.0;30.0;30.0;36.0;22.0;36.0;42.0;25.0;35.0;19.0;31.0
