Class;7.712;7.717;7.722;7.727;7.732;7.737;7.742;7.747;7.752;7.757;7.762;7.767;7.772;7.777;7.782;7.787;7.792;7.797;7.802;7.807;7.812;7.817;7.822;7.827;7.832;7.837;7.842;7.847;7.852;7.857;7.862;7.867;7.872;7.877;7.882;7.887;7.892;7.897;7.902;7.907;7.912;7.917;7.922;7.927;7.932;7.937;7.942;7.947;7.952;7.957;7.963;7.968;7.973;7.978;7.983;7.988;7.993;7.998;8.003;8.008;8.013;8.018;8.023;8.028;8.033;8.038;8.043;8.048;8.053;8.058;8.063;8.068;8.073;8.078;8.083;8.088;8.093;8.098;8.103;8.108;8.113;8.118;8.123;8.128;8.133;8.138;8.143;8.148;8.153;8.158;8.163;8.168;8.173;8.178;8.183;8.188;8.193;8.198;8.203;8.208;8.213;8.218;8.223;8.228;8.233;8.238;8.243;8.248;8.253;8.258;8.263;8.268;8.273;8.278;8.283;8.288;8.293;8.298;8.303;8.308;8.313;8.318;8.323;8.328;8.333;8.338;8.343;8.348
A;37.0;32.0;47.0;39.0;34.0;45.0;41.0;35.0;30.0;40.0;38.0;43.0;44.0;32.0;42.0;38.0;44.0;40.0;51.0;45.0;40.0;39.0;42.0;39.0;55.0;24.0;37.0;39.0;37.0;47.0;38.0;38.0;51.0;53.0;48.0;52.0;49.0;54.0;58.0;54.0;52.0;75.0;47.0;89.0;73.0;73.0;73.0;93.0;81.0;86.0;79.0;102.0;103.0;98.0;99.0;100.0;112.0;128.0;125.0;149.0;139.0;142.0;159.0;129.0;145.0;141.0;117.0;163.0;162.0;149.0;140.0;123.0;112.0;112.0;122.0;128.0;109.0;113.0;107.0;106.0;104.0;93.0;83.0;104.0;102.0;83.0;79.0;76.0;61.0;63.0;71.0;75.0;68.0;56.0;38.0;51.0;66.0;63.0;66.0;39.0;63.0;53.0;58.0;50.0;64.0;42.0;62.0;64.0;49.0;62.0;53.0;69.0;55.0;53.0;62.0;58.0;52.0;55.0;43.0;40.0;57.0;49.0;60.0;45.0;61.0;56.0;64.0;64.0
A;34.0;39.0;34.0;30.0;41.0;32.0;35.0;31.0;33.0;37.0;26.0;24.0;42.0;35.0;41.0;37.0;41.0;39.0;34.0;52.0;40.0;38.0;42.0;44.0;45.0;51.0;53.0;71.0;59.0;59.0;61.0;82.0;105.0;117.0;126.0;143.0;146.0;177.0;206.0;205.0;247.0;250.0;291.0;308.0;359.0;357.0;417.0;425.0;480.0;495.0;537.0;566.0;603.0;601.0;593.0;696.0;727.0;705.0;770.0;715.0;769.0;782.0;820.0;787.0;770.0;775.0;790.0;765.0;724.0;746.0;717.0;682.0;656.0;595.0;591.0;551.0;538.0;468.0;452.0;444.0;386.0;348.0;309.0;280.0;286.0;225.0;211.0;204.0;197.0;171.0;143.0;134.0;141.0;118.0;110.0;103.0;83.0;94.0;66.0;87.0;60.0;81.0;66.0;72.0;75.0;93.0;69.0;68.0;60.0;63.0;71.0;63.0;61.0;62.0;56.0;67.0;59.0;52.0;53.0;64.0;59.0;58.0;54.0;36.0;43.0;49.0;39.0;45.0
A;26.0;27.0;29.0;24.0;27.0;29.0;26.0;33.0;31.0;22.0;34.0;30.0;26.0;32.0;32.0;32.0;28.0;29.0;35.0;33.0;26.0;30.0;33.0;32.0;25.0;36.0;26.0;18.0;35.0;40.0;34.0;24.0;33.0;34.0;31.0;36.0;29.0;38.0;30.0;34.0;31.0;37.0;26.0;34.0;41.0;49.0;34.0;52.0;47.0;38.0;45.0;37.0;47.0;36.0;46.0;48.0;67.0;29.0;45.0;55.0;43.0;52.0;39.0;55.0;48.0;49.0;60.0;52.0;50.0;50.0;40.0;40.0;40.0;45.0;46.0;32.0;46.0;40.0;62.0;49.0;31.0;38.0;33.0;28.0;46.0;35.0;28.0;32.0;33.0;28.0;28.0;39.0;35.0;26.0;25.0;24.0;27.0;26.0;27.0;35.0;23.0;26.0;32.0;40.0;29.0;32.0;38.0;27.0;29.0;28.0;28.0;28.0;34.0;25.0;30.0;41.0;29.0;28.0;32.0;32.0;28.0;32.0;27.0;31.0;30.0;29.0;31.0;37.0
A;20.0;27.0;23.0;27.0;20.0;17.0;29.0;22.0;26.0;24.0;23.0;20.0;18.0;24.0;27.0;27.0;24.0;36.0;23.0;31.0;21.0;18.0;18.0;27.0;25.0;30.0;17.0;34.0;31.0;33.0;31.0;27.0;40.0;33.0;46.0;26.0;42.0;53.0;38.0;51.0;54.0;68.0;63.0;68.0;61.0;64.0;84.0;88.0;85.0;103.0;89.0;96.0;93.0;91.0;92.0;112.0;125.0;128.0;126.0;120.0;136.0;130.0;142.0;134.0;156.0;146.0;167.0;129.0;114.0;113.0;126.0;116.0;124.0;108.0;107.0;108.0;89.0;67.0;83.0;72.0;79.0;65.0;83.0;53.0;73.0;50.0;56.0;48.0;55.0;48.0;38.0;34.0;38.0;43.0;30.0;41.0;32.0;40.0;35.0;26.0;36.0;38.0;35.0;31.0;36.0;40.0;31.0;41.0;30.0;45.0;35.0;33.0;30.0;40.0;26.0;37.0;32.0;26.0;33.0;34.0;25.0;21.0;31.0;21.0;33.0;20.0;32.0;21.0
A;24.0;26.0;33.0;23.0;33.0;18.0;28.0;16.0;31.0;19.0;23.0;20.0;34.0;33.0;31.0;20.0;28.0;22.0;22.0;17.0;17.0;36.0;20.0;20.0;23.0;21.0;19.0;19.0;27.0;29.0;27.0;28.0;26.0;27.0;31.0;24.0;37.0;34.0;34.0;31.0;32.0;33.0;32.0;49.0;34.0;19.0;48.0;31.0;37.0;39.0;35.0;46.0;42.0;43.0;35.0;53.0;47.0;53.0;40.0;40.0;36.0;48.0;53.0;49.0;55.0;35.0;46.0;45.0;48.0;48.0;50.0;36.0;35.0;49.0;37.0;41.0;44.0;38.0;32.0;34.0;42.0;26.0;40.0;32.0;23.0;27.0;29.0;26.0;38.0;29.0;30.0;17.0;31.0;28.0;22.0;28.0;26.0;39.0;25.0;28.0;31.0;26.0;27.0;20.0;28.0;27.0;37.0;36.0;24.0;27.0;27.0;26.0;32.0;22.0;29.0;26.0;24.0;25.0;29.0;25.0;28.0;31.0;22.0;29.0;18.0;27.0;24.0;29.0
A;25.0;29.0;23.0;27.0;21.0;22.0;23.0;19.0;26.0;23.0;29.0;27.0;22.0;19.0;32.0;22.0;28.0;24.0;26.0;23.0;24.0;24.0;31.0;21.0;16.0;23.0;24.0;22.0;24.0;30.0;28.0;24.0;35.0;27.0;23.0;31.0;35.0;33.0;33.0;32.0;30.0;37.0;31.0;36.0;32.0;37.0;59.0;49.0;36.0;54.0;53.0;59.0;49.0;67.0;58.0;76.0;47.0;54.0;69.0;83.0;58.0;70.0;60.0;73.0;67.0;64.0;69.0;88.0;74.0;58.0;66.0;62.0;57.0;68.0;57.0;62.0;47.0;56.0;60.0;51.0;59.0;51.0;47.0;42.0;45.0;36.0;34.0;43.0;39.0;45.0;39.0;39.0;30.0;25.0;33.0;33.0;26.0;23.0;28.0;30.0;19.0;25.0;28.0;29.0;29.0;21.0;31.0;37.0;34.0;29.0;29.0;38.0;25.0;32.0;29.0;24.0;32.0;26.0;22.0;31.0;20.0;21.0;21.0;32.0;19.0;25.0;33.0;29.0
A;50.0;38.0;48.0;48.0;50.0;34.0;43.0;39.0;45.0;42.0;50.0;45.0;47.0;47.0;45.0;53.0;58.0;57.0;61.0;76.0;68.0;65.0;96.0;72.0;79.0;97.0;99.0;99.0;114.0;140.0;157.0;183.0;202.0;175.0;234.0;279.0;313.0;344.0;391.0;419.0;497.0;569.0;592.0;702.0;728.0;779.0;865.0;992.0;1024.0;1144.0;1144.0;1245.0;1244.0;1349.0;1462.0;1448.0;1611.0;1560.0;1656.0;1660.0;1776.0;1720.0;1745.0;1765.0;1722.0;1710.0;1752.0;1668.0;1621.0;1657.0;1494.0;1482.0;1383.0;1408.0;1249.0;1195.0;1125.0;1090.0;1032.0;959.0;825.0;777.0;718.0;649.0;594.0;574.0;520.0;467.0;471.0;384.0;354.0;326.0;299.0;290.0;270.0;291.0;236.0;253.0;232.0;230.0;212.0;242.0;213.0;244.0;222.0;182.0;213.0;198.0;189.0;190.0;196.0;199.0;193.0;181.0;172.0;176.0;171.0;174.0;158.0;152.0;130.0;145.0;124.0;144.0;140.0;108.0;112.0;106.0
A;74.0;63.0;71.0;72.0;80.0;66.0;60.0;63.0;65.0;70.0;54.0;51.0;57.0;68.0;56.0;64.0;68.0;62.0;76.0;61.0;58.0;71.0;65.0;62.0;61.0;69.0;65.0;65.0;58.0;61.0;68.0;69.0;74.0;57.0;80.0;79.0;52.0;64.0;65.0;57.0;63.0;80.0;66.0;77.0;81.0;78.0;79.0;83.0;60.0;84.0;65.0;81.0;79.0;71.0;84.0;65.0;84.0;74.0;66.0;81.0;81.0;95.0;74.0;82.0;89.0;82.0;81.0;93.0;80.0;83.0;77.0;70.0;86.0;78.0;73.0;88.0;60.0;70.0;61.0;75.0;63.0;81.0;61.0;68.0;61.0;66.0;74.0;71.0;56.0;59.0;58.0;68.0;81.0;69.0;76.0;71.0;68.0;63.0;61.0;76.0;83.0;54.0;81.0;73.0;65.0;75.0;88.0;61.0;80.0;45.0;56.0;84.0;66.0;67.0;76.0;64.0;60.0;71.0;55.0;64.0;68.0;74.0;71.0;69.0;71.0;71.0;59.0;57.0
A;31.0;24.0;32.0;35.0;31.0;23.0;27.0;33.0;28.0;33.0;19.0;23.0;28.0;28.0;41.0;26.0;34.0;24.0;36.0;37.0;37.0;38.0;38.0;31.0;28.0;32.0;34.0;33.0;29.0;25.0;30.0;33.0;43.0;32.0;30.0;44.0;41.0;32.0;38.0;47.0;44.0;44.0;71.0;45.0;46.0;60.0;52.0;67.0;54.0;74.0;78.0;79.0;76.0;85.0;108.0;96.0;97.0;105.0;110.0;117.0;84.0;124.0;111.0;91.0;112.0;109.0;91.0;124.0;107.0;106.0;103.0;109.0;99.0;86.0;90.0;78.0;76.0;72.0;71.0;89.0;75.0;63.0;59.0;64.0;52.0;58.0;65.0;49.0;55.0;50.0;58.0;60.0;47.0;34.0;37.0;36.0;35.0;30.0;35.0;45.0;31.0;33.0;44.0;25.0;50.0;46.0;32.0;36.0;49.0;40.0;39.0;34.0;34.0;34.0;33.0;35.0;31.0;34.0;38.0;39.0;43.0;32.0;37.0;37.0;39.0;34.0;34.0;40.0
A;30.0;37.0;41.0;37.0;43.0;38.0;45.0;38.0;56.0;41.0;48.0;41.0;43.0;37.0;52.0;33.0;51.0;38.0;43.0;40.0;41.0;37.0;49.0;61.0;42.0;29.0;45.0;35.0;41.0;45.0;39.0;34.0;41.0;42.0;53.0;46.0;39.0;51.0;53.0;44.0;44.0;42.0;29.0;36.0;57.0;45.0;61.0;46.0;56.0;58.0;50.0;40.0;54.0;49.0;46.0;56.0;38.0;45.0;50.0;41.0;57.0;46.0;56.0;60.0;57.0;49.0;72.0;52.0;50.0;44.0;48.0;36.0;41.0;52.0;44.0;45.0;45.0;42.0;37.0;49.0;36.0;45.0;39.0;38.0;27.0;50.0;36.0;56.0;50.0;48.0;43.0;52.0;46.0;48.0;46.0;41.0;42.0;27.0;44.0;45.0;47.0;42.0;36.0;42.0;34.0;44.0;47.0;42.0;37.0;45.0;39.0;36.0;48.0;45.0;40.0;42.0;43.0;40.0;41.0;55.0;50.0;35.0;45.0;33.0;39.0;35.0;44.0;45.0
