energy;Permutation_importance
6.52;0.03363870661149161
4.52;0.028430525479395046
6.38;0.026253070433783627
6.46;0.021818552083745734
6.3;0.020811171970373403
6.34;0.020303455357357243
3.68;0.019257145908573192
3.7;0.01906082207341654
6.32;0.018767484133857863
6.56;0.01643201297320738
6.4;0.015704195040731374
3.64;0.015587568276156668
4.48;0.01487732561052153
6.5;0.014528659856686438
6.44;0.013677892567944572
4.54;0.011462252957919623
6.42;0.01022440117698287
5.88;0.01015883292421905
6.36;0.009522015612248393
3.66;0.009428068970559318
6.54;0.00915698280216415
7.06;0.00911883175536822
7.18;0.008052211703056963
4.46;0.007776804464416287
4.58;0.007189760041048379
7.2;0.006814177009172748
7.04;0.006799808730172824
3.72;0.006774949220898103
4.56;0.00652377789780714
6.94;0.0061952880956885874
5.98;0.006159524372552878
4.44;0.006136697995276832
1.74;0.005879688854213796
6.24;0.005878262740611531
3.6;0.00586091667835932
3.62;0.005841060277385862
5.9;0.005826703144047887
3.3;0.005804714315796266
4.5;0.0053693305020490354
6;0.00521226904625803
5.92;0.005206818497961218
7.08;0.005184625927437247
6.28;0.0049687642742079095
3.28;0.0047519695595706095
7.02;0.004751707377959154
6.48;0.004684162950376495
6.92;0.0046583682745241885
1.76;0.004596575626154981
5.86;0.004443852033156141
3.98;0.004433295928972377
5.82;0.004179903802177031
6.96;0.0040689896285615885
1.48;0.003899781031783443
4.64;0.003839513512880927
1.64;0.0037763137893898477
3.78;0.0037294986503065702
3.8;0.0037256007292681857
12.74;0.003703953678583129
12.84;0.0037001710545388595
4.86;0.0036835892167301236
6.6;0.0035852073892202302
3.34;0.0035603068586997286
1.7;0.00355920270023521
4.38;0.0034993587625979836
4.92;0.003388773214839471
2.02;0.0033530168271403544
5.38;0.003285177537272463
5.02;0.0032277036941305444
4.84;0.0031927275664011172
3.76;0.0031114250664862147
4.9;0.0030690587979509383
6.22;0.0029490068396227343
1.8;0.0029117102556470258
3.32;0.002827887981737192
4.62;0.0027839097633754273
6.58;0.00278082525217816
2.06;0.0027386140412092867
9.94;0.0026882856764453436
1.86;0.002581642707768503
3.22;0.0025430304569957645
12.82;0.0025294121168569655
6.2;0.0025036806134675323
4.6;0.00248970262954073
5.44;0.0024796998866679246
4;0.0024481780004961574
3.74;0.002424441807630803
7.22;0.002362741483278927
3.9;0.0023252784636143306
1.5;0.002322989655670547
10.12;0.0023026257875294097
6.26;0.0022981227625423913
1.52;0.0022740230939880825
4.82;0.002226981732102176
1.44;0.0022076933970065376
8.02;0.0021742568398704833
3.42;0.0021627259515077544
6.62;0.0021594985966153562
1.98;0.0021328948717483026
4.96;0.0020858307327086224
4.34;0.002081445184365154
4.06;0.002065609166126556
2.86;0.002060428802180961
1.72;0.0020168879002085555
9.96;0.002008669645658186
1.42;0.0019981807157698588
5.96;0.0019932927263301647
5.14;0.001970338286532379
7.12;0.0019699919969908435
5.94;0.0019526532836070122
6.08;0.0019501117959410633
2.74;0.0019241943146173102
10.72;0.0019114213431973982
8.12;0.001911419836261387
10.82;0.001910590939378154
2.98;0.0019045359209641996
12.68;0.0018976036883497547
4.04;0.0018862900002492816
4.08;0.0018790718418311865
10.4;0.0018613469645307142
9.14;0.0018590162539566814
1.38;0.0018516320890407997
5.8;0.0018479547371634494
12.8;0.0018452567512338605
8.66;0.001841569851929362
10.04;0.001838632583445778
10.06;0.0018354973688690813
3.26;0.001815665016168231
1.96;0.0018129905747530518
3.56;0.0017758039148768855
4.76;0.0017587131498833
4.12;0.0017459007887033178
7.5;0.0017342437096015827
12.54;0.0017281901638843584
11.56;0.0016952613704693184
12.02;0.0016733484021460433
8.88;0.0016728576933709195
1.46;0.001663868180852624
3.14;0.001657970167658516
11.3;0.0016533838953500528
11.82;0.0016521498069975594
4.72;0.0016416834857308298
13.1;0.0016290358649469132
6.86;0.0016284649626527932
3.86;0.0016270864803960626
6.82;0.0016101924694015962
7.14;0.0016092268097986004
1.66;0.001603329635008459
2.42;0.0016002730614587725
1.56;0.0015873018355542095
7.16;0.0015837987936051523
8.78;0.0015733013852552657
10.36;0.0015710204311005233
11.32;0.001562815719170884
10;0.0015506500901337791
2.76;0.00154845863466675
12.64;0.0015354430749045921
12.12;0.0015352116182224904
5.46;0.001528738086675956
1.84;0.0015178275941697974
6.64;0.001511398371432209
12.78;0.001511003152318824
3.82;0.0015080494827352379
5.52;0.001503377430283119
2.08;0.0014942914608029215
10.6;0.0014907767962758637
7.8;0.0014716043175298725
12.22;0.0014633522730351583
7.44;0.0014625242357629291
9.4;0.001453709879292122
7.48;0.0014505737494164774
2.3;0.0014470777714470006
12.58;0.0014349136234553788
3.4;0.0014208704497506283
6.8;0.0014185952429005841
11.46;0.0014164027680020324
3.04;0.001409637513407612
5.04;0.001406885864322873
11.64;0.0013860267106468715
9.02;0.0013814513023335437
8.06;0.0013808233066562167
7.96;0.0013754730099440804
7.42;0.0013739538142876146
9.12;0.0013618094966605077
5.32;0.0013542421077958004
9.42;0.001339859701743229
11.8;0.0013361069827800452
10.9;0.0013330773943807577
11.76;0.001300948221129523
8.08;0.0012989205596394733
11.72;0.0012980275972661426
7.78;0.0012919534896310952
9.6;0.0012769121211122603
10.98;0.0012675081538766244
4.16;0.0012586406783812898
8.44;0.001253903050762223
8.9;0.0012503719425188582
6.66;0.0012483885810940665
5.58;0.0012402986223170691
2.84;0.0012372366316914058
11.78;0.0012343972466164173
9.88;0.001231060545167776
10.74;0.0012267778123496557
4.2;0.001219288940363092
4.18;0.0012069553709536129
12.98;0.0012067885657808667
5.6;0.001205602795142749
12.92;0.0011984612761079666
2.6;0.0011885677186526352
5;0.001184234035328927
4.7;0.0011770129206038718
3.5;0.0011740288480713737
5.2;0.0011714815133504364
5.18;0.00115864725416279
5.54;0.0011543796814774397
4.26;0.0011494844096214918
3.88;0.0011489067477528916
12.36;0.0011352119354760778
4.24;0.001129262232177219
6.1;0.0011266302360626664
13.06;0.0011264853085673013
10.56;0.0011256198162878143
7.1;0.001122475865417039
6.88;0.0011195226908733437
8.42;0.001117338559799873
13.08;0.0011160673794986785
9.74;0.0011017375316528888
3.48;0.0010933333989524097
3.52;0.0010850414442610474
2.22;0.0010758513475418031
11.12;0.0010726754950782691
4.66;0.0010721957579703525
11.02;0.001067819688826088
5.36;0.0010601630350237016
3.38;0.0010556113487608636
12.96;0.0010471350256777995
11.48;0.0010459017426373838
7.88;0.0010447877208537893
8;0.001042940526289478
5.5;0.0010423334520781803
7;0.0010403166301552482
10.44;0.0010377181036958674
2.88;0.001034986674959465
1.34;0.0010286085137908556
9.36;0.0010200349659372438
3.54;0.0010141025870175162
11.54;0.0010117225685851781
2.94;0.0010038853006898937
9.32;0.0009992574008571863
2.12;0.00099191749493352
11.86;0.00099001123687906
8.92;0.000986471808154674
4.28;0.0009863590344987702
4.42;0.000982796221872311
12.6;0.0009824675215255917
4.98;0.0009789980449185225
