energy;Mean_Abs_SHAP
6.52;0.02410420029576089
3.68;0.021023466823818802
6.38;0.019657478730059477
3.7;0.019641748247988276
6.46;0.01723018791024191
4.52;0.016409827691180077
3.64;0.014613048267802535
6.4;0.011802723411228483
6.34;0.011627258903540948
6.32;0.01148359325586956
6.56;0.009429667380402688
6.44;0.009284500907548798
6.5;0.00927224294481033
6.3;0.008015574980400838
4.48;0.0070204116168948805
5.88;0.006798663845119523
3.66;0.006274652896275772
4.54;0.005278164575211114
7.06;0.003673465884407447
6.36;0.002950799608446718
7.18;0.002323849886218256
3.72;0.0019838663908850586
5.98;0.0018482220855833764
3.3;0.0017662261936806168
3.62;0.0016922488751779199
4.58;0.001646363179291146
3.6;0.0015483232172543188
5.9;0.001380653184411926
1.74;0.0013359619782282242
7.2;0.0013325076459385465
6;0.0011573884828036626
5.92;0.000892540636795804
7.04;0.0008390886994248602
1.76;0.0008337618905381382
6.54;0.0007802864641048707
3.98;0.0007119989370762875
1.48;0.0007077570915417246
3.78;0.0006681445030595067
3.28;0.0006514567184879602
6.42;0.0006060626238515391
4.46;0.0005266444147147298
4.56;0.0004967051783185512
6.24;0.0004814922202011544
5.86;0.0003813295015128554
6.94;0.0003448559839475991
7.08;0.00033546272504131276
4.5;0.0003215492156342
6.28;0.00031573013792372096
5.82;0.00028618471432307837
4.44;0.000220691806428614
4.84;0.00020506493649870457
5.38;0.00018835854740192876
9.36;0.00016671755575709164
12.84;0.00016402347621268003
2.02;0.00016354534374582978
6.22;0.00015253802793722962
7.02;0.0001496127157998485
12.68;0.0001324467738715052
1.64;0.00011944270480576692
9.94;0.00011935734871513259
6.92;0.00011897204811738152
1.52;0.00011849545133117234
5.02;0.00011143186415165988
3.8;0.00010698420204477721
8.54;0.00010022539773723274
6.96;9.583472425179946e-05
4.9;9.297596302361616e-05
3.76;9.225007759856813e-05
12.74;8.943928941966756e-05
1.86;8.52542780180024e-05
3.34;7.735465184050465e-05
9.32;7.277763281599146e-05
4.38;7.068418166843879e-05
4.86;6.752265347219817e-05
3.22;6.670464088212254e-05
