Shap;Permutation;LRC_perturbation
Ag Lb;Ag ka;Ag La
Ag La;Ag La;Ag Lb
Ag ka;Ag Lb;Ag ka
Zn;Zn;Ag compton
Ag compton;Ag compton;Ca
Bremsstrahlung;Cu;Zn
Cu;Bremsstrahlung;Fe
background;Ca;Bremsstrahlung
Fe;background;Cu
Ca;Fe;background
;;
