Class;2.56;2.58;2.6;2.62;2.64;2.66;2.68;2.7;2.72;2.74;2.76;2.78;2.8;2.82;2.84;2.86;2.88;2.9;2.92;2.94;2.96;2.98;3;3.02;3.04;3.06;3.08;3.1;3.12;3.14;3.16;3.18;3.2
A;0.830082927;1.333546268;2.271900881;3.576574699;5.613886926;7.649394626;9.619939314;10.21362906;9.251815581;7.51225049;5.938701985;5.271026587;5.817798602;6.572091349;6.662317754;6.218403841;5.738399366;5.844866524;6.202163088;6.685776619;6.619009079;5.904415951;4.700795707;3.260782281;2.244832959;1.544676056;1.061062524;1.111589311;0.999708569;1.107980255;1.16933421;1.221665525;1.22707911
A;0.76;1.005;1.79;3.065;4.79;7.215;9.515;10.145;9.595;8.345;6.8;6.05;6.07;6.39;6.645;6.49;6.215;6.04;6.305;6.715;6.715;6.185;5.085;3.75;2.675;1.81;1.255;1.035;1.04;1.065;1.26;1.205;1.175
A;0.72;1.0;1.695;2.98;4.8;7.135;8.955;10.04;9.59;8.125;6.62;5.79;5.83;6.71;6.94;6.77;6.255;6.175;6.17;6.475;6.315;5.83;4.84;3.63;2.595;1.73;1.285;1.15;1.085;1.195;1.28;1.36;1.135
A;0.920034336;1.294734556;2.189654156;3.632535748;5.598512746;7.872244278;9.6831881;10.25095897;9.353485863;7.591879115;5.962093612;5.537888993;5.898054676;6.335225678;6.661698648;6.324373065;5.961703188;6.079008486;6.366271922;6.58295785;6.749525856;5.999431066;5.095759705;3.511220335;2.299292466;1.469359974;1.16882623;1.012094757;1.046295903;1.14878779;1.227770278;1.224596786;1.222638208
A;0.685;1.045;1.78;3.14;5.07;7.535;9.645;10.37;10.095;8.53;6.965;6.315;6.36;6.62;6.99;6.75;6.375;6.24;6.33;6.63;6.61;6.005;4.89;3.87;2.505;1.71;1.2;1.09;1.04;1.165;1.21;1.385;1.265
A;0.896769287;1.355975814;2.272624771;3.643042738;5.456353184;8.108971228;9.70980339;10.22662133;9.473953175;7.705514696;6.151445858;5.553577209;5.697660379;6.470233653;6.684369732;6.444968867;6.021785378;6.036242504;6.176742085;6.790713678;6.778168871;5.976871491;4.782919249;3.507895334;2.395017761;1.528889392;1.102062427;0.997624811;1.040835988;1.085856177;1.249729186;1.334348516;1.220936207
A;0.869936191;1.359276622;2.123406747;3.50809298;5.263049954;7.338665884;9.300989138;9.805972981;8.913197354;7.277790264;5.855414314;5.050085872;5.552801692;5.970114823;6.224578984;6.197694481;5.922055773;5.635879695;5.974260477;6.685302964;6.52604083;6.05823259;4.809924348;3.475442638;2.280948109;1.502571228;1.115438851;1.002257939;0.972054833;1.097627612;1.27157238;1.212428708;1.2228651
A;0.665;1.105;1.85;2.975;4.975;7.49;9.685;10.675;9.86;8.465;6.915;6.14;6.18;6.825;7.13;7.12;6.66;6.29;6.515;6.77;6.855;6.3;5.035;3.835;2.58;1.795;1.295;1.135;1.185;1.155;1.215;1.27;1.225
A;0.745;1.025;1.665;3.06;4.88;7.145;9.18;10.135;9.68;8.21;6.835;6.055;5.89;6.275;6.635;6.555;6.22;6.085;6.04;6.57;6.405;5.905;4.915;3.785;2.475;1.79;1.285;1.04;1.065;1.16;1.13;1.23;1.19
A;0.9173418;1.339754283;2.312986064;3.598707751;5.518413532;7.950229945;9.830500251;10.15190482;9.362418336;7.769896095;6.161264034;5.534571607;5.473350751;6.316276969;6.59818402;6.117479562;6.092461972;5.798290854;6.215510337;6.711490469;6.647078767;6.047330253;4.878898643;3.394662195;2.378107824;1.477013719;1.152087403;1.013177394;1.03277449;1.077926891;1.124971145;1.328968445;1.18459658
A;0.65;0.965;1.725;2.905;5.05;7.385;9.435;10.165;9.475;7.77;6.265;5.625;5.955;6.485;6.73;6.635;6.46;5.89;6.395;6.795;6.87;6.41;4.95;3.625;2.47;1.615;1.245;1.05;1.105;1.26;1.2;1.27;1.285
A;0.853752289;1.355969973;2.062925245;3.485947932;5.594255029;7.993916729;9.848596485;10.58084806;9.776205265;7.997818123;6.168869043;5.621576125;5.880557303;6.491420586;6.781384071;6.448196398;6.132440915;5.972921649;6.366657263;6.801622931;6.870061655;6.011083287;4.744087296;3.405927674;2.3928452;1.475481664;1.038808039;1.009579683;1.058586972;1.096712838;1.259755336;1.232551776;1.221833882
A;0.78;0.955;1.755;3.05;4.97;7.625;9.59;10.61;9.7;8.43;6.5;5.695;5.895;6.515;7.05;6.67;6.275;6.205;6.23;6.835;6.825;6.22;4.96;3.89;2.57;1.69;1.35;1.115;1.065;1.195;1.285;1.27;1.225
A;0.705;1.135;1.725;3.065;5.095;7.65;9.335;10.38;9.595;7.98;6.28;5.75;6.0;6.66;6.94;6.615;6.185;5.95;6.365;6.85;6.675;6.295;4.945;3.575;2.39;1.665;1.145;1.075;1.11;1.135;1.185;1.295;1.135
A;0.875998404;1.363205108;2.31220261;3.577011168;5.553297986;7.546228724;9.467872319;10.28181226;9.146980754;7.460581644;5.914855726;5.283252067;5.82690621;6.460590875;6.748780466;6.40933466;6.020616769;6.06259817;6.327037682;6.834381414;6.714149719;5.876265944;4.785118565;3.431326665;2.286888195;1.514832776;1.093288356;1.011032897;1.062146105;1.200876683;1.1606995;1.332288899;1.206215528
A;0.909205867;1.402892864;2.237639268;3.511694873;5.426394503;7.558810365;9.8147005;10.15040364;9.382738033;7.760227545;6.037979332;5.26125888;5.627720923;6.275738575;6.700436662;6.139608364;5.916387963;5.96718147;6.192316709;6.870941995;6.763857535;6.027071838;5.152315046;3.607878563;2.22498501;1.462837015;1.150636797;0.965503543;1.027206224;1.205033081;1.214131622;1.281247712;1.183288686
A;0.715;1.015;1.755;2.985;4.785;7.105;9.155;10.26;9.625;8.33;6.665;5.86;6.425;6.665;6.885;6.7;6.395;6.245;6.385;6.545;6.52;6.28;5.29;3.76;2.635;1.765;1.345;1.12;1.025;1.17;1.25;1.275;1.34
A;0.846088753;1.303308992;2.219928812;3.608110171;5.372710143;7.845819918;9.863421862;10.51216144;9.508801196;7.764271198;6.303640134;5.580267623;5.842609859;6.497074216;6.795431184;6.422966579;6.261846144;6.14816666;6.339615955;7.010468657;6.963354559;6.128299023;4.936980454;3.570118435;2.360928688;1.551014203;1.178639093;1.048477879;1.005224402;1.15692675;1.149831977;1.250933153;1.294233323
A;0.877717364;1.385633054;2.227840413;3.602915308;5.487361925;7.832093963;9.677900124;10.19979769;9.116894137;7.651588199;6.074969218;5.283862637;5.531830545;6.15647251;6.515581873;6.259060923;5.848304816;5.783203447;6.111985171;6.506723091;6.540274775;5.959727054;4.726520587;3.388733069;2.272162403;1.551835606;1.067044472;0.990976249;1.084758917;1.111254149;1.215738486;1.210390771;1.19623419
