Class;12.56;12.58;12.6;12.62;12.64;12.66;12.68;12.7;12.72;12.74;12.76;12.78;12.8;12.82;12.84;12.86;12.88;12.9;12.92;12.94;12.96;12.98;13;13.02;13.04;13.06;13.08;13.1
A;0.366319205;0.411432407;0.434891273;0.416845992;0.564817296;0.631584836;0.831887455;1.079107805;1.338959852;1.647534157;1.912799789;2.132952217;2.21596051;2.235810319;2.003026194;1.896559036;1.649338686;1.414750032;1.09354403;0.822864815;0.646021061;0.56120824;0.467372779;0.371732789;0.369928261;0.270679215;0.304965249;0.281506384
A;0.375;0.42;0.39;0.435;0.505;0.595;0.675;0.795;1.155;1.365;1.66;1.955;2.215;2.37;2.33;2.265;2.16;1.725;1.545;1.265;0.89;0.765;0.575;0.415;0.36;0.315;0.29;0.285
A;0.37;0.415;0.425;0.46;0.52;0.58;0.735;0.96;1.125;1.515;1.88;2.17;2.39;2.49;2.74;2.52;2.245;1.98;1.615;1.335;1.055;0.8;0.615;0.49;0.42;0.365;0.32;0.295
A;0.338317397;0.345631145;0.383637897;0.381586361;0.518558267;0.558337682;0.741733452;0.912609038;1.203473573;1.419335011;1.744611659;1.992058497;2.056543632;2.280016282;2.144909996;1.891264906;1.649507886;1.465721692;1.102103643;0.877007063;0.712943251;0.50448852;0.410413745;0.336581918;0.318762339;0.253961147;0.259297725;0.232484694
A;0.36;0.35;0.42;0.41;0.445;0.57;0.68;0.87;1.14;1.53;1.895;2.2;2.53;2.54;2.675;2.39;2.36;1.845;1.59;1.265;0.93;0.83;0.61;0.5;0.365;0.345;0.36;0.255
A;0.349323908;0.412375828;0.360151032;0.468217152;0.543830349;0.637461802;0.801340799;0.954388182;1.220867336;1.483837762;1.764753081;2.009654345;2.227556672;2.137520785;2.117705494;1.899863056;1.780969812;1.404594563;1.138134873;0.922038564;0.705891351;0.617639024;0.486205465;0.38536641;0.331352065;0.324126496;0.331346076;0.298908124
A;0.342593105;0.374964038;0.389132558;0.457327143;0.459159678;0.541779839;0.726518644;0.916576231;1.187477327;1.409849966;1.736274369;1.944802601;2.057413518;2.222352079;2.050239847;1.872305893;1.655084393;1.350460413;1.014985098;0.920241302;0.726306292;0.487843187;0.387344729;0.324591868;0.283225905;0.285181381;0.233144322;0.236686452
A;0.415;0.385;0.43;0.455;0.52;0.525;0.715;0.955;1.285;1.61;1.875;2.045;2.37;2.58;2.55;2.53;2.36;1.85;1.585;1.285;0.94;0.79;0.545;0.495;0.405;0.325;0.33;0.295
A;0.36;0.4;0.415;0.42;0.48;0.555;0.7;0.825;1.17;1.42;1.745;2.0;2.26;2.39;2.48;2.44;2.145;1.9;1.545;1.25;0.955;0.68;0.585;0.415;0.395;0.34;0.315;0.3
A;0.377384171;0.415382779;0.476569167;0.478481703;0.501993489;0.583218175;0.790813051;0.993173566;1.217140225;1.448150376;1.767849223;2.123737549;2.085752729;2.269718625;2.150626313;1.906786807;1.672206654;1.498709482;1.218907992;0.857695684;0.700742639;0.516376905;0.440579607;0.38819069;0.310549794;0.305177557;0.292527439;0.283495581
A;0.39;0.4;0.49;0.475;0.54;0.62;0.735;1.015;1.175;1.42;1.74;2.005;2.115;2.095;2.1;2.02;1.8;1.485;1.24;0.97;0.755;0.6;0.52;0.39;0.34;0.335;0.3;0.315
A;0.331771002;0.433237269;0.436867817;0.503843877;0.511186738;0.596284877;0.855577783;0.988036578;1.223490737;1.460944141;1.809021948;2.041162397;2.322039291;2.238674661;2.144566586;2.066494469;1.767439284;1.535436812;1.200086365;0.879155905;0.701540112;0.549215508;0.456779619;0.395213609;0.3516317;0.320833364;0.266421135;0.257416309
A;0.415;0.43;0.465;0.445;0.5;0.62;0.76;1.01;1.325;1.5;1.8;2.19;2.35;2.555;2.44;2.43;2.09;1.825;1.505;1.075;0.89;0.63;0.545;0.45;0.365;0.335;0.345;0.295
A;0.385;0.415;0.385;0.41;0.525;0.64;0.795;1.07;1.32;1.645;1.875;2.28;2.485;2.585;2.51;2.24;2.065;1.62;1.35;1.07;0.845;0.64;0.54;0.45;0.345;0.33;0.34;0.31
A;0.366887359;0.326659432;0.372346145;0.445331404;0.523738544;0.540207166;0.86490092;1.120383924;1.419689453;1.739210434;2.07298525;2.32687624;2.507449826;2.673755737;2.418198923;2.305041094;1.98028737;1.677211945;1.268352411;0.941822147;0.768363946;0.620552305;0.410677591;0.394213583;0.281088046;0.308455788;0.253706465;0.293800611
A;0.375666471;0.350265516;0.408313317;0.413783871;0.502738478;0.620674967;0.744071925;0.90560141;1.239522493;1.580711317;1.847516311;1.998163514;2.422806137;2.337526578;2.243140075;2.054420852;1.878371013;1.544443206;1.174138041;0.90557956;0.769462796;0.535395408;0.417411859;0.321228169;0.370212725;0.223220401;0.290375148;0.257709813
