Class;2.12;2.14;2.16;2.18;2.2;2.22;2.24;2.26;2.28;2.3;2.32;2.34;2.36;2.38;2.4
A;0.0367;0.039;0.0395;0.0395;0.0423;0.051;0.057;0.0503;0.056;0.0563;0.0457;0.0483;0.039;0.0355;0.036
A;0.0336;0.035;0.0394;0.0389;0.0372;0.0514;0.0539;0.0528;0.0533;0.0517;0.0453;0.0353;0.0356;0.0336;0.0347
A;0.0409;0.0369;0.0337;0.044;0.0454;0.0526;0.0626;0.0757;0.0694;0.0697;0.0571;0.0531;0.0411;0.0414;0.0386
A;0.031;0.0305;0.0325;0.0328;0.0408;0.0488;0.054;0.0545;0.0543;0.0488;0.0483;0.0372;0.035;0.0325;0.031
A;0.0344;0.0336;0.0336;0.0461;0.0503;0.0464;0.0594;0.0647;0.0653;0.0558;0.055;0.0514;0.0403;0.0406;0.0358
A;0.0375;0.0377;0.031;0.0355;0.0425;0.0475;0.0568;0.0645;0.0605;0.0623;0.0447;0.0405;0.0382;0.0408;0.0408
A;0.0386;0.04;0.044;0.048;0.0483;0.0629;0.062;0.0726;0.0637;0.0677;0.0591;0.0557;0.0474;0.0411;0.0337
A;0.0356;0.0333;0.0333;0.0342;0.0383;0.0342;0.0531;0.0503;0.0569;0.0481;0.0447;0.0408;0.0425;0.0386;0.0328
A;0.0298;0.0312;0.0288;0.0256;0.0378;0.0441;0.0451;0.0561;0.0566;0.0461;0.0476;0.042;0.03;0.0317;0.0334
A;0.0344;0.0379;0.0403;0.0441;0.0435;0.0482;0.0535;0.0553;0.0585;0.0582;0.0506;0.0415;0.0412;0.0353;0.0397
A;0.032;0.0324;0.0378;0.0376;0.0468;0.0522;0.052;0.0563;0.0739;0.0668;0.0549;0.0441;0.0417;0.0337;0.039
B;0.033;0.0341;0.0373;0.0354;0.0424;0.0476;0.0608;0.0641;0.0732;0.0665;0.0554;0.0419;0.0397;0.0338;0.0319
B;0.0336;0.0342;0.0317;0.0356;0.0375;0.0433;0.0447;0.0569;0.0483;0.0428;0.0503;0.0414;0.0386;0.0314;0.0336
B;0.0351;0.0343;0.0406;0.0443;0.0403;0.0543;0.0551;0.0589;0.0643;0.0574;0.0526;0.0446;0.0414;0.0354;0.0371
B;0.0277;0.0221;0.03;0.0347;0.0381;0.0435;0.0509;0.0535;0.0563;0.0535;0.0414;0.0409;0.033;0.0312;0.0363
B;0.0372;0.0313;0.0367;0.0405;0.0473;0.0573;0.0615;0.0645;0.0712;0.063;0.05;0.0423;0.0415;0.0367;0.0367
B;0.0325;0.0356;0.0381;0.0386;0.0378;0.0478;0.0492;0.0553;0.0544;0.0539;0.0525;0.0389;0.0364;0.0311;0.0378
B;0.0392;0.0338;0.0289;0.0376;0.0357;0.05;0.0543;0.0519;0.0559;0.0508;0.0462;0.0389;0.0397;0.0378;0.0324
B;0.0325;0.0352;0.0323;0.0315;0.0385;0.0462;0.0462;0.0537;0.0525;0.052;0.0468;0.0393;0.035;0.0333;0.035
B;0.0371;0.034;0.0366;0.0394;0.0491;0.0477;0.0589;0.0634;0.0623;0.0631;0.0574;0.0429;0.0403;0.0366;0.0357
B;0.0326;0.0318;0.0374;0.0295;0.0423;0.0459;0.0544;0.0582;0.061;0.0654;0.0505;0.0428;0.0426;0.0369;0.0362
