Class;3.84;3.86;3.88;3.9;3.92;3.94;3.96;3.98;4;4.02;4.04;4.06;4.08;4.1;4.12;4.14
A;0.0233;0.019;0.0243;0.0225;0.0238;0.0248;0.0348;0.0305;0.0348;0.0345;0.029;0.0267;0.027;0.0182;0.022;0.0233
A;0.0208;0.0242;0.02;0.0242;0.0303;0.0278;0.0292;0.0236;0.0278;0.0256;0.0269;0.0242;0.0214;0.0239;0.0206;0.0194
A;0.0249;0.0271;0.0269;0.03;0.0323;0.0363;0.0431;0.0503;0.048;0.0443;0.036;0.03;0.0303;0.0223;0.0263;0.0266
A;0.024;0.0257;0.0253;0.036;0.0348;0.0403;0.0503;0.048;0.0495;0.0483;0.0435;0.0313;0.0308;0.0248;0.0278;0.025
A;0.0253;0.0278;0.0286;0.0344;0.0397;0.0369;0.0328;0.0442;0.0361;0.0389;0.0403;0.0267;0.0322;0.0272;0.0211;0.0258
A;0.0208;0.0182;0.0267;0.0285;0.0285;0.028;0.0293;0.0355;0.0403;0.0355;0.0302;0.0255;0.0295;0.0267;0.0208;0.0238
A;0.0274;0.0291;0.0294;0.0303;0.0326;0.042;0.0437;0.0486;0.0417;0.0303;0.0369;0.0286;0.0291;0.0291;0.0231;0.0263
A;0.0206;0.0233;0.0222;0.0258;0.0236;0.0206;0.0256;0.0328;0.0267;0.0356;0.0247;0.0256;0.025;0.0211;0.0286;0.0231
A;0.028;0.0271;0.0227;0.0237;0.0298;0.0324;0.041;0.0356;0.0393;0.0356;0.0341;0.0302;0.0229;0.0266;0.0217;0.0259
A;0.0247;0.0291;0.0285;0.0238;0.0259;0.0279;0.0315;0.0329;0.0294;0.0344;0.0312;0.0241;0.0279;0.0247;0.0262;0.025
A;0.0212;0.0188;0.0193;0.0271;0.0305;0.0278;0.0324;0.042;0.0344;0.0334;0.0293;0.0278;0.02;0.0198;0.019;0.0144
B;0.0259;0.0246;0.0232;0.0251;0.03;0.0354;0.04;0.0414;0.04;0.0389;0.0327;0.0273;0.0257;0.0211;0.02;0.023
B;0.0292;0.0183;0.0253;0.0275;0.0269;0.0283;0.0314;0.0344;0.0336;0.035;0.03;0.0289;0.0289;0.0258;0.0208;0.0303
B;0.0266;0.0266;0.0283;0.0263;0.0326;0.0443;0.0357;0.0446;0.0434;0.0354;0.0383;0.0337;0.0294;0.0277;0.0237;0.0257
B;0.0223;0.0191;0.0216;0.0312;0.0349;0.0405;0.0365;0.0407;0.046;0.0428;0.0265;0.0247;0.0281;0.0195;0.0228;0.0179
B;0.0233;0.0222;0.0262;0.0243;0.031;0.034;0.032;0.0413;0.035;0.0357;0.0313;0.0295;0.0262;0.0222;0.021;0.0238
B;0.0253;0.0247;0.0289;0.03;0.0314;0.0389;0.0389;0.0328;0.0378;0.0378;0.0267;0.0306;0.0214;0.0211;0.0256;0.0258
B;0.0257;0.0257;0.0297;0.0281;0.0362;0.0392;0.0405;0.0335;0.0365;0.0357;0.0286;0.0289;0.0289;0.0249;0.0276;0.0268
B;0.024;0.0225;0.0225;0.0225;0.027;0.0315;0.034;0.0348;0.0338;0.0328;0.026;0.0308;0.0255;0.0217;0.0273;0.0195
B;0.0197;0.026;0.026;0.0314;0.0289;0.0337;0.0314;0.0354;0.0403;0.0309;0.0329;0.0289;0.0306;0.0163;0.0231;0.02
B;0.0246;0.0213;0.0226;0.03;0.0315;0.0351;0.0313;0.0354;0.0313;0.0321;0.0277;0.0236;0.0221;0.0228;0.0208;0.0215
