Class;19.86;19.88;19.9;19.92;19.94;19.96;19.98;20;20.02;20.04;20.06;20.08;20.1;20.12;20.14;20.16;20.18;20.2;20.22;20.24;20.26;20.28;20.3;20.32;20.34;20.36;20.38;20.4;20.42;20.44;20.46;20.48;20.5;20.52;20.54;20.56;20.58;20.6;20.62;20.64;20.66;20.68;20.7;20.72;20.74;20.76;20.78;20.8
A;0.222;0.2372;0.249;0.2455;0.255;0.2537;0.2848;0.306;0.3395;0.3463;0.3857;0.4135;0.455;0.4758;0.502;0.5218;0.5343;0.5387;0.5048;0.5248;0.493;0.4547;0.4335;0.4045;0.3207;0.3013;0.2763;0.2205;0.2138;0.1833;0.1915;0.1665;0.167;0.16;0.1563;0.1455;0.141;0.152;0.1455;0.1435;0.1435;0.145;0.1472;0.1515;0.1485;0.147;0.1538;0.15
A;0.2531;0.2444;0.2678;0.2639;0.2689;0.2786;0.3128;0.3517;0.3622;0.4053;0.4097;0.4714;0.5019;0.5103;0.5444;0.5917;0.5883;0.5936;0.5644;0.5658;0.5436;0.5358;0.4414;0.4233;0.3739;0.3433;0.2808;0.2494;0.2264;0.2006;0.1983;0.1867;0.1661;0.1694;0.1544;0.1608;0.1594;0.1597;0.1583;0.155;0.1681;0.1544;0.1625;0.1514;0.1589;0.1647;0.1586;0.1639
A;0.2546;0.2829;0.2677;0.2689;0.3074;0.3243;0.3326;0.344;0.4023;0.4354;0.4609;0.5049;0.526;0.5403;0.5963;0.5994;0.6369;0.6043;0.606;0.6014;0.5686;0.5523;0.474;0.4434;0.4123;0.3577;0.3109;0.2523;0.2426;0.2026;0.2109;0.1977;0.1794;0.1754;0.1651;0.1651;0.1603;0.166;0.1666;0.1589;0.1634;0.1666;0.1557;0.1706;0.1706;0.1657;0.17;0.1743
A;0.24;0.245;0.2437;0.258;0.2517;0.2825;0.2913;0.317;0.3475;0.38;0.395;0.4437;0.47;0.4883;0.527;0.5365;0.5495;0.558;0.532;0.5242;0.5138;0.4823;0.4455;0.3887;0.345;0.3182;0.2737;0.2425;0.2155;0.18;0.1797;0.1603;0.167;0.1487;0.1603;0.1525;0.1477;0.1475;0.1545;0.1502;0.149;0.157;0.1462;0.152;0.137;0.1578;0.1485;0.1658
A;0.2992;0.2714;0.2756;0.3036;0.2956;0.2867;0.3364;0.3631;0.3961;0.4253;0.44;0.505;0.5128;0.5606;0.5881;0.6161;0.6256;0.6222;0.6442;0.6039;0.5786;0.5383;0.5;0.4517;0.3972;0.3511;0.2994;0.2597;0.2578;0.2206;0.1997;0.2025;0.1836;0.1742;0.1669;0.1731;0.1667;0.1617;0.1714;0.1756;0.1642;0.1653;0.1664;0.1631;0.1622;0.175;0.1619;0.1706
A;0.2537;0.2422;0.248;0.238;0.2657;0.292;0.318;0.3342;0.3792;0.387;0.4108;0.4492;0.4875;0.5052;0.5415;0.5573;0.571;0.5753;0.5703;0.5755;0.5355;0.5102;0.4305;0.3945;0.3583;0.3242;0.259;0.24;0.2133;0.2042;0.1762;0.167;0.1653;0.1578;0.1445;0.1548;0.1515;0.1378;0.151;0.1407;0.1548;0.1487;0.1508;0.1528;0.1415;0.1518;0.1625;0.163
A;0.294;0.3051;0.3089;0.3023;0.3026;0.3369;0.3377;0.3857;0.416;0.4717;0.4763;0.552;0.586;0.6054;0.6626;0.666;0.6591;0.6689;0.648;0.6686;0.5969;0.5757;0.534;0.4677;0.4091;0.3671;0.3269;0.2926;0.2311;0.2206;0.1986;0.1977;0.1831;0.1969;0.1814;0.1746;0.1809;0.176;0.1771;0.1666;0.1706;0.1803;0.178;0.1869;0.1786;0.1911;0.1809;0.1723
A;0.2753;0.2661;0.2617;0.2692;0.2822;0.2947;0.3039;0.3475;0.375;0.4094;0.4386;0.485;0.4983;0.54;0.5406;0.5789;0.595;0.5936;0.6019;0.5911;0.5789;0.4967;0.4731;0.4147;0.3772;0.3528;0.3019;0.2564;0.2183;0.1967;0.1778;0.185;0.1789;0.1639;0.1672;0.1608;0.1497;0.1506;0.1647;0.1542;0.1569;0.1672;0.1569;0.1619;0.1667;0.1583;0.1536;0.1683
A;0.2215;0.2205;0.2027;0.231;0.2295;0.2488;0.2668;0.2951;0.3129;0.3434;0.3846;0.3834;0.4393;0.4663;0.4839;0.5015;0.5073;0.4976;0.499;0.4795;0.4578;0.4341;0.428;0.3783;0.3278;0.302;0.2461;0.2124;0.1907;0.1676;0.1746;0.158;0.1568;0.1515;0.1405;0.1512;0.138;0.1329;0.1356;0.1402;0.1373;0.1473;0.1388;0.1329;0.1412;0.1368;0.1395;0.1315
