Class;20.8;20.82;20.84;20.86;20.88;20.9;20.92;20.94;20.96;20.98;21;21.02;21.04;21.06;21.08;21.1;21.12;21.14;21.16;21.18;21.2;21.22;21.24;21.26;21.28;21.3;21.32;21.34;21.36;21.38;21.4;21.42;21.44;21.46;21.48;21.5;21.52;21.54;21.56;21.58;21.6;21.62;21.64;21.66;21.68;21.7;21.72;21.74;21.76;21.78;21.8;21.82;21.84;21.86;21.88;21.9;21.92;21.94;21.96;21.98;22;22.02;22.04;22.06;22.08;22.1;22.12;22.14;22.16;22.18;22.2;22.22;22.24;22.26;22.28;22.3
A;0.15;0.1535;0.1528;0.1525;0.1535;0.146;0.157;0.151;0.1628;0.1523;0.165;0.1653;0.1675;0.1732;0.1888;0.2005;0.1965;0.2077;0.2133;0.2082;0.2285;0.2382;0.2422;0.2517;0.252;0.269;0.2755;0.3127;0.3073;0.3015;0.2913;0.312;0.3108;0.322;0.3225;0.3222;0.3157;0.3035;0.3127;0.3137;0.3035;0.3142;0.2968;0.284;0.2697;0.2672;0.2672;0.2522;0.2422;0.2298;0.234;0.2283;0.2145;0.2013;0.194;0.192;0.189;0.1745;0.1838;0.1785;0.1588;0.1568;0.1513;0.15;0.1528;0.1388;0.1405;0.1313;0.1378;0.1203;0.132;0.117;0.1243;0.115;0.1118;0.1135
A;0.1639;0.1542;0.17;0.1717;0.1447;0.1711;0.1719;0.1878;0.1711;0.1736;0.1778;0.1875;0.1783;0.1869;0.1858;0.2056;0.2136;0.2269;0.2353;0.2322;0.2481;0.2622;0.2656;0.2667;0.2817;0.2686;0.2897;0.3356;0.3206;0.3233;0.3528;0.3433;0.3358;0.3511;0.3575;0.3611;0.3636;0.3564;0.3614;0.3336;0.3361;0.3244;0.3361;0.3072;0.3169;0.3033;0.2872;0.2817;0.2728;0.2511;0.2433;0.2411;0.2286;0.2167;0.2339;0.2161;0.2092;0.1847;0.1869;0.1811;0.1828;0.1811;0.16;0.1608;0.1717;0.1464;0.1478;0.1494;0.1414;0.1367;0.14;0.1283;0.1331;0.1203;0.1219;0.12
A;0.1743;0.1697;0.1757;0.1737;0.1863;0.1777;0.1866;0.1854;0.1866;0.1863;0.1991;0.1969;0.1949;0.212;0.2009;0.2129;0.2026;0.2277;0.2374;0.2543;0.2546;0.2657;0.2826;0.2889;0.3109;0.3254;0.3066;0.3274;0.3494;0.3471;0.3431;0.3526;0.3674;0.3634;0.3731;0.3774;0.3551;0.3529;0.3589;0.3529;0.3649;0.3386;0.3403;0.3294;0.328;0.312;0.3177;0.2871;0.2811;0.2869;0.2694;0.2689;0.2466;0.2291;0.2343;0.2174;0.2086;0.2106;0.1929;0.1983;0.1974;0.184;0.1646;0.1771;0.1811;0.1666;0.1574;0.1551;0.1477;0.1437;0.1489;0.1337;0.1326;0.13;0.1274;0.1369
A;0.1658;0.154;0.1477;0.1465;0.1618;0.1653;0.165;0.161;0.159;0.1698;0.1645;0.1623;0.176;0.1928;0.1908;0.198;0.2018;0.203;0.216;0.2127;0.223;0.2468;0.2552;0.2657;0.272;0.2722;0.2798;0.3043;0.307;0.327;0.324;0.328;0.323;0.3255;0.3438;0.3485;0.3247;0.3172;0.329;0.3315;0.3145;0.3085;0.3123;0.2858;0.3025;0.2883;0.2845;0.2717;0.2625;0.259;0.242;0.2377;0.2325;0.212;0.2013;0.1988;0.189;0.1795;0.1843;0.1722;0.1648;0.168;0.1528;0.1563;0.1653;0.138;0.1515;0.1363;0.135;0.1268;0.1255;0.1218;0.118;0.12;0.1263;0.1187
A;0.1706;0.1733;0.1803;0.1744;0.1731;0.1753;0.1814;0.1778;0.1817;0.1947;0.1822;0.1925;0.2072;0.1972;0.1956;0.2242;0.2186;0.2322;0.2442;0.2611;0.245;0.2561;0.2861;0.2953;0.3036;0.3075;0.2969;0.3411;0.3706;0.3375;0.3611;0.3747;0.3528;0.3717;0.3767;0.3731;0.3719;0.3753;0.3731;0.3622;0.3572;0.3411;0.34;0.3219;0.3558;0.335;0.3269;0.3064;0.2858;0.2853;0.2789;0.2569;0.2603;0.2525;0.2367;0.2275;0.2122;0.2183;0.2117;0.1869;0.2047;0.2019;0.1775;0.1775;0.1742;0.165;0.1592;0.1539;0.1597;0.1517;0.1444;0.1469;0.1364;0.1386;0.1225;0.1306
A;0.163;0.1538;0.1518;0.159;0.163;0.161;0.1465;0.17;0.154;0.1573;0.1698;0.1765;0.1747;0.19;0.1995;0.21;0.2035;0.2155;0.2215;0.224;0.238;0.247;0.2537;0.25;0.263;0.2788;0.289;0.287;0.308;0.3242;0.3177;0.337;0.3242;0.3287;0.3237;0.3425;0.33;0.339;0.3295;0.328;0.3282;0.3048;0.308;0.2935;0.2825;0.2848;0.292;0.2692;0.256;0.2522;0.2485;0.2318;0.2163;0.2295;0.2042;0.2042;0.1953;0.1835;0.187;0.1732;0.1638;0.1703;0.1673;0.1635;0.1435;0.1485;0.147;0.1417;0.1325;0.137;0.131;0.12;0.1328;0.113;0.1148;0.112
A;0.1723;0.1817;0.1886;0.1829;0.1903;0.1837;0.1903;0.196;0.1969;0.194;0.2011;0.2146;0.2263;0.2146;0.2357;0.2317;0.2391;0.2371;0.2714;0.2774;0.2766;0.2894;0.2814;0.3294;0.3166;0.3394;0.3251;0.3386;0.3531;0.3717;0.3834;0.3857;0.3929;0.3889;0.3831;0.4;0.3997;0.3891;0.3897;0.392;0.3794;0.366;0.36;0.3394;0.338;0.346;0.3283;0.31;0.3171;0.2957;0.268;0.2549;0.2609;0.2434;0.2509;0.2234;0.2326;0.2171;0.222;0.2131;0.1931;0.1871;0.1943;0.192;0.1691;0.1723;0.166;0.168;0.1874;0.1511;0.1657;0.1383;0.144;0.1417;0.1274;0.1306
A;0.1683;0.1622;0.1572;0.1625;0.1617;0.1767;0.1619;0.1739;0.1733;0.1831;0.1825;0.1914;0.1894;0.1994;0.1911;0.2058;0.2172;0.2133;0.2375;0.2392;0.2514;0.2711;0.2675;0.28;0.2736;0.3144;0.3228;0.3008;0.3114;0.3406;0.3547;0.3333;0.3303;0.3514;0.3556;0.3706;0.3533;0.3564;0.3483;0.3447;0.3542;0.34;0.3253;0.3306;0.3172;0.2942;0.2978;0.2744;0.2722;0.2611;0.2631;0.2461;0.2344;0.2253;0.2292;0.2086;0.2133;0.2144;0.1864;0.2061;0.1683;0.1767;0.1794;0.1642;0.1606;0.1478;0.1508;0.1569;0.1517;0.1392;0.1353;0.1303;0.1303;0.1294;0.1211;0.1117
A;0.1315;0.1488;0.129;0.1437;0.1429;0.1576;0.1556;0.1488;0.1412;0.1532;0.1556;0.1702;0.1676;0.1712;0.1783;0.1746;0.2049;0.1927;0.2;0.2117;0.2222;0.2385;0.2402;0.2532;0.2507;0.2832;0.2644;0.2793;0.2824;0.3137;0.2873;0.2929;0.3122;0.3205;0.3124;0.3054;0.3112;0.3112;0.3129;0.2949;0.309;0.2878;0.2944;0.2868;0.2617;0.2629;0.2622;0.2534;0.2393;0.2295;0.222;0.211;0.2159;0.1954;0.2059;0.1944;0.181;0.1778;0.162;0.1563;0.1651;0.1563;0.149;0.1561;0.1441;0.1385;0.1356;0.1356;0.1259;0.1222;0.1168;0.1159;0.1105;0.1124;0.1102;0.1039
