Class;3.44;3.46;3.48;3.5;3.52;3.54;3.56;3.58;3.6;3.62;3.64;3.66;3.68;3.7;3.72;3.74;3.76;3.78;3.8;3.82;3.84
A;0.0565;0.0592;0.0803;0.098;0.1485;0.1648;0.1855;0.1838;0.1693;0.1482;0.1447;0.118;0.0953;0.0793;0.0665;0.049;0.0367;0.0333;0.0273;0.024;0.0233
A;0.0556;0.0628;0.0897;0.1175;0.1631;0.1931;0.2228;0.205;0.1831;0.1517;0.1311;0.1075;0.0878;0.0628;0.0489;0.0417;0.0303;0.0219;0.0289;0.0269;0.0208
A;0.0674;0.088;0.0949;0.1831;0.2023;0.26;0.2731;0.3051;0.2637;0.246;0.2303;0.2146;0.166;0.1383;0.1049;0.0734;0.0546;0.0326;0.0283;0.0311;0.0249
A;0.0612;0.0585;0.081;0.1113;0.1482;0.1752;0.2075;0.2355;0.233;0.2705;0.2448;0.2278;0.2153;0.18;0.131;0.09;0.0587;0.0418;0.029;0.023;0.024
A;0.0694;0.0747;0.1022;0.1342;0.1947;0.2269;0.2536;0.2658;0.2511;0.2244;0.195;0.1636;0.1553;0.1225;0.08;0.0594;0.0447;0.0364;0.0261;0.0219;0.0253
A;0.0803;0.091;0.116;0.1688;0.2097;0.2662;0.294;0.3028;0.276;0.23;0.191;0.1538;0.1213;0.103;0.0823;0.0493;0.0428;0.029;0.0273;0.0265;0.0208
A;0.0837;0.0791;0.1317;0.1743;0.2157;0.2617;0.2866;0.3069;0.2677;0.2577;0.2169;0.1986;0.1551;0.1263;0.0969;0.0694;0.0457;0.0326;0.0311;0.024;0.0274
A;0.08;0.0764;0.1039;0.165;0.2169;0.2411;0.2558;0.25;0.2386;0.1997;0.1678;0.1172;0.1147;0.0808;0.0614;0.0414;0.0336;0.0328;0.0306;0.0253;0.0206
A;0.0602;0.0602;0.0878;0.1217;0.1463;0.1829;0.201;0.2183;0.1956;0.1859;0.1717;0.151;0.132;0.1061;0.0861;0.0568;0.04;0.0305;0.0251;0.0227;0.028
A;0.0732;0.0718;0.0974;0.1303;0.1809;0.1915;0.2182;0.2188;0.185;0.1588;0.1332;0.1012;0.0747;0.0612;0.0488;0.0409;0.0318;0.0294;0.0271;0.03;0.0247
A;0.1;0.1137;0.1573;0.2215;0.3124;0.3651;0.4159;0.401;0.3556;0.309;0.2627;0.2059;0.1576;0.1324;0.09;0.058;0.042;0.0344;0.0268;0.0234;0.0212
B;0.0727;0.0735;0.103;0.143;0.1851;0.2192;0.2514;0.263;0.2457;0.213;0.1997;0.17;0.1595;0.1308;0.0976;0.06;0.0465;0.0319;0.0251;0.0205;0.0259
B;0.0625;0.0761;0.0961;0.1417;0.1944;0.2025;0.2364;0.2358;0.2186;0.1908;0.1614;0.1497;0.1147;0.0886;0.0733;0.0531;0.0428;0.0267;0.0247;0.0208;0.0292
B;0.0757;0.0806;0.0889;0.1294;0.1877;0.2129;0.2531;0.2434;0.244;0.216;0.2037;0.194;0.1529;0.1366;0.1069;0.0686;0.0526;0.0303;0.03;0.0289;0.0266
B;0.0586;0.07;0.0951;0.1328;0.1633;0.2147;0.2288;0.227;0.2316;0.2184;0.2012;0.1833;0.1726;0.1493;0.0956;0.073;0.0447;0.0342;0.0277;0.0214;0.0223
