Class;7.2;7.22;7.24;7.26;7.28;7.3;7.32;7.34;7.36;7.38;7.4;7.42;7.44;7.46;7.48;7.5;7.52;7.54;7.56;7.58;7.6;7.62;7.65;7.67;7.69
A;6.91;7.43;7.9;8.49;9.01;9.41;9.9;10.25;10.28;11.25;11.9;12.87;13.6;13.8;14.04;13.27;11.96;10.38;8.58;7.38;6.17;5.43;5.04;4.7;4.63
A;7.33;7.6;7.92;8.36;8.85;9.34;9.84;10.04;10.44;11.16;12.15;12.63;13.71;13.93;13.72;13.11;11.89;10.08;8.8;7.24;5.99;5.2;4.99;4.88;4.57
A;7.59;7.8;8.17;8.63;9.13;9.63;9.9;10.55;10.63;11.22;12.0;12.67;13.76;14.04;13.95;13.14;11.88;10.01;8.54;7.06;6.32;5.46;4.84;4.6;4.38
A;6.8;7.33;7.69;8.51;8.88;9.39;9.43;9.97;10.27;11.01;11.46;12.28;13.16;13.75;13.81;12.85;11.88;10.03;8.38;7.01;6.14;5.26;4.77;4.7;4.23
A;7.06;7.47;7.98;8.54;9.29;9.7;10.0;10.79;11.15;11.41;12.0;12.81;13.63;14.15;13.92;13.28;12.15;10.06;8.6;7.08;6.2;5.43;5.16;4.66;4.81
A;7.51;8.12;8.49;9.21;10.0;10.24;10.2;10.94;11.43;12.09;12.98;13.59;14.55;14.98;14.78;14.06;12.6;11.11;9.21;7.91;6.47;5.79;5.38;4.92;4.78
A;7.36;7.66;8.21;8.78;9.67;9.79;10.08;10.47;10.85;11.43;12.37;13.35;13.79;14.43;14.12;13.16;11.82;10.68;9.01;7.3;6.02;5.34;5.13;4.7;4.63
A;6.99;7.32;8.23;8.59;9.38;9.81;10.31;10.33;10.77;11.64;11.92;13.07;13.7;14.08;13.92;13.15;12.1;10.35;8.89;7.0;6.27;5.38;5.16;4.91;4.61
A;7.29;7.66;8.17;8.86;9.43;9.79;10.28;10.63;11.24;11.67;12.36;13.26;13.85;14.34;14.21;13.5;12.12;10.6;8.89;7.52;6.34;5.55;5.24;4.72;4.74
A;6.44;7.19;7.76;8.25;8.6;9.18;9.67;9.68;10.13;10.81;11.38;12.17;12.86;13.42;13.2;12.63;11.1;9.71;8.21;6.79;5.81;5.12;4.58;4.38;4.54
A;6.86;7.2;7.75;8.14;8.79;9.17;9.47;10.13;10.56;11.1;11.89;12.4;13.14;13.6;13.43;13.26;11.63;10.09;8.59;7.12;5.96;5.32;5.04;4.89;4.4
