Class;2.16;2.18;2.2;2.22;2.24;2.26;2.28;2.3;2.32;2.34;2.36;2.38;2.4;2.42;2.44
A;0.83;0.82;0.94;1.24;1.87;3.21;4.16;5.02;5.05;4.3;3.09;2.27;1.72;1.36;1.32
A;0.75;0.8;0.83;1.32;2.1;3.19;4.33;5.16;5.06;4.46;3.4;2.37;1.83;1.44;1.34
A;0.66;0.7;0.68;1.08;1.75;2.78;3.75;4.61;4.48;3.76;2.83;2.11;1.51;1.27;1.26
A;0.84;0.82;0.87;1.23;1.92;3.25;4.46;5.22;5.3;4.4;3.52;2.31;1.67;1.41;1.3
A;0.76;0.7;0.7;1.13;1.7;2.71;3.64;4.49;4.14;3.7;2.81;1.99;1.56;1.31;1.09
A;0.75;0.66;0.84;1.07;1.59;2.47;3.36;4.16;4.15;3.55;2.73;2.15;1.48;1.25;1.26
A;0.74;0.68;0.82;1.07;1.69;2.76;3.96;4.65;4.54;3.76;3.05;2.11;1.65;1.46;1.27
A;0.71;0.75;0.73;1.2;1.8;2.7;3.96;4.53;4.56;4.15;2.82;2.2;1.68;1.4;1.23
A;0.68;0.72;0.71;1.08;1.66;2.73;3.64;4.27;4.36;3.83;2.82;2.17;1.61;1.34;1.21
A;0.68;0.69;0.82;1.21;1.99;2.77;3.92;4.96;4.94;4.01;3.17;2.25;1.77;1.41;1.28
A;0.85;0.77;0.93;1.25;2.16;3.62;4.86;5.95;5.9;5.11;3.68;2.61;1.87;1.47;1.33
A;0.79;0.81;0.82;1.19;1.82;2.79;3.94;4.79;4.83;4.04;3.25;2.25;1.74;1.27;1.27
A;0.85;0.74;0.85;1.16;2.04;2.99;4.13;4.88;4.7;4.11;3.13;2.25;1.67;1.4;1.28
A;0.68;0.7;0.77;1.11;1.85;2.91;4.16;5.02;4.88;4.12;3.17;2.21;1.63;1.42;1.2
A;0.81;0.74;0.86;1.19;1.84;2.92;4.24;4.74;4.94;4.2;3.06;2.15;1.64;1.33;1.29
A;0.85;0.82;0.78;1.15;1.94;2.76;3.93;4.77;4.64;4.06;3.04;2.25;1.65;1.38;1.32
A;0.88;0.86;1.03;1.46;2.08;3.08;4.48;5.3;5.32;4.61;3.68;2.79;2.19;1.8;1.67
A;0.72;0.78;0.79;1.11;1.8;2.59;3.7;4.36;4.43;3.94;2.75;2.1;1.57;1.36;1.11
A;0.7;0.68;0.76;1.08;1.74;2.66;3.74;4.42;4.36;3.84;2.75;2.0;1.61;1.27;1.24
A;0.57;0.73;0.71;1.0;1.52;2.31;3.25;3.88;3.84;3.18;2.61;1.92;1.51;1.24;1.13
A;0.73;0.71;0.73;1.11;1.57;2.73;3.58;4.27;4.24;3.63;2.73;1.98;1.57;1.21;1.14
A;0.87;0.83;0.88;1.23;1.91;3.15;4.14;5.12;5.07;4.3;3.24;2.17;1.68;1.4;1.16
A;0.81;0.7;0.85;1.1;1.83;2.78;3.79;4.57;4.65;4.1;2.92;2.16;1.56;1.32;1.23
A;0.92;0.74;0.86;1.16;2.01;3.14;4.43;5.19;5.31;4.39;3.32;2.34;1.73;1.31;1.27
A;0.69;0.74;0.96;1.38;2.03;3.78;5.06;5.92;6.03;5.3;3.78;2.57;1.82;1.58;1.37
A;0.69;0.74;0.81;1.07;1.79;2.67;3.58;4.33;4.44;3.98;2.85;2.14;1.63;1.35;1.28
A;0.7;0.73;0.76;1.21;2.05;3.06;4.51;5.18;5.35;4.55;3.34;2.4;1.68;1.37;1.32
A;0.79;0.75;0.83;1.15;1.73;2.69;3.99;4.72;4.71;4.07;3.14;2.2;1.6;1.35;1.31
A;0.93;0.89;0.99;1.38;2.28;3.78;5.22;6.27;6.23;5.44;3.95;2.75;1.8;1.47;1.34
A;0.71;0.69;0.78;1.25;1.99;3.22;4.24;4.87;5.25;4.25;3.16;2.42;1.7;1.36;1.35
A;0.64;0.65;0.76;1.0;1.49;2.34;2.94;3.55;3.62;3.12;2.59;1.97;1.51;1.2;1.09
A;0.89;0.88;0.93;1.58;2.5;4.34;6.02;7.05;6.97;5.83;4.38;2.87;1.98;1.58;1.53
A;0.65;0.68;0.73;0.97;1.5;2.18;3.33;3.77;3.75;3.36;2.43;1.78;1.43;1.18;1.07
A;0.79;0.75;0.81;1.06;1.79;2.56;3.67;4.14;4.26;3.68;2.82;2.1;1.51;1.36;1.2
A;0.79;0.89;0.95;1.39;2.42;3.66;5.2;6.34;6.08;5.28;3.59;2.66;1.85;1.59;1.41
A;1.0;0.9;0.87;1.2;1.88;2.94;4.06;4.95;4.79;4.26;2.96;2.27;1.71;1.45;1.23
A;0.78;0.84;0.78;1.32;2.26;3.35;4.84;5.78;5.57;4.84;3.65;2.47;1.84;1.56;1.36
A;0.74;0.66;0.78;1.13;1.71;2.66;3.86;4.64;4.71;4.07;3.11;1.99;1.65;1.52;1.23
A;0.91;0.86;0.91;1.39;2.27;3.64;5.16;6.32;6.05;5.08;3.85;2.71;1.9;1.49;1.47
A;0.76;0.73;0.68;1.05;1.47;2.17;2.98;3.58;3.44;3.08;2.34;1.79;1.45;1.27;1.14
B;0.98;0.83;1.02;1.35;2.25;3.85;5.32;6.38;6.06;5.08;3.82;2.65;1.81;1.57;1.38
B;0.69;0.66;0.83;1.15;1.86;3.07;4.2;4.92;4.83;4.19;3.03;2.12;1.59;1.41;1.25
B;0.76;0.74;0.97;1.24;2.2;3.49;4.92;5.52;5.69;4.59;3.33;2.27;1.62;1.41;1.41
B;0.71;0.71;0.78;1.19;2.06;3.31;4.4;5.43;5.2;4.65;3.35;2.35;1.81;1.34;1.23
B;0.71;0.59;0.82;1.17;1.81;2.88;4.06;4.8;4.65;3.96;3.04;2.28;1.58;1.34;1.16
B;0.82;0.79;0.93;1.22;2.07;3.27;4.75;5.53;5.28;4.55;3.25;2.14;1.55;1.38;1.31
B;0.65;0.62;0.8;1.11;1.75;2.95;4.18;4.67;4.77;4.11;3.09;2.25;1.53;1.32;1.21
B;0.6;0.62;0.74;1.13;1.81;3.11;4.23;4.88;4.84;4.13;2.96;1.95;1.54;1.24;1.26
B;0.61;0.6;0.66;1.05;1.73;2.87;3.98;4.62;4.34;3.61;2.65;1.8;1.52;1.19;1.14
B;0.59;0.59;0.83;1.08;1.76;2.68;3.55;4.31;4.51;3.82;2.79;1.96;1.49;1.25;1.19
B;0.77;0.79;0.93;1.23;2.02;3.45;4.75;5.52;5.55;4.57;3.39;2.54;1.63;1.4;1.31
B;0.76;0.72;0.87;1.18;2.21;3.55;4.81;5.66;5.64;4.64;3.19;2.18;1.77;1.43;1.33
B;0.67;0.66;0.78;1.09;1.75;2.76;3.9;4.42;4.35;3.77;2.81;2.03;1.48;1.33;1.2
B;0.71;0.68;0.99;1.36;2.33;3.67;5.32;6.33;6.16;5.13;3.72;2.6;1.76;1.6;1.4
B;0.62;0.6;0.76;1.11;1.69;2.76;3.88;4.5;4.72;4.11;3.02;2.2;1.49;1.33;1.17
B;0.69;0.74;0.77;1.11;1.9;2.88;4.12;4.98;4.8;4.23;3.21;2.32;1.69;1.31;1.19
B;0.66;0.67;0.81;1.19;2.11;3.28;4.61;5.6;4.99;4.23;3.0;2.14;1.47;1.33;1.23
B;0.75;0.83;0.82;1.17;2.14;3.25;4.59;5.41;5.48;4.7;3.42;2.34;1.64;1.48;1.43
B;0.71;0.64;0.78;1.1;1.86;2.79;3.9;4.73;4.48;3.8;2.95;2.11;1.61;1.31;1.36
B;0.83;0.77;0.89;1.17;1.74;2.74;3.98;4.74;4.66;3.76;2.95;2.14;1.53;1.42;1.2
B;0.89;0.84;0.93;1.38;2.47;3.74;5.44;6.37;5.99;5.04;3.44;2.57;1.61;1.43;1.36
B;0.63;0.66;0.71;1.15;1.8;2.81;3.95;4.55;4.67;4.1;2.96;2.12;1.55;1.22;1.15
B;0.74;0.73;0.77;1.19;1.93;2.95;4.15;4.8;4.91;3.99;3.04;2.08;1.44;1.39;1.18
B;0.64;0.68;0.84;1.21;2.0;3.25;4.7;5.56;5.37;4.21;2.99;2.01;1.49;1.27;1.3
B;0.75;0.79;0.92;1.31;2.21;3.29;4.78;5.81;5.61;4.5;3.15;2.25;1.56;1.39;1.37
B;0.82;0.76;0.82;1.23;1.93;2.9;4.49;5.19;5.22;4.3;3.16;2.24;1.67;1.41;1.37
B;0.72;0.68;0.9;1.18;1.93;3.14;4.18;5.06;5.14;4.21;3.14;2.24;1.59;1.35;1.3
B;0.69;0.72;0.83;1.17;2.03;3.27;4.29;5.14;4.86;4.2;3.05;2.12;1.41;1.3;1.23
B;0.73;0.67;0.9;1.1;1.88;3.16;4.29;5.16;4.73;4.01;2.85;2.02;1.53;1.21;1.29
B;0.72;0.72;0.82;1.19;1.94;3.01;4.22;5.02;4.54;4.0;2.87;2.03;1.49;1.29;1.16
B;0.78;0.72;0.83;1.25;2.02;3.3;4.69;5.4;5.52;4.48;3.55;2.41;1.63;1.46;1.31
B;0.84;0.8;0.82;1.13;1.95;2.99;4.17;5.04;5.25;4.19;3.02;2.27;1.48;1.29;1.18
B;0.79;0.73;0.92;1.18;1.99;3.15;4.49;5.48;5.41;4.59;3.31;2.31;1.66;1.41;1.17
B;0.76;0.76;0.86;1.35;2.29;3.82;5.2;6.17;6.24;4.99;3.55;2.59;1.77;1.52;1.41
B;0.85;0.68;0.76;1.22;1.82;2.97;4.38;4.94;4.69;4.17;2.9;1.99;1.41;1.27;1.24
B;0.72;0.73;0.81;1.18;2.02;3.26;4.53;5.23;5.33;4.61;3.38;2.54;1.64;1.28;1.33
B;0.81;0.78;0.8;1.26;1.99;3.26;4.57;5.5;5.2;4.38;3.12;2.18;1.49;1.33;1.28
B;0.75;0.76;0.94;1.34;2.2;3.42;4.81;5.88;5.79;4.81;3.59;2.44;1.81;1.47;1.35
B;0.66;0.67;0.85;1.23;1.88;3.06;4.21;5.05;4.88;3.98;3.04;2.06;1.53;1.35;1.2
B;0.82;0.76;0.84;1.25;2.16;3.52;4.9;5.64;5.38;4.35;3.36;2.12;1.47;1.33;1.25
B;0.64;0.62;0.81;1.13;1.88;2.54;3.95;4.5;4.5;3.92;2.92;2.24;1.39;1.34;1.12
B;0.72;0.72;0.83;1.29;2.27;3.44;4.83;5.99;5.56;4.87;3.37;2.33;1.64;1.47;1.31
B;0.8;0.78;0.89;1.32;2.18;3.65;5.0;5.82;5.9;5.16;3.63;2.5;1.8;1.48;1.35
B;0.84;0.83;0.97;1.5;2.32;3.95;5.34;6.6;6.48;5.56;4.05;2.75;1.95;1.5;1.5
B;0.77;0.7;0.81;1.34;2.11;3.47;4.7;5.7;5.63;4.73;3.38;2.37;1.69;1.32;1.32
B;0.61;0.6;0.79;1.04;1.66;2.62;3.71;4.31;4.21;3.36;2.62;1.91;1.34;1.12;1.13
B;0.93;0.73;0.95;1.3;2.36;3.68;5.33;6.16;6.27;5.09;3.95;2.59;1.82;1.52;1.41
B;0.73;0.77;0.82;1.31;2.15;3.46;4.45;5.83;5.67;4.66;3.47;2.39;1.64;1.39;1.29
B;0.77;0.75;0.71;1.13;1.81;2.96;3.91;4.63;4.7;4.1;2.98;2.25;1.61;1.38;1.17
B;0.97;0.87;0.96;1.36;2.15;3.52;4.77;5.55;5.54;4.72;3.45;2.35;1.75;1.38;1.31
B;0.74;0.64;0.79;1.08;1.9;3.0;4.22;4.9;4.88;4.03;3.17;2.22;1.63;1.29;1.28
B;0.8;0.78;0.87;1.25;1.99;3.22;4.53;5.42;5.12;4.53;3.16;2.03;1.66;1.34;1.17
B;0.69;0.65;0.75;1.09;1.73;2.81;4.01;4.55;4.49;3.67;2.79;1.95;1.41;1.2;1.14
B;0.75;0.73;0.83;1.15;1.97;3.01;4.2;5.0;4.9;4.3;3.07;2.19;1.54;1.4;1.33
B;0.61;0.62;0.77;1.07;1.72;2.65;3.63;4.41;4.4;3.69;2.79;2.21;1.48;1.2;1.2
B;0.71;0.78;0.82;1.29;1.99;3.5;4.66;5.63;5.65;4.77;3.55;2.59;1.86;1.43;1.34
B;0.62;0.65;0.72;1.11;1.94;3.15;4.29;4.65;4.71;3.66;2.83;2.03;1.52;1.09;1.17
B;0.61;0.62;0.78;1.12;1.76;2.78;3.75;4.74;4.56;4.12;2.93;2.16;1.69;1.27;1.22
B;0.73;0.71;0.88;1.23;2.06;3.26;4.55;5.35;5.06;4.09;2.87;2.01;1.49;1.32;1.26
B;0.66;0.6;0.75;1.06;1.87;2.8;4.02;4.78;4.74;4.09;2.99;1.97;1.49;1.31;1.17
B;0.71;0.78;0.8;1.23;1.98;3.34;4.48;5.52;5.19;4.02;3.02;2.15;1.63;1.33;1.27
B;0.75;0.81;0.83;1.32;2.21;3.32;4.85;5.62;5.64;4.72;3.56;2.34;1.68;1.31;1.27
B;0.57;0.58;0.75;1.12;1.62;2.53;3.61;4.04;4.34;3.65;2.85;2.07;1.49;1.21;1.15
B;0.59;0.6;0.75;1.14;1.77;2.81;3.83;4.55;4.64;3.81;3.08;2.08;1.68;1.33;1.2
B;0.81;0.73;0.82;1.16;1.84;2.88;3.79;4.29;4.42;3.65;2.6;1.95;1.43;1.28;1.1
B;0.74;0.68;0.77;1.16;1.83;2.97;4.27;4.82;5.15;4.16;3.0;2.12;1.54;1.41;1.23
B;0.64;0.59;0.83;1.1;1.67;2.57;3.31;4.01;4.01;3.37;2.4;1.85;1.45;1.15;1.13
B;0.65;0.65;0.74;1.09;1.76;2.84;4.08;4.61;4.56;3.65;2.9;1.97;1.44;1.24;1.09
B;0.69;0.7;0.78;1.14;1.9;3.08;4.13;4.8;4.93;4.2;3.23;2.18;1.63;1.41;1.26
B;0.77;0.8;0.85;1.24;2.06;3.25;4.63;5.5;5.46;4.57;3.45;2.35;1.7;1.38;1.27
B;0.64;0.65;0.81;1.11;1.94;2.89;4.15;4.85;4.57;3.75;2.78;1.96;1.39;1.22;1.23
B;0.89;0.94;0.93;1.56;2.83;4.41;6.39;7.21;7.47;5.75;4.17;2.61;1.99;1.51;1.36
B;0.8;0.79;0.94;1.36;2.37;3.75;5.36;6.23;6.27;5.36;4.02;2.74;1.94;1.5;1.41
B;0.79;0.73;0.87;1.24;1.97;3.52;4.61;5.73;5.55;4.71;3.54;2.38;1.96;1.48;1.41
B;0.69;0.71;0.82;1.15;1.76;2.83;4.03;4.78;4.6;3.87;2.81;2.11;1.49;1.18;1.22
B;0.68;0.69;0.72;1.09;1.71;3.05;4.06;4.83;4.77;3.92;2.94;2.07;1.5;1.16;1.21
B;0.71;0.76;0.9;1.25;2.43;3.5;5.16;6.04;5.5;4.56;3.19;2.15;1.57;1.32;1.35
B;0.79;0.81;0.92;1.4;2.29;3.82;5.3;6.48;6.37;5.26;3.9;2.66;1.87;1.44;1.41
B;0.81;0.75;0.85;1.35;2.26;3.71;5.16;6.01;6.13;4.86;3.64;2.47;1.8;1.51;1.28
B;0.7;0.64;0.79;1.17;1.96;2.96;4.0;4.68;4.52;4.04;3.08;2.2;1.62;1.31;1.26
B;0.95;0.86;0.99;1.28;2.22;3.65;4.95;5.95;5.81;5.02;3.66;2.43;1.81;1.51;1.43
B;0.72;0.69;0.85;1.06;1.7;2.64;3.76;4.66;4.59;3.92;2.89;2.08;1.54;1.26;1.17
B;0.94;0.79;0.92;1.29;2.13;3.46;4.8;5.76;5.62;4.64;3.36;2.34;1.56;1.33;1.31
B;0.71;0.7;0.89;1.41;2.27;3.67;5.16;6.26;6.12;4.96;3.78;2.59;1.79;1.47;1.32
B;0.69;0.75;0.81;1.09;1.75;2.86;3.98;4.69;4.46;3.84;2.89;2.1;1.53;1.22;1.3
B;0.86;0.86;0.87;1.3;2.04;3.27;4.49;5.48;5.56;4.47;3.37;2.29;1.71;1.53;1.32
B;0.8;0.79;0.89;1.22;2.02;3.11;4.36;5.1;5.18;4.4;3.12;2.2;1.66;1.27;1.26
B;0.85;0.75;0.86;1.22;1.88;2.88;4.24;5.05;4.93;4.05;2.98;2.33;1.64;1.41;1.16
B;0.58;0.56;0.71;1.0;1.69;2.62;3.69;4.45;4.26;3.66;2.79;2.06;1.46;1.17;1.13
B;1.14;0.98;0.99;1.21;2.13;3.31;4.71;5.72;5.51;4.69;3.42;2.43;1.69;1.34;1.22
B;0.7;0.64;0.77;1.21;2.02;3.19;4.36;5.0;4.97;4.17;2.84;2.02;1.36;1.24;1.26
B;0.68;0.7;0.72;1.1;1.86;2.81;4.1;4.66;4.76;3.9;2.88;1.99;1.54;1.3;1.17
B;0.8;0.76;0.92;1.36;2.38;3.84;5.17;6.3;6.15;5.18;4.0;2.62;1.99;1.59;1.34
B;0.67;0.61;0.7;1.08;1.62;2.34;3.39;4.23;3.8;3.38;2.47;1.92;1.45;1.18;1.08
B;0.83;0.78;0.83;1.26;2.0;3.15;4.54;5.29;5.17;4.17;3.09;2.04;1.55;1.33;1.21
Multivariate_threshold|S > 0.276000;0.7612316146650316;0.7402209583182549;0.8427875223613506;1.220600546587258;2.003077553076394;3.184890253076907;4.444482469194977;5.272000888376064;5.204198469747496;4.385187098065907;3.239154820994235;2.2763269185107813;1.6514266119243142;1.3752100553474411;1.2793242877665856
Multivariate_threshold|S > 1.017742;0.7898236882470572;0.7670922812874604;0.8735703342853807;1.2759639380571086;2.1204398453814393;3.3986972447138797;4.746178736006599;5.6367031754607915;5.561468871325356;4.665286539499167;3.431575839759201;2.380922013592579;1.7104035348140672;1.4190727326828234;1.3199106655694486
Multivariate_threshold|S > -0.491476;0.7316475878888009;0.7124173806605127;0.810936753315321;1.1633164167402836;1.8816435763446404;2.9636655927742033;4.132319365318004;4.894645877886376;4.834533181348173;4.09537008456402;3.0400580833924193;2.168103075119878;1.5904035853521175;1.3298256372833075;1.2373298348555193
Multivariate_threshold|S > -1.058091;0.7098061528041492;0.6918904239643893;0.7874218170364631;1.1210244186665559;1.7919907261792702;2.800338805191391;3.901854113892856;4.616050437589498;4.561614945413167;3.881402610335158;2.893068003144457;2.0882030646205267;1.5453512169363182;1.296319014655488;1.2063259717198402
Multivariate_threshold|S <= -0.491476;0.7316475878888009;0.7124173806605127;0.810936753315321;1.1633164167402836;1.8816435763446404;2.9636655927742033;4.132319365318004;4.894645877886376;4.834533181348173;4.09537008456402;3.0400580833924193;2.168103075119878;1.5904035853521175;1.3298256372833075;1.2373298348555193
Multivariate_threshold|S <= 1.017742;0.7898236882470572;0.7670922812874604;0.8735703342853807;1.2759639380571086;2.1204398453814393;3.3986972447138797;4.746178736006599;5.6367031754607915;5.561468871325356;4.665286539499167;3.431575839759201;2.380922013592579;1.7104035348140672;1.4190727326828234;1.3199106655694486
Multivariate_threshold|S <= 0.276000;0.7612316146650316;0.7402209583182549;0.8427875223613506;1.220600546587258;2.003077553076394;3.184890253076907;4.444482469194977;5.272000888376064;5.204198469747496;4.385187098065907;3.239154820994235;2.2763269185107813;1.6514266119243142;1.3752100553474411;1.2793242877665856
