Class;5.72;5.74;5.76;5.78;5.8;5.82;5.84;5.86;5.88;5.9;5.92;5.94;5.96;5.98;6;6.02;6.04;6.06;6.08;6.1
A;3.47;3.5;3.92;4.0;4.68;5.62;6.67;7.66;8.94;8.71;9.03;8.25;7.27;6.09;5.34;4.84;4.29;4.13;4.23;4.05
A;3.55;3.55;3.73;3.83;4.13;4.68;5.2;5.82;6.1;6.43;6.27;6.07;5.56;4.96;4.5;4.23;4.24;4.01;3.98;4.18
A;3.42;3.56;3.91;4.19;4.98;5.56;7.08;7.89;8.65;9.3;8.88;8.25;7.37;6.46;5.32;4.75;4.52;4.22;4.1;4.05
A;3.38;3.45;3.76;4.0;4.48;5.12;6.14;6.83;7.62;8.15;8.04;7.41;6.61;5.78;5.0;4.54;4.3;4.15;4.05;4.02
A;3.48;3.53;3.66;3.87;4.02;4.4;4.9;5.28;5.62;5.76;5.66;5.3;5.16;4.79;4.44;4.13;4.06;4.13;4.06;4.13
A;3.71;3.66;3.92;4.2;4.51;5.16;5.69;6.84;7.49;7.76;7.92;6.92;6.65;5.8;5.09;4.61;4.36;4.29;4.18;4.2
A;3.53;3.66;3.72;4.03;4.27;5.06;5.43;6.3;6.89;6.78;7.06;6.42;6.0;5.47;4.66;4.29;4.25;4.21;4.06;4.16
A;3.58;3.86;3.66;3.8;4.11;4.8;5.08;5.74;5.95;6.37;6.32;6.12;5.51;4.93;4.51;4.34;4.08;4.21;4.12;4.06
A;3.41;3.58;3.91;4.27;4.48;5.08;6.07;6.39;7.03;7.56;7.33;6.94;6.28;5.44;4.93;4.57;4.39;4.08;4.01;4.09
A;3.32;3.35;3.56;3.63;4.04;4.32;4.77;5.44;5.83;5.68;5.8;5.38;5.13;4.63;4.44;4.09;3.92;3.88;3.91;3.93
A;3.42;3.4;3.55;3.76;4.23;4.8;5.41;6.12;6.92;7.17;6.84;6.55;5.82;5.05;4.53;4.26;4.03;4.01;3.99;4.06
A;3.53;3.59;3.84;3.87;4.02;4.49;5.14;5.49;5.91;6.02;6.14;5.74;5.3;5.09;4.35;4.36;4.24;4.18;4.06;4.22
A;3.53;3.43;3.6;3.64;3.88;4.36;4.91;5.42;5.84;6.07;5.94;5.59;5.35;4.82;4.33;4.01;4.03;4.01;3.97;3.96
A;3.46;3.53;3.65;4.08;4.59;5.18;6.13;7.24;7.76;8.17;8.22;7.37;6.52;5.62;5.05;4.5;4.11;4.0;3.99;3.94
A;3.49;3.7;3.67;3.97;4.64;5.1;5.96;6.55;7.54;7.92;7.69;7.28;6.41;5.78;5.07;4.54;4.17;4.13;4.27;4.41
A;3.48;3.54;3.65;4.11;4.1;4.73;5.21;6.03;6.56;6.79;6.58;6.33;5.92;5.24;4.64;4.35;4.36;3.89;3.97;3.96
A;3.39;3.37;3.62;3.64;3.91;4.26;4.77;5.43;5.65;5.79;6.0;5.49;5.06;4.77;4.47;4.04;3.92;3.72;3.93;3.98
A;3.48;3.59;3.87;4.19;4.53;5.0;5.87;6.86;7.32;7.7;7.53;7.0;6.6;5.58;4.84;4.57;4.3;4.21;4.27;4.18
A;3.35;3.66;3.85;3.89;4.14;4.39;5.03;5.53;6.08;6.11;6.15;5.88;5.29;4.99;4.59;4.18;4.03;4.08;4.16;4.15
A;3.56;3.61;3.74;4.11;4.64;5.32;5.8;6.78;7.24;7.86;7.76;7.2;6.23;5.69;4.84;4.48;4.33;4.22;4.24;4.18
A;3.63;3.75;3.64;4.06;4.75;5.52;6.66;7.71;8.49;8.92;8.72;7.94;7.17;6.09;5.29;4.74;4.34;4.38;4.17;4.28
A;3.56;3.56;4.09;4.34;4.81;5.88;7.32;8.53;9.49;10.06;9.9;8.81;7.96;6.6;5.58;4.91;4.58;4.28;4.0;4.1
A;3.6;3.68;3.74;4.18;4.57;5.24;6.21;6.98;7.84;8.01;8.03;7.33;6.58;5.7;4.91;4.46;4.37;4.07;3.95;4.07
A;3.5;3.53;3.56;3.65;3.93;4.52;4.78;5.1;5.69;5.91;5.78;5.51;5.19;4.79;4.46;4.02;3.77;3.84;3.88;3.93
A;3.39;3.27;3.6;3.84;3.89;4.53;5.22;5.9;6.52;6.71;6.55;6.12;5.6;5.03;4.42;4.17;4.05;3.99;3.87;3.88
A;3.64;3.73;4.01;4.24;4.7;5.8;6.38;7.51;8.13;8.33;8.44;7.92;6.8;5.93;5.42;4.72;4.32;4.31;4.11;4.44
A;3.56;3.48;3.77;4.04;4.33;5.3;6.01;7.14;8.02;8.23;7.91;7.69;6.7;5.91;5.05;4.72;4.08;4.06;4.1;4.16
A;3.2;3.34;3.49;3.73;3.65;4.08;4.46;4.62;5.14;5.23;5.2;4.91;4.72;4.42;4.13;3.84;3.88;3.63;3.79;3.77
A;3.53;3.53;3.65;3.65;4.22;4.76;5.45;6.06;6.44;6.8;6.78;6.28;5.79;5.03;4.74;4.19;3.89;3.86;3.89;3.81
A;3.48;3.8;3.75;4.09;4.52;5.22;6.2;7.26;7.95;8.17;8.12;7.66;6.73;5.72;5.17;4.65;4.42;4.26;4.24;4.17
A;3.72;3.79;4.15;4.3;5.16;5.76;6.75;8.02;8.91;9.25;9.1;8.18;7.45;6.27;5.53;4.89;4.59;4.43;4.29;4.54
A;3.4;3.14;3.34;3.58;3.53;3.94;4.35;4.69;4.86;5.08;5.22;4.92;4.84;4.24;4.11;3.85;3.83;3.82;3.76;3.91
A;3.57;3.63;3.75;4.24;4.73;5.18;6.12;6.83;7.62;8.1;7.81;7.21;6.46;5.59;5.1;4.65;4.39;4.22;4.28;4.28
A;3.55;3.73;3.7;3.96;4.47;4.87;5.53;6.76;7.0;7.62;7.2;6.59;5.93;5.49;4.66;4.42;4.14;4.07;4.0;4.08
A;3.44;3.52;3.83;3.86;4.24;4.74;5.3;6.06;6.68;6.78;6.58;6.35;5.91;5.23;4.65;4.28;4.09;3.95;4.13;3.94
A;3.56;3.54;3.63;3.99;4.4;4.92;5.72;6.34;7.08;7.57;7.33;6.7;6.25;5.46;4.98;4.44;4.19;4.14;4.15;4.2
A;3.56;3.27;3.52;3.86;3.9;4.14;4.88;5.32;5.78;5.84;5.93;5.48;5.05;4.65;4.38;4.09;3.98;3.93;3.81;3.85
A;3.65;3.58;3.71;4.15;4.63;5.54;6.32;7.29;7.82;8.48;8.33;7.76;6.73;5.99;5.23;4.62;4.39;4.14;4.08;4.22
A;3.35;3.26;3.36;3.69;3.88;4.16;4.69;5.4;5.66;6.18;6.24;5.46;5.46;4.55;4.34;4.02;3.88;3.76;3.9;3.79
A;3.8;3.79;3.95;4.25;4.68;5.16;6.24;6.44;7.71;7.68;7.63;7.03;6.22;5.69;5.09;4.55;4.59;4.38;4.41;4.27
B;3.24;3.41;3.54;3.62;3.91;4.48;4.87;5.25;5.7;5.78;5.85;5.4;5.04;4.76;4.46;3.99;3.91;3.92;3.8;3.78
