Class;1.4;1.42;1.44;1.46;1.48;1.5;1.52;1.54;1.56;1.58;1.6;1.62
A;0.44;0.53;0.76;0.86;1.17;1.48;1.68;2.2;2.48;2.23;1.74;1.42
A;0.5;0.68;0.88;1.08;1.37;1.6;2.17;2.52;2.76;2.75;2.29;1.73
A;0.5;0.54;0.83;1.04;1.31;1.47;1.93;2.3;2.57;2.4;1.97;1.54
A;0.46;0.52;0.63;0.97;1.06;1.47;1.66;2.19;2.43;2.31;1.84;1.44
A;0.41;0.51;0.71;0.93;1.17;1.3;1.72;2.11;2.44;2.28;1.84;1.48
A;0.49;0.56;0.75;0.98;1.21;1.4;1.84;2.2;2.55;2.43;1.93;1.51
A;0.48;0.61;0.79;1.06;1.37;1.57;1.9;2.47;2.78;2.67;2.15;1.61
A;0.41;0.52;0.65;0.97;1.19;1.47;1.85;2.25;2.7;2.61;2.08;1.62
A;0.39;0.57;0.78;1.02;1.24;1.43;1.94;2.35;2.71;2.49;1.95;1.5
A;0.4;0.56;0.72;0.93;1.27;1.63;2.02;2.67;3.06;2.96;2.44;1.76
A;0.47;0.54;0.76;0.92;1.23;1.5;2.01;2.48;2.64;2.68;2.15;1.61
A;0.46;0.57;0.71;1.05;1.31;1.5;1.93;2.51;2.9;2.77;2.17;1.6
A;0.5;0.58;0.71;0.98;1.38;1.54;2.31;2.66;3.13;2.89;2.38;1.69
A;0.4;0.57;0.71;0.92;1.29;1.44;2.05;2.23;2.65;2.52;2.18;1.54
A;0.56;0.7;0.94;1.06;1.3;1.73;2.14;2.83;3.11;2.97;2.36;1.7
A;0.54;0.65;0.71;0.99;1.22;1.52;1.99;2.41;2.94;2.83;2.16;1.76
A;0.46;0.57;0.73;0.95;1.12;1.44;1.97;2.32;2.54;2.57;1.99;1.38
A;0.45;0.51;0.83;1.04;1.14;1.5;1.8;2.2;2.68;2.38;1.91;1.69
A;0.36;0.5;0.73;0.89;1.0;1.48;1.78;2.32;2.55;2.47;1.99;1.46
A;0.37;0.51;0.67;0.93;1.13;1.37;1.64;2.16;2.32;2.27;1.82;1.49
A;0.48;0.63;0.82;1.01;1.26;1.4;1.77;2.17;2.28;2.26;1.77;1.54
A;0.41;0.6;0.72;1.01;1.14;1.47;1.83;2.14;2.37;2.31;1.85;1.52
A;0.42;0.52;0.66;0.92;1.09;1.24;1.38;1.58;1.96;1.76;1.46;1.21
A;0.43;0.6;0.76;0.89;1.22;1.33;1.69;2.11;2.27;2.13;1.87;1.46
A;0.45;0.61;0.8;1.05;1.45;1.76;2.24;2.62;3.01;3.11;2.44;1.68
A;0.48;0.61;0.71;1.03;1.21;1.44;1.94;2.44;2.68;2.54;2.16;1.51
A;0.45;0.58;0.75;1.03;1.28;1.63;1.99;2.63;2.93;2.96;2.14;1.68
A;0.41;0.49;0.68;0.87;1.11;1.42;1.86;2.46;2.7;2.52;1.97;1.54
