energy;VIP_Score;Zone
10.83;1.0409977849536323;background2
4.94;1.0339607596509937;
20.78;1.0323709771007452;Compton kb
5.53;1.0270270942504365;background1
21.64;1.023921376035409;Compton kb
16.28;1.0218922447376124;background3
14.41;1.0200458520402844;Sr
5.61;1.0140621206544342;background1
6.15;1.011841994186304;Fe ka
4.30;1.0103246689285699;Ti ka
3.60;1.008426875918257;Ca ka
10.61;1.008345035083842;background2
9.71;1.008215557879216;Zn kb
5.83;1.0080676477337325;Mn
13.47;1.0054446034890057;Rb
7.91;1.0053512044528863;Cu
5.51;1.0033494928998992;background1
14.49;1.0010855412829414;Sr
15.60;0.9894863909814495;background3
3.12;0.9871973719899942;K
18.60;0.9816878935407912;Compton ka
13.35;0.9814952198122108;Rb
6.03;0.9783504035887077;Mn
4.62;0.9777505212627133;Ti ka
19.60;0.9732887980973306;Compton ka
2.12;0.9713005331492679;P
19.24;0.9699966992591822;Compton ka
16.56;0.9683290233629448;background3
2.08;0.9639971026201276;P
2.44;0.9595523235317617;Rh L + Ar
2.98;0.9537172275906747;Rh L + Ar
13.01;0.9526711608739374;Rb
17.98;0.9519041943220585;Compton ka
10.73;0.9499698629154861;background2
10.01;0.9494183032151482;background2
3.06;0.945400466662815;Rh L + Ar
10.21;0.9453609398866554;background2
19.80;0.9437069549435401;Rayleigh ka
2.06;0.9432240078848383;P
10.93;0.9425790529937359;background2
18.10;0.9415657498209116;Compton ka
9.19;0.9393087705734857;Zn kb
22.32;0.9390973674482602;Rayleigh kb
7.43;0.9341694239170683;Ni
2.84;0.933570822224255;Rh L + Ar
20.70;0.9234311989846598;Compton kb
22.48;0.9224009279813004;Rayleigh kb
16.18;0.9210571487704292;background3
13.05;0.9206459343817238;Rb
4.24;0.9150945368848584;Ti ka
22.92;0.9132040669814518;Rayleigh kb
10.37;0.9131587615981795;background2
21.34;0.91293336466536;Compton kb
21.76;0.9116395031624672;Compton kb
19.84;0.9114802428337568;Rayleigh ka
21.32;0.9089817462351774;Compton kb
16.24;0.9013908931619199;background3
21.06;0.9008520004281786;Compton kb
21.28;0.9002913660997299;Compton kb
19.22;0.8997146320404497;Compton ka
17.88;0.8904631788125855;Compton ka
6.27;0.887200316625612;Fe ka
19.10;0.8850313217127057;Compton ka
14.27;0.8849830057643624;Sr
3.62;0.8849074631451642;Ca ka
20.42;0.8845552549452905;Rayleigh ka
20.82;0.8825329048313718;Compton kb
14.19;0.8813021735878804;Sr
14.23;0.8802225803190388;Sr
19.52;0.874682919388101;Compton ka
11.87;0.8737656304116402;background2
6.97;0.8693978949961803;Fe kb
2.90;0.868887726083788;Rh L + Ar
19.38;0.8672884728969252;Compton ka
20.68;0.8665589174331019;Compton kb
5.87;0.866368249238053;Mn
4.82;0.8659570984724153;
12.93;0.8633589877721041;background2
11.05;0.861033561861791;background2
6.09;0.8603517432453119;Mn
9.95;0.8588272118455935;background2
3.70;0.8563963159406489;Ca ka
13.95;0.8553973380429115;Sr
6.81;0.8532645551725925;Fe kb
15.70;0.8516336149832037;background3
11.89;0.8493627649418348;background2
7.83;0.8474120223954416;Cu
17.30;0.84651818921447;background3
15.11;0.8440788558382847;Zr
2.88;0.8431271365681879;Rh L + Ar
11.97;0.8429387791375546;background2
13.39;0.8418266983731285;Rb
4.14;0.8410063916549485;Ca kb
10.55;0.8402100732537902;background2
8.77;0.8367219186007466;Zn ka
4.08;0.8362680232807526;Ca kb
20.48;0.8357151497862095;Rayleigh ka
6.11;0.8354025195902125;Mn
18.46;0.8338264926785607;Compton ka
5.77;0.8331110600297137;Mn
4.78;0.8313588744531244;
10.67;0.8299557082125527;background2
10.11;0.8290262782866231;background2
18.26;0.8267283042444119;Compton ka
1.92;0.8256489024900237;P
