LVs;Accuracy Cal;Sensitivity Cal;Specificity Cal;CM Cal;Accuracy CV;Sensitivity CV;Specificity CV;CM CV;Accuracy Pred;Sensitivity Pred;Specificity Pred;CM Pred;X Cum Exp Var;Y Cum Exp Var;X Ind Exp Var;Y Ind Exp Var
1;0.68;0.3333333333333333;0.875;"[[14  2]
 [ 6  3]]";0.64;0.2222222222222222;0.875;"[[14  2]
 [ 7  2]]";0.5454545454545454;0.0;0.8571428571428571;"[[6 1]
 [4 0]]";62.69846132357867;7.188357107544571;62.69846132357867;7.188357107544571
2;0.84;0.6666666666666666;0.9375;"[[15  1]
 [ 3  6]]";0.56;0.2222222222222222;0.75;"[[12  4]
 [ 7  2]]";0.7272727272727273;0.25;1.0;"[[7 0]
 [3 1]]";69.93019141499653;19.545496427319854;7.231730091417859;12.357139319775282
3;0.8;0.6666666666666666;0.875;"[[14  2]
 [ 3  6]]";0.48;0.1111111111111111;0.6875;"[[11  5]
 [ 8  1]]";0.9090909090909091;0.75;1.0;"[[7 0]
 [1 3]]";88.76822102542909;22.594507638316475;18.838029610432557;3.049011210996621
