Method_1;Method_2;RBO_Score
Reg_Coefficient;Permutation;0.7894610940566666
VIP_Score;Reg_Coefficient;0.42722049372333326
Permutation;LRC_perturbation;0.4166137720966666
Reg_Coefficient;LRC_perturbation;0.39815828551333327
VIP_Score;Permutation;0.3981031665566667
VIP_Score;LRC_perturbation;0.3959752803066666
VIP_Score;LRC_covariance;0.19297528030666666
Permutation;LRC_covariance;0.16411807176333332
LRC_perturbation;LRC_covariance;0.14592450226666664
Reg_Coefficient;LRC_covariance;0.11084679892999999
