Class;17.215;17.22;17.225;17.23;17.235;17.24;17.245;17.25;17.255;17.26;17.265;17.27;17.275;17.28;17.285;17.29;17.295;17.3;17.305;17.31;17.315;17.32;17.325;17.33;17.335;17.34;17.345;17.35;17.355;17.36;17.365;17.37;17.375;17.38;17.385;17.39;17.395;17.4;17.405;17.41;17.415;17.42;17.425;17.43;17.435;17.44;17.445;17.45;17.455;17.46;17.465;17.47;17.475;17.48;17.485;17.49;17.495;17.5;17.505;17.51;17.515;17.52;17.525;17.53;17.535;17.54;17.545;17.55;17.555;17.56;17.565;17.57;17.575;17.58;17.585;17.59;17.595;17.6;17.605;17.61;17.615;17.62;17.625;17.63;17.635;17.64;17.645;17.65;17.655;17.66;17.665;17.67;17.675;17.68;17.685;17.69;17.695;17.7;17.705;17.71;17.715;17.72;17.725;17.73;17.735;17.74;17.745;17.75;17.755;17.76;17.765
A;8562.0;8885.0;8866.0;9233.0;9151.0;9528.0;9483.0;9846.0;10111.0;10146.0;10369.0;10669.0;11106.0;11180.0;11478.0;11828.0;11937.0;12122.0;12696.0;12820.0;13280.0;13496.0;13728.0;14089.0;14381.0;14620.0;14895.0;15161.0;15506.0;15850.0;16071.0;16316.0;16617.0;16648.0;16937.0;17046.0;17140.0;17531.0;17400.0;17397.0;17581.0;17546.0;17382.0;17508.0;17395.0;17465.0;17537.0;17086.0;16990.0;16868.0;16534.0;16341.0;15954.0;15709.0;15392.0;14852.0;14434.0;14181.0;13755.0;13189.0;12795.0;12072.0;11751.0;11367.0;10819.0;10533.0;9929.0;9365.0;8885.0;8437.0;7900.0;7444.0;7241.0;6578.0;6177.0;5857.0;5352.0;4946.0;4750.0;4264.0;3912.0;3659.0;3387.0;3170.0;2889.0;2730.0;2421.0;2251.0;2028.0;1857.0;1801.0;1618.0;1472.0;1331.0;1204.0;1121.0;1029.0;921.0;869.0;745.0;738.0;728.0;605.0;618.0;579.0;509.0;467.0;433.0;481.0;460.0;385.0
A;4263.0;4257.0;4343.0;4336.0;4574.0;4574.0;4583.0;4772.0;4752.0;4936.0;5015.0;5036.0;5202.0;5327.0;5535.0;5556.0;5699.0;5767.0;5915.0;6113.0;6248.0;6266.0;6603.0;6685.0;6848.0;6999.0;7126.0;7169.0;7310.0;7489.0;7372.0;7658.0;7537.0;7688.0;7666.0;7884.0;7906.0;7918.0;7800.0;7884.0;7828.0;7863.0;7774.0;7725.0;7654.0;7576.0;7385.0;7398.0;7199.0;7061.0;6935.0;6614.0;6582.0;6458.0;6097.0;5868.0;5598.0;5607.0;5393.0;5057.0;4915.0;4622.0;4377.0;4264.0;4095.0;3812.0;3492.0;3324.0;3254.0;2997.0;2872.0;2636.0;2410.0;2321.0;2167.0;2019.0;1924.0;1757.0;1564.0;1442.0;1396.0;1368.0;1164.0;1086.0;1078.0;946.0;899.0;842.0;768.0;721.0;680.0;642.0;591.0;567.0;557.0;533.0;485.0;454.0;449.0;421.0;415.0;394.0;384.0;326.0;373.0;314.0;309.0;339.0;329.0;295.0;298.0
A;7424.0;7588.0;7665.0;7767.0;7919.0;8043.0;8149.0;8037.0;8209.0;8456.0;8639.0;8728.0;8754.0;9051.0;9311.0;9350.0;9592.0;9540.0;9689.0;9977.0;10030.0;10184.0;10587.0;10408.0;10589.0;10788.0;10782.0;10903.0;11027.0;11140.0;11105.0;11280.0;11337.0;11343.0;11343.0;11311.0;11580.0;11194.0;11213.0;10997.0;11073.0;10847.0;10726.0;10551.0;10539.0;10207.0;9914.0;9861.0;9596.0;9378.0;9202.0;8781.0;8591.0;8231.0;7897.0;7854.0;7425.0;6989.0;6728.0;6265.0;6014.0;5805.0;5502.0;5193.0;4873.0;4627.0;4410.0;3997.0;3772.0;3609.0;3390.0;3157.0;2799.0;2678.0;2446.0;2307.0;2137.0;2054.0;1783.0;1704.0;1495.0;1436.0;1300.0;1202.0;1155.0;1087.0;945.0;869.0;806.0;789.0;680.0;600.0;587.0;579.0;537.0;527.0;437.0;440.0;450.0;383.0;390.0;395.0;342.0;304.0;287.0;287.0;292.0;289.0;270.0;276.0;243.0
A;4904.0;4984.0;5066.0;5007.0;5096.0;5136.0;5197.0;5272.0;5441.0;5716.0;5662.0;5770.0;5798.0;5866.0;6168.0;6097.0;6298.0;6473.0;6631.0;6683.0;6875.0;7050.0;6984.0;7230.0;7295.0;7525.0;7437.0;7562.0;7924.0;7838.0;7922.0;7882.0;8108.0;8161.0;8063.0;8139.0;8055.0;8143.0;8185.0;8082.0;8147.0;7929.0;8110.0;7882.0;7841.0;7634.0;7647.0;7374.0;7455.0;7290.0;6795.0;6819.0;6630.0;6395.0;6270.0;6036.0;5806.0;5512.0;5434.0;5104.0;4939.0;4715.0;4500.0;4191.0;3977.0;3785.0;3542.0;3367.0;3146.0;3009.0;2710.0;2481.0;2389.0;2182.0;2039.0;1930.0;1778.0;1654.0;1528.0;1438.0;1288.0;1216.0;1107.0;952.0;972.0;816.0;755.0;716.0;634.0;625.0;578.0;517.0;475.0;460.0;427.0;403.0;377.0;353.0;305.0;309.0;298.0;309.0;263.0;252.0;239.0;230.0;211.0;207.0;223.0;209.0;192.0
A;3667.0;3693.0;3830.0;4068.0;4072.0;4379.0;4518.0;4491.0;4581.0;4776.0;5084.0;5017.0;5335.0;5446.0;5719.0;5701.0;6019.0;5986.0;6152.0;6337.0;6578.0;6845.0;6851.0;6996.0;7346.0;7286.0;7398.0;7604.0;7580.0;7662.0;7902.0;7860.0;7984.0;7917.0;8045.0;8112.0;8013.0;7999.0;8007.0;8085.0;7778.0;8001.0;7713.0;7551.0;7512.0;7458.0;7107.0;7111.0;6976.0;6805.0;6584.0;6396.0;6059.0;5777.0;5785.0;5479.0;5323.0;5099.0;4821.0;4517.0;4414.0;4186.0;3995.0;3804.0;3565.0;3400.0;3174.0;2951.0;2786.0;2559.0;2420.0;2091.0;2046.0;1945.0;1800.0;1597.0;1483.0;1442.0;1298.0;1187.0;1084.0;1042.0;933.0;924.0;797.0;759.0;695.0;661.0;614.0;557.0;524.0;453.0;466.0;382.0;388.0;404.0;348.0;331.0;334.0;284.0;315.0;296.0;296.0;265.0;256.0;241.0;250.0;224.0;215.0;253.0;229.0
A;6625.0;6852.0;6684.0;7032.0;7088.0;7071.0;7263.0;7595.0;7571.0;7624.0;8073.0;8219.0;8513.0;8477.0;8750.0;8781.0;9167.0;9293.0;9669.0;9825.0;9844.0;10218.0;10304.0;10586.0;10846.0;11021.0;11347.0;11215.0;11526.0;11657.0;12092.0;12222.0;12410.0;12380.0;12685.0;12684.0;12581.0;12820.0;12960.0;13072.0;13044.0;12978.0;12941.0;12942.0;12843.0;12735.0;12818.0;12479.0;12284.0;12167.0;11913.0;11836.0;11618.0;11474.0;11170.0;10903.0;10442.0;10077.0;10023.0;9697.0;9091.0;8862.0;8462.0;8043.0;7638.0;7395.0;7116.0;6587.0;6187.0;5883.0;5572.0;5259.0;5003.0;4678.0;4314.0;4136.0;3790.0;3478.0;3171.0;3025.0;2796.0;2551.0;2419.0;2248.0;2049.0;1954.0;1666.0;1563.0;1439.0;1368.0;1206.0;1152.0;976.0;931.0;890.0;728.0;782.0;663.0;627.0;546.0;519.0;498.0;458.0;404.0;412.0;388.0;365.0;322.0;274.0;274.0;320.0
A;11835.0;12074.0;12309.0;12209.0;12531.0;12797.0;13043.0;13278.0;13284.0;13392.0;13841.0;14100.0;14393.0;14471.0;14923.0;15142.0;15602.0;15746.0;15902.0;16221.0;16697.0;16795.0;17090.0;17425.0;17343.0;17544.0;17961.0;18330.0;18241.0;18501.0;18399.0;18680.0;18783.0;19148.0;19081.0;19104.0;18891.0;19124.0;19136.0;19154.0;18778.0;18575.0;18474.0;18283.0;17751.0;17736.0;17160.0;17074.0;16684.0;16139.0;15906.0;15467.0;15287.0;14775.0;14418.0;13624.0;13061.0;12666.0;12132.0;11828.0;11172.0;10597.0;10160.0;9296.0;9143.0;8650.0;8187.0;7595.0;7234.0;6864.0;6409.0;6153.0;5626.0;5162.0;4828.0;4482.0;4263.0;3895.0;3634.0;3379.0;3060.0;2994.0;2696.0;2545.0;2324.0;2265.0;2064.0;1868.0;1757.0;1730.0;1653.0;1369.0;1431.0;1320.0;1300.0;1239.0;1153.0;1083.0;1066.0;1024.0;996.0;971.0;899.0;893.0;813.0;888.0;838.0;804.0;790.0;758.0;761.0
A;16784.0;16937.0;17076.0;17181.0;17286.0;17276.0;17614.0;17669.0;17943.0;18706.0;18348.0;19137.0;18740.0;19474.0;19659.0;19907.0;20351.0;20703.0;20669.0;21338.0;21757.0;21976.0;22411.0;22411.0;23244.0;23148.0;23579.0;23737.0;24237.0;24231.0;24372.0;24684.0;24700.0;24730.0;25221.0;25220.0;25214.0;24998.0;25068.0;24514.0;24741.0;24855.0;24392.0;24103.0;23910.0;23394.0;23551.0;22838.0;22278.0;21949.0;21617.0;21083.0;20328.0;19555.0;19269.0;18399.0;17865.0;17227.0;16552.0;15718.0;15325.0;14403.0;13704.0;13056.0;12329.0;11852.0;11206.0;10447.0;10033.0;9420.0;8726.0;8228.0;7568.0;7186.0;6623.0;6190.0;5673.0;5297.0;4990.0;4609.0;4354.0;4069.0;3676.0;3442.0;3273.0;2919.0;2770.0;2523.0;2347.0;2188.0;2086.0;1954.0;1857.0;1744.0;1612.0;1539.0;1396.0;1330.0;1248.0;1268.0;1216.0;1208.0;1197.0;1114.0;1048.0;1016.0;976.0;936.0;901.0;937.0;835.0
A;6921.0;6922.0;7148.0;7381.0;7364.0;7414.0;7692.0;7911.0;8189.0;8152.0;8476.0;8526.0;8919.0;8899.0;8978.0;9510.0;9641.0;9731.0;10027.0;10015.0;10593.0;10791.0;10783.0;11186.0;11394.0;11517.0;11663.0;12103.0;12242.0;12494.0;12292.0;12558.0;12551.0;12510.0;12903.0;12680.0;12873.0;12859.0;13076.0;13024.0;13110.0;12930.0;12813.0;12649.0;12507.0;12452.0;12126.0;12019.0;11745.0;11573.0;11371.0;10961.0;10915.0;10668.0;10352.0;10015.0;9733.0;9318.0;8925.0;8604.0;8423.0;7819.0;7763.0;7117.0;6796.0;6369.0;6140.0;5802.0;5354.0;5284.0;4714.0;4393.0;4288.0;3847.0;3731.0;3316.0;3049.0;2932.0;2753.0;2417.0;2272.0;1985.0;1848.0;1736.0;1555.0;1417.0;1320.0;1212.0;1102.0;1029.0;887.0;825.0;712.0;696.0;636.0;558.0;526.0;469.0;433.0;445.0;399.0;346.0;324.0;289.0;269.0;253.0;261.0;228.0;232.0;202.0;185.0
