Class;6.15;6.17;6.19;6.21;6.23;6.25;6.27;6.29;6.31;6.33;6.35;6.37;6.39;6.41;6.43;6.45;6.47;6.49;6.51;6.53;6.55;6.57;6.59;6.61;6.63;6.65;6.67
A;0.028201983;0.03021641;0.028201983;0.022158701;0.046331829;0.058418393;0.054389538;0.09064923;0.130937776;0.211514869;0.346481501;0.419000884;0.471375995;0.539866524;0.499577977;0.43713073;0.360582492;0.261875553;0.191370596;0.130937776;0.080577093;0.056403965;0.038274119;0.042302974;0.034245265;0.034245265;0.026187555
A;0.05064563;0.030387378;0.034439029;0.018232427;0.030387378;0.032413204;0.056723106;0.087110484;0.101291261;0.212711648;0.265383104;0.429474947;0.492275528;0.553050285;0.536843683;0.520637082;0.429474947;0.320080385;0.220814949;0.184350095;0.08913631;0.060774757;0.05064563;0.030387378;0.032413204;0.04254233;0.024309903
A;0.029399313;0.033319222;0.033319222;0.023519451;0.041159039;0.027439359;0.056838672;0.068598398;0.127397024;0.219514872;0.248914185;0.38611098;0.462549195;0.572306631;0.458629286;0.458629286;0.372391301;0.278313499;0.203835238;0.156796337;0.090157894;0.068598398;0.027439359;0.027439359;0.029399313;0.033319222;0.027439359
A;0.02621306;0.040327784;0.05040973;0.034278617;0.040327784;0.064524455;0.112917796;0.161311137;0.243983095;0.368999226;0.647260937;0.822686798;0.905358756;0.994079881;1.121112402;0.891244031;0.711785392;0.518212027;0.336736998;0.221802813;0.145180023;0.074606401;0.048393341;0.040327784;0.044360563;0.018147503;0.036295006
A;0.022079309;0.028100939;0.022079309;0.028100939;0.036129778;0.052187457;0.062223507;0.096346075;0.146526323;0.230829138;0.315131954;0.39341314;0.457643857;0.511838524;0.521874573;0.483737585;0.403449189;0.301081485;0.20072099;0.138497483;0.094338865;0.046165828;0.032115358;0.030108148;0.038136988;0.020072099;0.038136988
A;0.040228983;0.042240433;0.042240433;0.016091593;0.032183187;0.02413739;0.064366373;0.086492314;0.104595357;0.183041874;0.319820418;0.382175342;0.428438673;0.50889664;0.504873741;0.462633309;0.398266935;0.261488392;0.215225061;0.138789993;0.076435068;0.062354924;0.034194636;0.036206085;0.028160288;0.016091593;0.026148839
A;0.028210336;0.034255408;0.034255408;0.04030048;0.042315504;0.032240384;0.062465745;0.082615985;0.122916465;0.201502402;0.259938098;0.354644227;0.467485572;0.542041461;0.437260212;0.455395428;0.403004804;0.296208531;0.217622594;0.137021633;0.094706129;0.056420673;0.04030048;0.042315504;0.032240384;0.034255408;0.02015024
A;0.020036627;0.016029302;0.03005494;0.03005494;0.03005494;0.042076917;0.066120869;0.112205111;0.17832598;0.246450512;0.402736202;0.510933987;0.575051194;0.685252642;0.667219678;0.581062182;0.500915674;0.358655622;0.242443186;0.158289353;0.070128194;0.056102555;0.060109881;0.03005494;0.058106218;0.032058603;0.032058603
A;0.029382382;0.029382382;0.031341208;0.033300033;0.02154708;0.031341208;0.050929463;0.074435369;0.115570704;0.176294294;0.276194394;0.366300366;0.350629762;0.434859258;0.434859258;0.344753286;0.276194394;0.207635502;0.142994261;0.115570704;0.058764765;0.043094161;0.029382382;0.023505906;0.029382382;0.023505906;0.02154708
A;0.01999876;0.03999752;0.021998636;0.023998512;0.027998264;0.045997148;0.075995288;0.10999318;0.239985121;0.309980781;0.443972474;0.705956231;0.705956231;0.761952759;0.749953503;0.599962802;0.517967886;0.387975945;0.221986237;0.173989213;0.103993552;0.08999442;0.045997148;0.017998884;0.017998884;0.01999876;0.033997892
A;0.042226163;0.020107697;0.030161545;0.058312321;0.042226163;0.054290781;0.130700029;0.215152356;0.337809307;0.554972432;0.689694001;0.963158678;1.180321804;1.298957215;1.258741821;1.220537197;0.800286334;0.681650922;0.376013931;0.235260053;0.130700029;0.072387709;0.048258472;0.034183085;0.022118467;0.034183085;0.030161545
A;0.020017246;0.022018971;0.032027594;0.034029319;0.036031044;0.046039667;0.068058638;0.11209658;0.146125899;0.240206958;0.308265595;0.506436335;0.530457031;0.550474278;0.616531191;0.530457031;0.444382871;0.346298364;0.232200059;0.14212245;0.116100029;0.064055189;0.02602242;0.038032768;0.044037942;0.034029319;0.02602242
A;0.018115286;0.030192143;0.028179333;0.034217762;0.032204952;0.050320238;0.052333048;0.056358667;0.116742952;0.201280952;0.313998285;0.394510666;0.452882142;0.519304856;0.527356094;0.456907761;0.402561904;0.301921428;0.179140047;0.118755762;0.106678905;0.052333048;0.038243381;0.046294619;0.016102476;0.020128095;0.026166524
A;0.030663936;0.018398361;0.028619673;0.038840985;0.051106559;0.079726232;0.098124594;0.175806564;0.35365739;0.480401657;0.815660685;0.899475442;1.230645946;1.367611525;1.39827546;1.234734471;1.032352496;0.693004943;0.441560672;0.288240994;0.161496727;0.110390168;0.047018034;0.04292951;0.038840985;0.032708198;0.028619673
A;0.015998329;0.029996868;0.027997077;0.023997494;0.041995615;0.025997285;0.059993735;0.085991021;0.127986636;0.243974524;0.295969095;0.379960325;0.485949257;0.527944872;0.399958236;0.421955939;0.33796471;0.213977656;0.181980998;0.097989768;0.10198935;0.037996032;0.03399645;0.035996241;0.041995615;0.031996659;0.041995615
A;0.032234928;0.04029366;0.016117464;0.042308343;0.028205562;0.044323026;0.064469856;0.141027811;0.175277422;0.290114353;0.469421141;0.604404903;0.803858521;0.828034717;0.813931936;0.697080321;0.576199341;0.35458421;0.223629814;0.177292105;0.096704784;0.074543271;0.052381758;0.016117464;0.038278977;0.026190879;0.030220245
A;0.028399006;0.034484507;0.028399006;0.040570009;0.04868401;0.04665551;0.064912014;0.091282519;0.119681525;0.168365536;0.288047061;0.42192809;0.486840103;0.505096607;0.531467113;0.484811603;0.363101577;0.308332066;0.200821543;0.125767027;0.101425022;0.052741011;0.052741011;0.056798012;0.050712511;0.024342005;0.04665551
A;0.022253782;0.028322995;0.034392209;0.03641528;0.020230711;0.048553706;0.068784417;0.125430408;0.190168684;0.313576021;0.451144856;0.617036686;0.768767019;0.863851361;0.863851361;0.758651664;0.576575264;0.436983358;0.31155295;0.20230711;0.149707262;0.074853631;0.05462292;0.030346067;0.038438351;0.032369138;0.040461422
A;0.032791253;0.028692346;0.040989066;0.049186879;0.045087973;0.040989066;0.065582506;0.090175946;0.122967198;0.23568713;0.323813623;0.436533555;0.485720434;0.627132712;0.577945833;0.477522621;0.409890662;0.313566356;0.213143144;0.143461732;0.069681412;0.081978132;0.049186879;0.034840706;0.0307418;0.0307418;0.026642893
A;0.024041919;0.034059385;0.030052399;0.042073358;0.050087331;0.028048906;0.044076852;0.096167676;0.156272474;0.214373778;0.346604332;0.380663718;0.468817421;0.512894272;0.548957151;0.466813927;0.398695157;0.330576386;0.242422683;0.134234048;0.136237541;0.054094318;0.044076852;0.032055892;0.032055892;0.034059385;0.024041919
A;0.019660232;0.033422394;0.029490348;0.023592278;0.039320464;0.047184556;0.037354441;0.094369113;0.147451739;0.188738226;0.369612359;0.416796916;0.503301936;0.509200006;0.509200006;0.522962168;0.310631664;0.261481084;0.167111971;0.084538997;0.09240309;0.047184556;0.045218533;0.021626255;0.027524325;0.023592278;0.015728185
A;0.0403312;0.0302484;0.03629808;0.03226496;0.0705796;0.08469552;0.149225439;0.199639439;0.354914558;0.633199837;0.806623996;1.258333434;1.441840393;1.578966473;1.449906633;1.302697754;0.990130955;0.647315757;0.437593518;0.274252159;0.141159199;0.09679488;0.05243056;0.050414;0.01613248;0.03226496;0.0403312
A;0.020463708;0.012278225;0.028649191;0.022510078;0.045020157;0.047066528;0.071622977;0.08185483;0.130967729;0.282399165;0.32128021;0.499314466;0.577076555;0.597540262;0.642560419;0.560705589;0.497268095;0.319233839;0.239425379;0.165756032;0.114596763;0.069576606;0.047066528;0.042973786;0.030695561;0.042973786;0.028649191
A;0.026479922;0.022406088;0.036664508;0.03462759;0.044812176;0.036664508;0.085550518;0.150731864;0.230171631;0.311648314;0.505155437;0.694588726;0.767917741;0.786249995;0.776065409;0.704773311;0.572373701;0.45423251;0.287205309;0.175174869;0.101845854;0.079439766;0.059070595;0.044812176;0.03462759;0.026479922;0.030553756
A;0.018201446;0.032358126;0.012134297;0.038425275;0.02831336;0.038425275;0.082917698;0.117298207;0.167857779;0.252797861;0.347849856;0.483349509;0.628961077;0.580423888;0.610759631;0.570311973;0.455036149;0.376163216;0.228529266;0.127410122;0.097074378;0.044492423;0.068761018;0.036402892;0.026290977;0.034380509;0.018201446
A;0.026799758;0.030922798;0.043291917;0.032984318;0.041230398;0.043291917;0.074214716;0.082460795;0.142244871;0.187598309;0.319535581;0.410242455;0.484457171;0.478272611;0.564856446;0.521564529;0.381381177;0.303043422;0.226767186;0.123691193;0.070091676;0.059784076;0.047414957;0.041230398;0.045353437;0.032984318;0.026799758
A;0.044422637;0.010096054;0.020192108;0.040384215;0.044422637;0.040384215;0.064614745;0.113075803;0.171632916;0.216055553;0.353361885;0.47249532;0.514898747;0.545186908;0.559321384;0.539129276;0.395765311;0.280670297;0.199901866;0.117114225;0.090864485;0.072691588;0.038365005;0.030288162;0.048461059;0.036345794;0.028268951
A;0.014490234;0.037260601;0.033120534;0.031050501;0.037260601;0.035190567;0.045540734;0.070381135;0.093151502;0.248404004;0.335345406;0.457477375;0.515438309;0.587889477;0.59616961;0.531998576;0.527858509;0.322925206;0.260824204;0.17802287;0.076591235;0.072451168;0.057960934;0.043470701;0.0248404;0.026910434;0.043470701
A;0.026728018;0.041120027;0.051400034;0.024672016;0.034952023;0.057568038;0.086352057;0.098688066;0.170648113;0.298120198;0.405032269;0.561288373;0.676424449;0.672312446;0.779224517;0.643528427;0.559232371;0.429704285;0.283728188;0.207656138;0.111024074;0.067848045;0.043176029;0.043176029;0.041120027;0.041120027;0.020560014
A;0.018127545;0.032226747;0.024170061;0.028198404;0.022155889;0.040283434;0.052368465;0.088623555;0.149048707;0.195374656;0.290040727;0.441103605;0.501528756;0.604251514;0.6123082;0.501528756;0.402834342;0.296083242;0.201417171;0.126892818;0.08258104;0.05841098;0.030212576;0.044311778;0.014099202;0.026184232;0.028198404
A;0.027425813;0.027425813;0.027425813;0.027425813;0.021548853;0.03526176;0.056810613;0.088154399;0.135170079;0.219406505;0.289930025;0.366330505;0.505418557;0.605326877;0.59161397;0.50933653;0.362412531;0.297765972;0.254668265;0.129293119;0.107744266;0.060728586;0.025466827;0.033302773;0.033302773;0.04113872;0.031343786
A;0.048890193;0.036667644;0.040741827;0.036667644;0.04481601;0.042778919;0.04481601;0.105928751;0.118151299;0.181301131;0.323897526;0.437974642;0.468531013;0.492976109;0.543903393;0.45019719;0.43390046;0.346305531;0.266858968;0.144633487;0.114077116;0.067224015;0.050927284;0.03055637;0.03055637;0.038704736;0.038704736
A;0.033762514;0.027804424;0.025818393;0.031776484;0.039720605;0.029790454;0.047664726;0.071497089;0.115189755;0.182714784;0.246267753;0.341597205;0.357485447;0.361457508;0.407136204;0.3018766;0.282016297;0.198603026;0.139022118;0.095329453;0.053622817;0.045678696;0.043692666;0.029790454;0.023832363;0.023832363;0.015888242
