split_seed;Node;Local_Reaching_Centrality;Zone;Threshold;Operator;smx_seeds_used;smx_seed_number;method;model
0;Fe kb <= -5.63;0.0010734624297575248;Fe kb;-5.63;<=;3;10;perturbation;pls
0;Fe ka <= -18.01;0.0010322108774081214;Fe ka;-18.01;<=;3;10;perturbation;pls
0;Fe kb <= -4.57;0.0009378638708236944;Fe kb;-4.57;<=;3;10;perturbation;pls
0;Zn ka <= 1.46;0.0009316626483197478;Zn ka;1.46;<=;3;10;perturbation;pls
0;background1 <= 1.61;0.0008176459136904401;background1;1.61;<=;3;10;perturbation;pls
0;background3 <= 1.37;0.0007815911844045939;background3;1.37;<=;3;10;perturbation;pls
0;background1 <= -0.97;0.0007720543454010674;background1;-0.97;<=;3;10;perturbation;pls
0;background3 > -0.62;0.0007071180477985613;background3;-0.62;>;3;10;perturbation;pls
0;background1 <= -0.20;0.0007033762381335835;background1;-0.20;<=;3;10;perturbation;pls
0;background2 > -0.41;0.0006936676925705087;background2;-0.41;>;3;10;perturbation;pls
0;background2 > -1.05;0.0006868909802541014;background2;-1.05;>;3;10;perturbation;pls
0;Zn kb <= -0.33;0.0006844288804547039;Zn kb;-0.33;<=;3;10;perturbation;pls
0;Ar ka + Ag L <= 0.30;0.0006535589581289225;Ar ka + Ag L;0.30;<=;3;10;perturbation;pls
0;Ar ka + Ag L <= -0.34;0.0006386332618203561;Ar ka + Ag L;-0.34;<=;3;10;perturbation;pls
0;background3 <= 3.14;0.0006174663419696412;background3;3.14;<=;3;10;perturbation;pls
0;Ar ka + Ag L <= 1.17;0.0005997121009680512;Ar ka + Ag L;1.17;<=;3;10;perturbation;pls
0;background3 > 1.37;0.0005996890989945124;background3;1.37;>;3;10;perturbation;pls
0;background2 > 0.23;0.0005927601969001961;background2;0.23;>;3;10;perturbation;pls
0;Ar ka + Ag L > -1.06;0.0005153916983769935;Ar ka + Ag L;-1.06;>;3;10;perturbation;pls
0;background2 <= 0.96;0.000511580400864367;background2;0.96;<=;3;10;perturbation;pls
0;background2 <= 0.23;0.0005110788622096932;background2;0.23;<=;3;10;perturbation;pls
0;Zn kb > 0.29;0.0004997041058553746;Zn kb;0.29;>;3;10;perturbation;pls
0;Ar ka + Ag L > -0.34;0.0004988714127158778;Ar ka + Ag L;-0.34;>;3;10;perturbation;pls
0;background3 <= -0.62;0.0004911059445523892;background3;-0.62;<=;3;10;perturbation;pls
0;Ar ka + Ag L > 0.30;0.00048471494136499406;Ar ka + Ag L;0.30;>;3;10;perturbation;pls
