split_seed;LVs;Accuracy Cal;Sensitivity Cal;Specificity Cal;CM Cal;Accuracy CV;Sensitivity CV;Specificity CV;CM CV;Accuracy Pred;Sensitivity Pred;Specificity Pred;CM Pred;X Cum Exp Var;Y Cum Exp Var;X Ind Exp Var;Y Ind Exp Var
0;1;0.852112676056338;0.6146788990825688;1.0;"[[175   0]
 [ 42  67]]";0.852112676056338;0.6146788990825688;1.0;"[[175   0]
 [ 42  67]]";0.8699186991869918;0.6595744680851063;1.0;"[[76  0]
 [16 31]]";62.14720332882685;23.833985457274345;62.14720332882685;23.833985457274345
0;2;0.9225352112676056;0.7981651376146789;1.0;"[[175   0]
 [ 22  87]]";0.9225352112676056;0.7981651376146789;1.0;"[[175   0]
 [ 22  87]]";0.8861788617886179;0.7021276595744681;1.0;"[[76  0]
 [14 33]]";82.99825929028678;47.73987839322151;20.851055961459934;23.905892935947165
0;3;0.9894366197183099;0.9724770642201835;1.0;"[[175   0]
 [  3 106]]";0.9894366197183099;0.9724770642201835;1.0;"[[175   0]
 [  3 106]]";1.0;1.0;1.0;"[[76  0]
 [ 0 47]]";87.71763828126103;51.64741234748344;4.719378990974249;3.907533954261929
0;4;0.9929577464788732;0.981651376146789;1.0;"[[175   0]
 [  2 107]]";0.9929577464788732;0.981651376146789;1.0;"[[175   0]
 [  2 107]]";1.0;1.0;1.0;"[[76  0]
 [ 0 47]]";92.22026347070802;52.8206523973281;4.502625189446988;1.173240049844658
1;1;0.852112676056338;1.0;0.6146788990825688;"[[ 67  42]
 [  0 175]]";0.8274647887323944;1.0;0.5504587155963303;"[[ 60  49]
 [  0 175]]";0.7967479674796748;1.0;0.46808510638297873;"[[22 25]
 [ 0 76]]";63.84137505518414;14.88213675235941;63.84137505518414;14.88213675235941
1;2;0.9119718309859155;1.0;0.7706422018348624;"[[ 84  25]
 [  0 175]]";0.9119718309859155;1.0;0.7706422018348624;"[[ 84  25]
 [  0 175]]";0.9105691056910569;1.0;0.7659574468085106;"[[36 11]
 [ 0 76]]";82.45308988740479;29.731411299399774;18.61171483222065;14.849274547040364
1;3;0.9894366197183099;1.0;0.9724770642201835;"[[106   3]
 [  0 175]]";0.9894366197183099;1.0;0.9724770642201835;"[[106   3]
 [  0 175]]";1.0;1.0;1.0;"[[47  0]
 [ 0 76]]";87.32422763110522;31.99220429334003;4.87113774370043;2.2607929939402567
1;4;0.9929577464788732;1.0;0.981651376146789;"[[107   2]
 [  0 175]]";0.9894366197183099;1.0;0.9724770642201835;"[[106   3]
 [  0 175]]";1.0;1.0;1.0;"[[47  0]
 [ 0 76]]";92.40336814279975;32.67046268473839;5.079140511694533;0.6782583913983586
2;1;0.8485915492957746;0.6055045871559633;1.0;"[[175   0]
 [ 43  66]]";0.8274647887323944;0.5504587155963303;1.0;"[[175   0]
 [ 49  60]]";0.8699186991869918;0.6595744680851063;1.0;"[[76  0]
 [16 31]]";61.827041541442654;24.436259359013988;61.827041541442654;24.436259359013988
2;2;0.9049295774647887;0.7522935779816514;1.0;"[[175   0]
 [ 27  82]]";0.9049295774647887;0.7522935779816514;1.0;"[[175   0]
 [ 27  82]]";0.926829268292683;0.8085106382978723;1.0;"[[76  0]
 [ 9 38]]";81.16846224866262;47.2307564316599;19.341420707219967;22.79449707264591
