energy;Reg_coef;Abs_Reg_coef;Zone
4.52;-0.004971276323937764;0.004971276323937764;Ti ka
4.54;-0.0049656682738793865;0.0049656682738793865;Ti ka
4.57;-0.004637871643154841;0.004637871643154841;Ti ka
4.49;-0.004517852597357546;0.004517852597357546;Ti ka
4.47;-0.00378054718132133;0.00378054718132133;Ti ka
4.6;-0.0036529466438570473;0.0036529466438570473;Ti ka
4.44;-0.002894507185647752;0.002894507185647752;Ti ka
4.62;-0.002787288764253347;0.002787288764253347;Ti ka
4.65;-0.002047443489453225;0.002047443489453225;Ti ka
4.42;-0.0019967970137069135;0.0019967970137069135;Ti ka
4.95;-0.0018258420487749613;0.0018258420487749613;Ti kb
4.93;-0.0018134567191224024;0.0018134567191224024;Ti kb
4.98;-0.0017001049705973425;0.0017001049705973425;Ti kb
4.9;-0.0016324601538376486;0.0016324601538376486;Ti kb
5;-0.0014930815920530412;0.0014930815920530412;Ti kb
21.92;-0.0014442393146826592;0.0014442393146826592;Ag ka scattering
3.73;0.0013440356978295025;0.0013440356978295025;Ca ka
3.7;0.001285803831900122;0.001285803831900122;Ca ka
4.88;-0.0012856582962094746;0.0012856582962094746;Ti kb
21.9;-0.0012770703717855233;0.0012770703717855233;Ag ka scattering
21.87;-0.0012739969032399753;0.0012739969032399753;Ag ka scattering
21.97;-0.0012118989475249364;0.0012118989475249364;Ag ka scattering
3.75;0.0012000158365875226;0.0012000158365875226;Ca ka
5.03;-0.0011698166737442095;0.0011698166737442095;Ti kb
22;-0.0011600549447595872;0.0011600549447595872;Ag ka scattering
4.67;-0.001143955061133909;0.001143955061133909;Ti ka
3.68;0.0011418379890239044;0.0011418379890239044;Ca ka
4.39;-0.0011225182787331814;0.0011225182787331814;Ti ka
22.02;-0.0011208408397708307;0.0011208408397708307;Ag ka scattering
22.35;0.0011204191930572083;0.0011204191930572083;Ag ka scattering
22.3;0.001096425786493626;0.001096425786493626;Ag ka scattering
3.78;0.0010814777433793134;0.0010814777433793134;Ca ka
21.82;-0.0010808051809182066;0.0010808051809182066;Ag ka scattering
22.28;0.0010707579135552947;0.0010707579135552947;Ag ka scattering
21.85;-0.0010671759501483175;0.0010671759501483175;Ag ka scattering
21.95;-0.0010650778847613586;0.0010650778847613586;Ag ka scattering
4.85;-0.00104553598636637;0.00104553598636637;Ti kb
8.09;-0.001036236177047235;0.001036236177047235;Cu ka
8.06;-0.0010251765643240823;0.0010251765643240823;Cu ka
22.33;0.0010103228032947342;0.0010103228032947342;Ag ka scattering
8.01;-0.000981439710166491;0.000981439710166491;Cu ka
8.11;-0.0009684156163685452;0.0009684156163685452;Cu ka
8.03;-0.0009564538547821087;0.0009564538547821087;Cu ka
5.05;-0.0009105393251096054;0.0009105393251096054;Ti kb
21.79;-0.0008993670550185133;0.0008993670550185133;Ag ka scattering
7.98;-0.0008830914799558773;0.0008830914799558773;Cu ka
3.65;0.000877453564092879;0.000877453564092879;Ca ka
8.14;-0.0008261379293373389;0.0008261379293373389;Cu ka
3.63;0.0007965556983999006;0.0007965556983999006;Ca ka
4.7;-0.0007916674120066593;0.0007916674120066593;Ti ka
3.81;0.0007819116224556698;0.0007819116224556698;Ca ka
22.07;-0.0007776122834858363;0.0007776122834858363;Ag ka scattering
22.25;0.0007617623967559016;0.0007617623967559016;Ag ka scattering
22.05;-0.0007613680925857238;0.0007613680925857238;Ag ka scattering
21.77;-0.0007331058757379115;0.0007331058757379115;Ag ka scattering
4.37;-0.0007285915244181573;0.0007285915244181573;Ti ka
4.82;-0.0007158137791559739;0.0007158137791559739;Ti kb
22.41;0.0006972886327048682;0.0006972886327048682;Ag ka scattering
21.74;-0.0006418727422360842;0.0006418727422360842;Ag ka scattering
5.08;-0.0006301060428510574;0.0006301060428510574;Ti kb
22.23;0.0006185435095070678;0.0006185435095070678;Ag ka scattering
4.03;0.000613569375635007;0.000613569375635007;Ca kb
22.1;-0.0005851289997757334;0.0005851289997757334;Ag ka scattering
22.38;0.0005770947765552849;0.0005770947765552849;Ag ka scattering
22.13;-0.000562894340615853;0.000562894340615853;Ag ka scattering
8.16;-0.0005478640467749013;0.0005478640467749013;Cu ka
4.06;0.0005470774748771341;0.0005470774748771341;Ca kb
