LVs;Accuracy Cal;Sensitivity Cal;Specificity Cal;CM Cal;Accuracy CV;Sensitivity CV;Specificity CV;CM CV;Accuracy Pred;Sensitivity Pred;Specificity Pred;CM Pred;X Cum Exp Var;Y Cum Exp Var;X Ind Exp Var;Y Ind Exp Var
1;0.7922535211267606;0.45871559633027525;1.0;"[[175   0]
 [ 59  50]]";0.7464788732394366;0.3394495412844037;1.0;"[[175   0]
 [ 72  37]]";0.7235772357723578;0.2765957446808511;1.0;"[[76  0]
 [34 13]]";66.31630424589312;24.349433288031573;66.31630424589312;24.349433288031573
2;0.9225352112676056;0.7981651376146789;1.0;"[[175   0]
 [ 22  87]]";0.9225352112676056;0.7981651376146789;1.0;"[[175   0]
 [ 22  87]]";0.8861788617886179;0.7021276595744681;1.0;"[[76  0]
 [14 33]]";83.20164958064427;47.660610032801294;16.88534533475115;23.31117674476972
3;0.9929577464788732;0.981651376146789;1.0;"[[175   0]
 [  2 107]]";0.9859154929577465;0.963302752293578;1.0;"[[175   0]
 [  4 105]]";0.991869918699187;0.9787234042553191;1.0;"[[76  0]
 [ 1 46]]";87.66404752756253;51.158230973779034;4.462397946918259;3.4976209409777397
4;0.9929577464788732;0.981651376146789;1.0;"[[175   0]
 [  2 107]]";0.9894366197183099;0.9724770642201835;1.0;"[[175   0]
 [  3 106]]";0.991869918699187;0.9787234042553191;1.0;"[[76  0]
 [ 1 46]]";92.01939551981896;52.09634643412109;4.355347992256426;0.9381154603420541
