VIP_Score;Reg_Coefficient;Permutation;LRC_perturbation
400;1900;400;400
1900;400;580;580
2200;2200;1900;2200
580;580;2200;1900
2150;2150;2150;500
1100;1100;500;800
2500;2500;1100;1100
500;2350;2350;2500
2350;500;2500;2150
800;1400;800;2350
1400;800;1400;1400
;;;
