Class;12.56;12.58;12.6;12.62;12.64;12.66;12.68;12.7;12.72;12.74;12.76;12.78;12.8;12.82;12.84;12.86;12.88;12.9;12.92;12.94;12.96;12.98;13;13.02;13.04;13.06;13.08;13.1
A;0.345;0.415;0.405;0.475;0.565;0.695;0.84;1.08;1.51;1.85;2.24;2.6;2.865;2.96;2.97;2.84;2.58;2.11;1.695;1.435;1.025;0.75;0.57;0.485;0.395;0.325;0.315;0.265
A;0.385;0.425;0.41;0.48;0.5;0.6;0.78;0.87;1.065;1.365;1.665;2.005;2.175;2.33;2.195;2.15;2.01;1.75;1.475;1.09;0.93;0.715;0.555;0.45;0.34;0.315;0.305;0.315
A;0.365;0.385;0.42;0.43;0.49;0.56;0.76;0.955;1.355;1.64;1.935;2.27;2.475;2.61;2.48;2.35;2.145;1.815;1.59;1.16;1.0;0.63;0.545;0.425;0.38;0.335;0.31;0.32
A;0.36;0.395;0.4;0.44;0.45;0.585;0.73;0.9;1.13;1.405;1.76;2.04;2.33;2.455;2.395;2.325;2.05;1.895;1.465;1.11;0.95;0.665;0.565;0.45;0.42;0.355;0.3;0.29
A;0.405;0.405;0.44;0.485;0.575;0.695;0.86;1.08;1.25;1.595;1.835;2.255;2.34;2.395;2.285;2.14;1.86;1.54;1.27;0.995;0.81;0.65;0.46;0.4;0.345;0.345;0.335;0.29
A;0.41;0.405;0.435;0.47;0.62;0.655;0.825;1.08;1.355;1.56;2.05;2.345;2.41;2.58;2.41;2.27;2.04;1.685;1.235;1.005;0.76;0.615;0.455;0.47;0.37;0.31;0.28;0.285
A;0.4;0.455;0.39;0.485;0.525;0.7;0.79;1.07;1.29;1.785;2.04;2.275;2.6;2.645;2.7;2.65;2.355;1.855;1.6;1.365;0.97;0.765;0.575;0.51;0.37;0.35;0.325;0.31
A;0.4;0.375;0.435;0.485;0.505;0.65;0.865;1.0;1.32;1.52;1.955;2.375;2.675;2.66;2.67;2.485;2.195;1.895;1.505;1.28;0.91;0.725;0.535;0.47;0.36;0.35;0.295;0.325
A;0.38;0.39;0.44;0.505;0.485;0.6;0.775;0.95;1.155;1.41;1.83;2.19;2.385;2.58;2.5;2.395;2.345;1.985;1.655;1.325;1.025;0.81;0.61;0.465;0.42;0.385;0.355;0.3
A;0.36;0.35;0.43;0.395;0.445;0.615;0.82;0.945;1.26;1.545;1.905;2.13;2.43;2.525;2.59;2.37;2.3;1.935;1.54;1.185;0.925;0.695;0.585;0.45;0.34;0.32;0.29;0.315
A;0.405;0.38;0.425;0.515;0.515;0.585;0.665;0.925;1.13;1.38;1.79;2.105;2.25;2.39;2.425;2.325;2.115;1.735;1.545;1.28;0.975;0.7;0.51;0.475;0.405;0.33;0.325;0.31
A;0.39;0.34;0.365;0.44;0.435;0.54;0.675;0.885;1.19;1.365;1.66;2.03;2.35;2.495;2.475;2.525;2.195;1.82;1.485;1.19;0.985;0.715;0.55;0.445;0.46;0.33;0.32;0.305
A;0.39;0.43;0.525;0.455;0.47;0.6;0.775;1.005;1.26;1.545;1.81;2.125;2.345;2.45;2.53;2.26;2.08;1.795;1.52;1.15;0.84;0.63;0.57;0.465;0.38;0.32;0.335;0.305
A;0.4;0.395;0.39;0.41;0.52;0.66;0.85;0.99;1.275;1.63;1.955;2.24;2.505;2.705;2.645;2.485;2.305;1.915;1.515;1.15;1.04;0.715;0.55;0.495;0.4;0.36;0.33;0.325
A;0.375;0.325;0.41;0.45;0.5;0.545;0.77;0.975;1.13;1.535;1.905;2.03;2.3;2.45;2.42;2.19;1.97;1.755;1.44;1.165;0.89;0.67;0.525;0.405;0.385;0.36;0.285;0.28
A;0.39;0.43;0.44;0.465;0.51;0.645;0.855;1.12;1.345;1.665;1.96;2.27;2.535;2.73;2.595;2.46;2.105;1.71;1.55;1.08;0.85;0.645;0.545;0.425;0.36;0.31;0.32;0.255
A;0.39;0.405;0.445;0.42;0.555;0.705;0.835;1.06;1.39;1.685;2.165;2.3;2.48;2.445;2.555;2.215;2.13;1.51;1.31;1.015;0.82;0.62;0.49;0.345;0.38;0.3;0.29;0.285
A;0.435;0.41;0.44;0.45;0.47;0.59;0.77;0.97;1.28;1.475;1.905;2.35;2.475;2.74;2.8;2.69;2.385;2.035;1.72;1.35;1.035;0.805;0.59;0.455;0.485;0.34;0.31;0.28
