Class;1.66;1.68;1.70;1.72;1.74;1.76;1.78;1.80;1.82;1.84;1.86
A;0.348495928;0.334394937;0.336409364;0.366625774;0.314250663;0.310221809;0.346481501;0.350510355;0.330366082;0.366625774;0.332380509
A;0.305899608;0.344390287;0.403139219;0.346416113;0.342364462;0.350467763;0.356545239;0.342364462;0.346416113;0.356545239;0.344390287
A;0.280273453;0.354751713;0.241074369;0.248914185;0.252834094;0.252834094;0.284193361;0.227354689;0.272433636;0.272433636;0.260673911
A;0.330687831;0.330687831;0.300441993;0.324638663;0.35690089;0.304474771;0.316573106;0.364966447;0.328671441;0.348835334;0.338753388
A;0.365312201;0.311117534;0.327175213;0.307103114;0.321153584;0.309110324;0.315131954;0.339218473;0.343232893;0.313124744;0.373341041
A;0.356026503;0.366083749;0.376140995;0.331889113;0.307751723;0.299705926;0.33993491;0.345969257;0.323843316;0.345969257;0.426427224
A;0.316358771;0.318373795;0.348599155;0.330463939;0.298223555;0.332478963;0.356659251;0.316358771;0.346584131;0.330463939;0.316358771
A;0.33461167;0.332608007;0.310567718;0.322589694;0.30455673;0.320586031;0.348637309;0.320586031;0.348637309;0.324593357;0.28251644
A;0.303617951;0.293823823;0.274235568;0.287947347;0.272276743;0.258564964;0.305576776;0.289906172;0.268359092;0.268359092;0.274235568
A;0.407974706;0.371976937;0.317980285;0.365977309;0.303981153;0.335979169;0.309980781;0.321980037;0.311980657;0.339978921;0.335979169
A;0.325744689;0.337809307;0.329766228;0.301615452;0.307647761;0.325744689;0.297593913;0.31971238;0.349873925;0.339820076;0.345852385
A;0.368317335;0.342294914;0.274236276;0.342294914;0.354305262;0.326281117;0.352303538;0.306263871;0.25421903;0.350301813;0.34029319
A;0.362305714;0.352241666;0.33613919;0.311985476;0.352241666;0.324062333;0.364318523;0.283806142;0.305947047;0.311985476;0.346203237
A;0.3965869;0.400675424;0.31072788;0.404763949;0.384321325;0.335259028;0.355701652;0.347524603;0.355701652;0.365922964;0.335259028
A;0.301968468;0.325965963;0.375960742;0.343964083;0.301968468;0.283970348;0.313967216;0.325965963;0.367961577;0.291969513;0.295969095
A;0.380775089;0.380775089;0.364657625;0.352569527;0.330408014;0.316305233;0.286084987;0.328393331;0.352569527;0.37473104;0.326378648
A;0.338759572;0.334702571;0.37527258;0.363101577;0.314417567;0.314417567;0.354987575;0.310360566;0.314417567;0.306303565;0.332674071
A;0.349991301;0.362129727;0.309529879;0.360106656;0.331783661;0.360106656;0.31155295;0.277160741;0.358083585;0.341899016;0.358083585
A;0.356604876;0.389396129;0.364802689;0.370951049;0.364802689;0.368901595;0.379148862;0.323813623;0.368901595;0.356604876;0.370951049
A;0.354618305;0.350611319;0.288503028;0.348607826;0.316551934;0.330576386;0.316551934;0.342597346;0.302527481;0.298520494;0.282492548
A;0.328325872;0.289005409;0.326359849;0.316529733;0.269345177;0.275243246;0.287039385;0.283107339;0.257549038;0.259515061;0.306699617
A;0.371047038;0.320633039;0.326682718;0.276268719;0.326682718;0.318616479;0.360964238;0.330715838;0.322649599;0.308533679;0.371047038
A;0.329465693;0.358114883;0.3499294;0.32332658;0.3499294;0.335604805;0.347883029;0.360161254;0.329465693;0.309001985;0.362207625
A;0.366645075;0.387014246;0.366645075;0.344238987;0.332017485;0.358497407;0.327943651;0.352386656;0.37071891;0.348312822;0.401272666
A;0.345827473;0.331670793;0.364028919;0.357961771;0.349872239;0.285155987;0.335715559;0.285155987;0.362006536;0.359984153;0.362006536
A;0.385504217;0.369012058;0.428796134;0.416427015;0.321597101;0.379319657;0.410242455;0.375196617;0.369012058;0.371073578;0.352519899
A;0.317016091;0.329131356;0.36547715;0.345285042;0.379611625;0.327112145;0.323073723;0.310958459;0.325092934;0.329131356;0.375573203
