Shap;Permutation;LRC_perturbation;LRC_covariance
Pb-212;Pb-212;Pb-212;Pb-212
Pb-214;Pb-214;Pb-214;Tl-208
Tl-208;Tl-208;Tl-208;background 1
Ac-228 + Tl-208;Ac-228 + Tl-208;Ac-228 + Tl-208;background 2
background 1;Ac-228;Ac-228;Ac-228 + Tl-208
Ac-228;background 1;background 1;Ac-228
Bi-214;Bi-214;Bi-214;background 3
background 2;K-40;background 2;Bi-214
K-40;background 2;K-40;K-40
;;;
