energy;VIP_Score;Zone
3.32;0.29970675596457186;K
3.34;0.2967929619593941;K
6.68;0.29608964692912015;Fe ka
5.5;0.2946071883522951;Cr
3.98;0.29175424484005485;Ca kb
5.34;0.2850470950719674;Cr
6.1;0.28262236770566707;Mn
1.84;0.27982377838678063;Si
12.98;0.27832117690772556;sum Fe
6.78;0.2781495958471111;Fe ka
6.76;0.27803688620038963;Fe ka
6.7;0.2758358129851795;Fe ka
12.7;0.2746350168821376;sum Fe
6.72;0.27373301961731794;Fe ka
4.76;0.27237170998265503;Ti kb
6.74;0.27135244955915744;Fe ka
3.58;0.2699497483981396;Ca ka
6.06;0.2685710540697582;Mn
6.08;0.2682579658845599;Mn
4.8;0.26596035076284824;Ti kb
4.08;0.2657424274158627;Ca kb
2.56;0.25924854450334933;Rh L + Ar
8.12;0.25880640842677777;Cu
5.1;0.2542336259434499;Ti kb
5.52;0.2534709255872502;Cr
4.78;0.25255897356148116;Ti kb
3.28;0.2511308192569084;K
4.36;0.24582501201111442;Ca kb
4.1;0.24419387124494743;Ca kb
5.32;0.2365396049964147;Cr
5.28;0.2356317462516629;Cr
5.3;0.23420420353241922;Cr
5.78;0.23364202251152527;Mn
5.26;0.23355343414772747;Cr
5.24;0.2330258663139324;Cr
5.12;0.22657937310577994;Cr
3.36;0.22390503433610945;K
5.54;0.22328260420868654;Cr
9.26;0.2222797111902243;background1
9.3;0.22223104585121167;background1
7.98;0.22177264580869402;Cu
5.22;0.22108569977531156;Cr
1.4;0.22017762225923534;Al
2.9;0.2192907188060031;Rh L + Ar
2.04;0.21887037911034135;P
10.94;0.2166031260133141;Fe ka + Ti ka
9.2;0.21660274799352844;background1
1.64;0.21597377128453876;Si
9.24;0.21571812745631846;background1
5.18;0.2147225938138941;Cr
5.64;0.21423931033859717;Cr
2.06;0.21287608206917874;P
9.22;0.21253162605148013;background1
5.14;0.21185898341567122;Cr
5.16;0.21045928696253413;Cr
10.96;0.21041096216908367;Fe ka + Ti ka
1.58;0.21038249003841147;Al
5.2;0.2093643947040919;Cr
10.98;0.20895152142592135;Fe ka + Ti ka
11;0.20829398259752419;Fe ka + Ti ka
5.6;0.2081848900924163;Cr
5.56;0.2062593012993033;Cr
10.92;0.20499743948002938;Fe ka + Ti ka
4.12;0.20402733360507974;Ca kb
9.28;0.20375523013851837;background1
5.62;0.20305890639622454;Cr
4.34;0.20191153926316785;Ca kb
2.02;0.20095946489955702;P
3.96;0.20011311586485941;Ca kb
1.86;0.19827441259032638;P
5.68;0.19663653886597046;Cr
9.46;0.19638136548556923;background1
9.32;0.19459644637808937;background1
5.58;0.194445977763039;Cr
9.18;0.19435499290292;background1
9.36;0.19367788224950566;background1
5.74;0.1933813352901227;Cr
9.38;0.19235186272163715;background1
9.16;0.19170940560262403;background1
5.72;0.1905274426597082;Cr
10.9;0.190266736307067;Fe ka + Ti ka
9.42;0.1895589403367415;background1
5.7;0.18901459002741516;Cr
7.28;0.18862736367598085;Fe kb
8.14;0.1885298392819623;Cu
12.68;0.18823803325744612;sum Fe
2.08;0.18803375823064375;P
5.76;0.18794228662516738;Cr
11.02;0.18685634180795047;Fe ka + Ti ka
4.14;0.18668490122732564;Ca kb
5.66;0.18626539204659645;Cr
