energy;VIP_Score;Zone
19.27;0.26628950279055547;Compton scattering
4.84;0.2662672594606209;Ti kb
2.1;0.2632449817978157;P
19.21;0.26245141982506437;Compton scattering
19.19;0.26242798523381644;Compton scattering
11.95;0.2605479686422806;background2
4.86;0.2591237328690121;Ti kb
2.74;0.25876562046735063;Rh L + Ar
19.29;0.25826354539934815;Compton scattering
7.24;0.25766857483058003;Ni
6.92;0.25687119988246665;Fe kb
19.17;0.25577987810987657;Compton scattering
19.41;0.25527644407655864;Compton scattering
11.99;0.2543967976900392;background2
2.36;0.2529802490367056;S
2.24;0.25120764742768664;S
11.97;0.2508471453735763;background2
13.53;0.25013478980638226;sum Fe
19.43;0.24952231346004772;Compton scattering
19.09;0.24874516631143767;Compton scattering
19.33;0.24874465139715216;Compton scattering
13.51;0.24698625606301017;sum Fe
2.92;0.24633077465225606;Rh L + Ar
7.58;0.24521835888653468;Ni
7.32;0.24400052764940938;Ni
6;0.2434757136519122;Mn
5;0.24309516630154424;Ti kb
19.13;0.24306675105086098;Compton scattering
1.94;0.23866774513217856;P
7.48;0.2384310865595603;Ni
19.07;0.23790867961183199;Compton scattering
20.31;0.2378289319684282;Rayleight scattering
19.11;0.23749460779468767;Compton scattering
19.45;0.2370524074995211;Compton scattering
2.76;0.23674650731243296;Rh L + Ar
7.34;0.2340888006514838;Ni
19.49;0.23183108793014806;Compton scattering
2.5;0.23060034075292904;Rh L + Ar
2.78;0.22859832605264666;Rh L + Ar
13.29;0.2267382572260423;sum Fe
5.8;0.22324896734635505;Mn
7.22;0.22295911817454744;Ni
7.2;0.2220147136313487;Ni
6.6;0.2216238989461437;Fe ka
19.05;0.2211812268057132;Compton scattering
4.14;0.2196766400898483;Ca kb
1.46;0.2186325568785634;Al
19.47;0.21860286510505253;Compton scattering
13.55;0.21849560987357777;sum Fe
20.27;0.2167285641567715;Rayleight scattering
13.27;0.2160642567711349;sum Fe
11.93;0.21503602900399355;background2
19.03;0.21462715068684893;Compton scattering
19.53;0.21344858006490317;Compton scattering
11.91;0.2105737541730047;background2
2.72;0.21020966339053235;Rh L + Ar
18.99;0.2101534492836621;Compton scattering
7.36;0.20992486692671142;Ni
14.99;0.20949053538302134;background3
18.97;0.20699085182376833;Compton scattering
20.25;0.20661321868922555;Rayleight scattering
11.89;0.20549234107442832;background2
19.51;0.20504361647463826;Compton scattering
20.33;0.20453404261900623;Rayleight scattering
18.95;0.20430661155594462;Compton scattering
19.55;0.20321489708070092;Compton scattering
14.97;0.20190787573177288;background3
3;0.20180641662425763;Rh L + Ar
13.25;0.19892038982557445;sum Fe
12.03;0.1986122657229092;background2
13.23;0.19812986955471235;sum Fe
20.29;0.19698237499577223;Rayleight scattering
18.85;0.1961993676548223;Compton scattering
20.23;0.19571181430959564;Rayleight scattering
14.95;0.19537406303780966;background3
18.89;0.1953302007674425;Compton scattering
19.61;0.19475571244021767;Compton scattering
19.01;0.19383360428033167;Compton scattering
7.6;0.19283701262468986;Ni
15.73;0.19272756437239502;background3
7.46;0.1919575561012991;Ni
18.91;0.19051885812513678;Compton scattering
20.35;0.1893406545445562;Rayleight scattering
15.07;0.189230500809446;background3
19.57;0.18883961527504237;Compton scattering
6.22;0.18824003386244495;Fe ka
2.8;0.18791932224304153;Rh L + Ar
18.93;0.18744643104086817;Compton scattering
15.41;0.18731258724102953;background3
15.03;0.18730075303028498;background3
5.02;0.187160883705348;Ti kb
15.75;0.1856838163644806;background3
19.59;0.18554198654365958;Compton scattering
19.65;0.18533935728843867;Compton scattering
20.21;0.18445738934504674;Rayleight scattering
1.44;0.18347091561922044;Al
18.81;0.18331445582246905;Compton scattering
15.45;0.18254725708947875;background3
18.75;0.18205970754232087;Compton scattering
16.67;0.18108824937975268;background3
6.02;0.1805491957926775;Mn
19.67;0.18054837847183788;Compton scattering
15.05;0.1803312459598822;background3
20.37;0.18021567314353976;Rayleight scattering
4.82;0.18011491137811955;Ti kb
14.15;0.17990744615247972;background3
14.93;0.1797623313830248;background3
5.78;0.17961762284567648;Mn
18.83;0.17924698873657852;Compton scattering
18.55;0.17846939794721506;Compton scattering
15.79;0.1784652891868033;background3
15.09;0.17793891674034953;background3
18.73;0.1775501747846896;Compton scattering
12.01;0.17658609183557072;background2
16.11;0.17658523387688624;background3
11.87;0.17632266083281767;background2
12.05;0.1761396197831422;background2
15.77;0.1761047243032716;background3
15.81;0.17604156171552823;background3
14.11;0.17527641532117066;background3
15.01;0.17522689373718897;background3
8.69;0.17449853504145055;Zn
15.61;0.17424690824668665;background3
16.25;0.17371092981432096;background3
8.67;0.1734294734417316;Zn
7.38;0.1732080761178715;Ni
13.57;0.17286124395935248;sum Fe
15.11;0.17270965038749925;background3
20.19;0.1724162367242399;Rayleight scattering
16.49;0.17191186679634796;background3
19.71;0.1718280198912357;Rayleight scattering
15.63;0.17101637580713452;background3
7.44;0.17049057448911412;Ni
4.38;0.17047968350729364;Ti ka
4.8;0.17045025980314965;Ti kb
14.81;0.1702709932506804;background3
14.47;0.17026702519882422;background3
17.99;0.16964060336397688;background3
14.85;0.1695042021778596;background3
16.47;0.16912443222609405;background3
20.41;0.1691222538084303;Rayleight scattering
15.71;0.16885223374285938;background3
16.83;0.16878473128778002;background3
7.4;0.16871809300929022;Ni
16.33;0.16869217732657343;background3
15.65;0.16831397817748678;background3
11.85;0.16826737280037685;background2
16.13;0.16790343247035347;background3
17.19;0.1678691834082825;background3
18.03;0.16779883280589591;Compton scattering
14.79;0.1677829720803179;background3
15.85;0.16742037001525056;background3
4.66;0.167390560426201;Ti kb
6.9;0.16703513470481415;Fe kb
7.62;0.16695216464749577;Ni
13.17;0.1669424468907418;sum Fe
14.91;0.1668134885242682;background3
14.13;0.1667150503262802;background3
16.93;0.16668093242242257;background3
14.21;0.16658892536126899;background3
15.29;0.16633402046023085;background3
16.27;0.16577908782853973;background3
18.79;0.1656383888956493;Compton scattering
4.78;0.16535416228262403;Ti kb
20.39;0.16527106285609106;Rayleight scattering
17.81;0.16523902139063473;background3
17.71;0.16523426807541444;background3
15.95;0.16504303291173208;background3
1.92;0.16479430296931866;P
16.65;0.16474354506446093;background3
15.69;0.16455011973751066;background3
15.13;0.16446705606763914;background3
15.19;0.1644263232939922;background3
13.21;0.16432337049175985;sum Fe
18.63;0.16428648459185075;Compton scattering
15.59;0.16427542432038422;background3
15.67;0.16404083683336165;background3
14.49;0.1636390404666955;background3
12.15;0.1636267938259416;background2
15.23;0.16350979638778254;background3
12.67;0.16338414031840318;background2
16.95;0.16329978628533665;background3
17.31;0.1631498578842655;background3
19.69;0.16299507861999657;Compton scattering
18.49;0.16296115572063466;Compton scattering
19.73;0.1627848887537019;Rayleight scattering
14.23;0.16267069846590002;background3
15.51;0.16266430017094183;background3
16.31;0.1624798620919169;background3
15.37;0.16245565686753283;background3
13.03;0.16237802134318052;background2
2.82;0.16227949948628834;Rh L + Ar
13.19;0.1622611664134171;sum Fe
13.13;0.16224587805097712;sum Fe
13.59;0.16221207153560888;sum Fe
13.01;0.1621431932347952;background2
14.73;0.16209932675955618;background3
13.73;0.16198530296461888;background3
18.01;0.1619738101199402;Compton scattering
16.77;0.16197324468778806;background3
17.09;0.16196699426670527;background3
11.83;0.16162878495852429;background2
17.93;0.16149310124395835;background3
14.83;0.1613498673773962;background3
12.59;0.16134666722589472;background2
16.21;0.16134189487174047;background3
17.79;0.16124612020940635;background3
15.49;0.1611297726385013;background3
15.55;0.1610507965508721;background3
15.93;0.1609834311392609;background3
16.69;0.16087367482730702;background3
12.07;0.16053290697698444;background2
13.67;0.16052979264793535;background3
15.25;0.16052378678919746;background3
16.51;0.16049082525041825;background3
15.27;0.1604617078808036;background3
18.21;0.1604438037374447;Compton scattering
13.91;0.16038295253535623;background3
14.17;0.1601868089263963;background3
14.63;0.1600105870304131;background3
16.15;0.160010102975709;background3
17.41;0.15988227122827603;background3
16.29;0.1597756966727791;background3
14.51;0.15969089106151038;background3
14.09;0.1596295932608186;background3
18.29;0.1593689007323344;Compton scattering
15.33;0.15935171421711117;background3
16.81;0.1593215318281003;background3
18.11;0.15926700237403538;Compton scattering
16.99;0.15913630030956813;background3
18.23;0.15912532951906014;Compton scattering
6.62;0.15908314521350597;Fe ka
14.65;0.15907865588538264;background3
15.17;0.1587890232506085;background3
12.93;0.15874400883009582;background2
15.87;0.1587009339930213;background3
17.17;0.15859375058242065;background3
14.25;0.15855278600301562;background3
17.77;0.1583969151196115;background3
17.23;0.15832362769011862;background3
15.31;0.15825167436810778;background3
14.55;0.15822684492900116;background3
14.71;0.15816345795310893;background3
15.91;0.15807865284882708;background3
15.15;0.1577182547273907;background3
13.09;0.15762418213453935;background2
18.59;0.15751336411368683;Compton scattering
12.21;0.1575125381911991;background2
14.67;0.15732454075714958;background3
12.81;0.1572353680296977;background2
16.55;0.15704703755108612;background3
20.17;0.15678687565451616;Rayleight scattering
13.81;0.15662452289970327;background3
12.47;0.1564056040494756;background2
7.42;0.15622746208529717;Ni
11.79;0.15605910306322315;background2
14.77;0.1560426280754694;background3
14.87;0.15600364985478687;background3
15.99;0.15597518115067527;background3
18.67;0.15596411323386739;Compton scattering
18.05;0.15596056124837554;Compton scattering
17.85;0.1559492415998786;background3
6.88;0.15585088871492958;Fe kb
8.65;0.15561829534578075;Zn
17.91;0.15551007071720832;background3
14.53;0.15530313176305435;background3
18.71;0.15519434446585645;Compton scattering
12.83;0.15518597198910491;background2
18.69;0.1551725436211671;Compton scattering
16.01;0.15513113662675315;background3
16.43;0.1550669525453677;background3
12.99;0.1550284489145571;background2
15.47;0.1549051850958307;background3
16.63;0.1547690881764169;background3
14.45;0.15472481126603416;background3
18.07;0.15460068263498739;Compton scattering
18.39;0.15437440139368702;Compton scattering
13.83;0.1543427983987242;background3
16.45;0.15433200804070812;background3
20.11;0.15432088702538052;Rayleight scattering
18.87;0.15418986870947493;Compton scattering
13.89;0.15415524700653926;background3
17.61;0.15386062409720327;background3
17.69;0.15380227916293926;background3
17.95;0.15360365283920377;background3
17.67;0.1535292831504306;background3
2.38;0.1534821543814944;S
12.53;0.1534100357585694;background2
18.13;0.1532953535538404;Compton scattering
18.41;0.15327541691828872;Compton scattering
20.15;0.15325679913845178;Rayleight scattering
12.45;0.15320576143952053;background2
14.89;0.1531523040709485;background3
18.61;0.15304034444109027;Compton scattering
20.47;0.15299372333826283;Rayleight scattering
13.77;0.1527755487689374;background3
18.77;0.15277192805598178;Compton scattering
17.55;0.15265328759489974;background3
16.39;0.15251631934019444;background3
16.19;0.15238394322210388;background3
13.75;0.15233558060957272;background3
15.97;0.1522552480848372;background3
12.77;0.15208815138451975;background2
14.19;0.1519826555168699;background3
19.63;0.15194044132209625;Compton scattering
17.89;0.15189267265571949;background3
18.17;0.15186878239642335;Compton scattering
20.05;0.15180347775239963;Rayleight scattering
12.43;0.1515587887377212;background2
15.21;0.15155871941619625;background3
16.03;0.15149310494419524;background3
12.89;0.1514028593460377;background2
20.51;0.15139727202262;Rayleight scattering
18.35;0.1512638470208248;Compton scattering
16.17;0.15124938618409195;background3
16.41;0.1511437426322461;background3
15.39;0.15105680398842614;background3
15.57;0.15089044865659906;background3
16.61;0.15064421142710732;background3
14.75;0.15055367753101187;background3
18.57;0.15052299758515894;Compton scattering
19.77;0.15050059252187684;Rayleight scattering
16.71;0.15041061598898248;background3
12.11;0.1503683584044514;background2
12.13;0.15031459798847108;background2
13.11;0.15015272183846395;sum Fe
12.75;0.15013734998840444;background2
20.13;0.1501258948390204;Rayleight scattering
15.89;0.14992381008568867;background3
17.63;0.14986595012843448;background3
17.21;0.14982039494357763;background3
17.73;0.14976956497127827;background3
17.05;0.149758303605561;background3
17.13;0.14956676392793206;background3
16.57;0.14952751005747986;background3
12.09;0.14952688919496726;background2
8.63;0.14945350662287632;Zn
17.35;0.14939644219172576;background3
15.83;0.1492747882306148;background3
12.63;0.14919233389487283;background2
3.14;0.14899785712835534;K
12.61;0.14896900434639918;background2
14.43;0.14876689750647995;background3
14.33;0.14862057768999265;background3
16.05;0.14856868088183497;background3
13.95;0.14856583540757498;background3
16.87;0.14852788094910618;background3
17.51;0.1484935098390923;background3
16.75;0.1483910086936412;background3
17.83;0.1483628366215693;background3
12.71;0.14819924090516673;background2
17.39;0.14796023965904898;background3
14.57;0.14790565510870599;background3
14.41;0.14747794504679446;background3
12.41;0.1473173441377498;background2
12.65;0.14725434799486242;background2
17.25;0.14704184142697385;background3
12.73;0.14689904903777684;background2
12.97;0.14686714927562267;background2
6.04;0.1464853845843989;Mn
17.53;0.14628507923850853;background3
17.87;0.14608812919821632;background3
19.75;0.14607660003216003;Rayleight scattering
17.07;0.14585189610040908;background3
13.05;0.14581725339785115;background2
16.35;0.1457853450495528;background3
17.27;0.14576483227126844;background3
17.11;0.14562723046698542;background3
14.59;0.14560676001716152;background3
16.23;0.14549848350517858;background3
17.49;0.14528322446714576;background3
13.69;0.14527964195990553;background3
11.77;0.14526201583913828;background2
11.81;0.14523559299381228;background2
16.53;0.14522895269883376;background3
12.37;0.14520382418820887;background2
14.37;0.1448719870458456;background3
15.53;0.14476792165833147;background3
6.84;0.14475330363553915;Fe kb
2.84;0.1447422210579411;Rh L + Ar
14.01;0.14470267703877082;background3
14.61;0.14467499692648628;background3
17.33;0.14463741698598395;background3
16.79;0.1444957044490615;background3
18.53;0.14440572948190072;Compton scattering
16.85;0.14425255650014135;background3
2.9;0.14413673158389317;Rh L + Ar
13.71;0.1441314854612547;background3
13.61;0.14412926800086567;sum Fe
18.19;0.14410337961978187;Compton scattering
20.67;0.14409275353885898;Rayleight scattering
8.01;0.14407606498996636;Cu
16.91;0.1439259683201751;background3
9.97;0.1439011442705461;background2
13.93;0.1438458873775144;background3
11.49;0.14383751715860998;background2
13.85;0.14371503493118926;background3
13.15;0.14350557244705156;sum Fe
2.12;0.14344559249582922;P
12.69;0.14344088105882496;background2
11.47;0.14324192043353914;background2
12.55;0.1430992849999034;background2
19.87;0.14307575655242477;Rayleight scattering
19.81;0.14303204025960595;Rayleight scattering
13.63;0.14293446579182972;background3
19.79;0.14284743475365697;Rayleight scattering
13.65;0.14272346377657152;background3
17.37;0.14268823592438504;background3
6.2;0.14259343506710487;Fe ka
11.27;0.1423329867434493;background2
16.59;0.1422677644407012;background3
12.25;0.1421032753449405;background2
12.49;0.1420301252959809;background2
16.09;0.14196792149746365;background3
14.07;0.14194562273716047;background3
12.91;0.14182781585066875;background2
13.79;0.14167822467572044;background3
12.39;0.14159254131781576;background2
17.65;0.14135143138490985;background3
18.33;0.14132878095806906;Compton scattering
12.35;0.14131613473899135;background2
12.79;0.1411618326463832;background2
19.91;0.14109245140552681;Rayleight scattering
18.27;0.14106522040203823;Compton scattering
17.01;0.14092310092841934;background3
14.69;0.1408886460001099;background3
13.99;0.14076457669916786;background3
1.42;0.14065800012637367;Al
18.15;0.14049835744338127;Compton scattering
15.43;0.1397331964384356;background3
15.35;0.13968981062989358;background3
17.57;0.13965048009597117;background3
12.29;0.139011900928292;background2
17.45;0.13864162636443683;background3
20.09;0.13863200510792362;Rayleight scattering
11.53;0.1386238398740368;background2
8.61;0.13842902551463657;Zn
9.51;0.1383881707323142;background2
11.67;0.13837620656119248;background2
6.86;0.13796617507648198;Fe kb
11.65;0.13781751095867148;background2
12.17;0.13760956149309628;background2
10.55;0.13750760197292972;background2
17.03;0.1374879668519467;background3
16.97;0.1371623827724213;background3
19.83;0.13681688441607218;Rayleight scattering
18.09;0.1367561309302278;Compton scattering
12.31;0.1367256212844816;background2
12.57;0.1366434724532997;background2
18.31;0.13657315343863252;Compton scattering
16.89;0.1363561266888063;background3
17.97;0.13634967403777537;background3
12.23;0.13630403427006066;background2
13.07;0.13627069598073446;background2
13.87;0.13623277114089083;background3
11.51;0.1361961254438419;background2
20.81;0.13619267190075823;Rayleight scattering
19.89;0.13613315792385278;Rayleight scattering
17.59;0.1359622578838014;background3
14.29;0.1359502309360279;background3
10.99;0.13574501792347765;background2
7.99;0.13566155307553499;Cu
17.15;0.1355289442811032;background3
5.76;0.13550133942771225;Mn
10.67;0.13537302570511714;background2
8.71;0.13481103603714048;Zn
14.03;0.1347937035828784;background3
14.35;0.13472440617958067;background3
11.63;0.1346631967284294;background2
10.87;0.1346539365166533;background2
6.64;0.13453038425012362;Fe ka
16.73;0.13447158061749134;background3
12.87;0.13394291302347142;background2
17.47;0.13361260746574566;background3
11.05;0.13353408147613507;background2
10.03;0.1332970743529722;background2
18.43;0.13327923615893852;Compton scattering
12.33;0.133116004004262;background2
18.25;0.1328742286839225;Compton scattering
11.55;0.13282725523972877;background2
12.95;0.13264304833451546;background2
19.97;0.13262844101752994;Rayleight scattering
20.53;0.1325180474431349;Rayleight scattering
2.4;0.1324937651216472;S
9.93;0.13246954463186986;background2
18.37;0.13228573184832912;Compton scattering
6.82;0.13223766392179864;Fe kb
10.07;0.13173937365901858;background2
12.19;0.13173816542920813;background2
10.65;0.13164803087867374;background2
18.51;0.13153692187059673;Compton scattering
8.31;0.13153395793630113;Cu
17.75;0.131420147515909;background3
7.97;0.13136533993934094;Cu
20.55;0.13133107521353818;Rayleight scattering
9.37;0.13132179392877819;background2
10.49;0.13127831504228493;background2
11.73;0.13117185660528893;background2
19.93;0.13093422235701838;Rayleight scattering
4.68;0.1307689128114979;Ti kb
6.78;0.13064430012615827;Fe kb
10.37;0.13056299269665253;background2
10.81;0.13049425959348662;background2
14.39;0.13039809489083942;background3
9.81;0.13031955649520383;background2
10.93;0.1302508510016293;background2
20.65;0.13022408339128647;Rayleight scattering
11.61;0.13013566883337382;background2
11.75;0.13004359503607846;background2
8.87;0.12985064534697885;background2
10.53;0.12972356575678734;background2
20.01;0.129684784626915;Rayleight scattering
11.23;0.12967191177598683;background2
11.17;0.12936051841949892;background2
10.41;0.1291654231329107;background2
11.45;0.12907440093264486;background2
11.43;0.12900060429774698;background2
11.21;0.12897749789818186;background2
5.04;0.12890464682228361;Ti kb
11.29;0.12885616300045838;background2
10.35;0.12872494634988826;background2
10.33;0.12852000557828863;background2
19.85;0.12833933203990386;Rayleight scattering
20.03;0.1283181886178129;Rayleight scattering
11.59;0.12814378514921695;background2
17.43;0.12799110843853514;background3
18.65;0.12797691730203006;Compton scattering
10.05;0.1278382818997673;background2
14.05;0.12783389726436778;background3
2.86;0.127656252613704;Rh L + Ar
12.27;0.1275935854904849;background2
11.33;0.1275620426791325;background2
10.57;0.12753966751748844;background2
10.21;0.12733300009420417;background2
11.37;0.1273319042615695;background2
20.71;0.12709056320300033;Rayleight scattering
11.57;0.12703580344745963;background2
17.29;0.12693121284062245;background3
18.45;0.12679723180274347;Compton scattering
10.83;0.12674862868315218;background2
9.71;0.12671172506562334;background2
20.57;0.12653190421477564;Rayleight scattering
5.06;0.12648712360287487;Ti kb
9.77;0.12644927226302516;background2
20.43;0.12630194713688186;Rayleight scattering
9.73;0.12612895775830119;background2
11.25;0.12608851080640598;background2
20.07;0.12588172095666156;Rayleight scattering
11.69;0.12582331327517546;background2
9.99;0.12579042705268104;background2
10.51;0.12564605474876256;background2
9.95;0.12557817819153652;background2
3.12;0.1254573816333865;K
14.31;0.12542045272420072;background3
8.95;0.12526967561825894;background2
13.97;0.12518082956697868;background3
16.37;0.12514825641776373;background3
9.59;0.12513534292776607;background2
10.39;0.1250657248973529;background2
19.99;0.12503114588384248;Rayleight scattering
16.07;0.12496660292299211;background3
10.19;0.12481535518356314;background2
6.8;0.1247996027490501;Fe kb
8.23;0.12475614521693323;Cu
10.97;0.12473849649220209;background2
7.93;0.12443076405615748;Cu
8.15;0.12391499878336694;Cu
18.47;0.123589689127801;Compton scattering
6.06;0.12346377966379267;Mn
20.45;0.12332266144821137;Rayleight scattering
20.63;0.12320385953692169;Rayleight scattering
10.95;0.1231269877801678;background2
9.75;0.12310528512989646;background2
12.85;0.12305708812196406;background2
20.79;0.12283834414983469;Rayleight scattering
10.91;0.12276466347420849;background2
10.09;0.12245192906935214;background2
8.59;0.12239123815973896;Zn
5.74;0.1222679683178248;Mn
8.73;0.12225174647412103;Zn
10.45;0.12207725272869374;background2
11.15;0.12203982786853357;background2
2.16;0.12199304676888385;S
8.03;0.12183006502426204;Cu
8.77;0.12181720534976788;Zn
11.39;0.12177418907988512;background2
8.91;0.12174208670015899;background2
10.71;0.12170126179196412;background2
2.22;0.12158441971221928;S
11.13;0.12154783420801414;background2
6.74;0.12145446138866876;Fe ka
10.25;0.12144850350943373;background2
9.91;0.12134793521492451;background2
9.87;0.12121562299858285;background2
8.21;0.1210728741228566;Cu
9.15;0.12088506333896795;background2
11.41;0.12069717725602075;background2
12.51;0.12029554238567525;background2
10.13;0.120290756621954;background2
1.9;0.12026142456075543;P
9.83;0.12020592277392028;background2
10.43;0.12017800674271045;background2
11.03;0.12010902871958082;background2
9.69;0.12010161092022838;background2
6.66;0.12009586930618171;Fe ka
4.16;0.12006084756514261;Ca kb
10.89;0.1200218036070557;background2
2.18;0.11994589052865297;S
6.76;0.11971185805128887;Fe kb
10.17;0.11963783174269225;background2
11.31;0.11943514214506651;background2
8.11;0.119300411831224;Cu
19.95;0.11925791892227249;Rayleight scattering
6.18;0.11921008316944198;Fe ka
11.35;0.1191975331697176;background2
14.27;0.11912356588701098;background3
10.79;0.11911823013434372;background2
20.69;0.11904377368836186;Rayleight scattering
9.13;0.1188272575800503;background2
7.83;0.11873910935716199;Cu
10.47;0.1186031382171762;background2
8.93;0.1183511003628773;background2
