LVs;Accuracy Cal;Sensitivity Cal;Specificity Cal;CM Cal;Accuracy CV;Sensitivity CV;Specificity CV;CM CV;Accuracy Pred;Sensitivity Pred;Specificity Pred;CM Pred;X Cum Exp Var;Y Cum Exp Var;X Ind Exp Var;Y Ind Exp Var
1;0.9629629629629629;0.9894736842105263;0.9;"[[36  4]
 [ 1 94]]";0.9259259259259259;0.9894736842105263;0.775;"[[31  9]
 [ 1 94]]";0.9666666666666667;1.0;0.8888888888888888;"[[16  2]
 [ 0 42]]";55.67406497767209;21.197177093984145;55.67406497767209;21.197177093984145
2;0.9925925925925926;1.0;0.975;"[[39  1]
 [ 0 95]]";0.9703703703703703;1.0;0.9;"[[36  4]
 [ 0 95]]";0.9833333333333333;1.0;0.9444444444444444;"[[17  1]
 [ 0 42]]";74.5335589910335;24.175340159950036;18.859494013361413;2.978163065965891
3;1.0;1.0;1.0;"[[40  0]
 [ 0 95]]";1.0;1.0;1.0;"[[40  0]
 [ 0 95]]";1.0;1.0;1.0;"[[18  0]
 [ 0 42]]";84.98395015718876;27.146349563537505;10.450391166155256;2.9710094035874697
