Class;7.3;7.32;7.34;7.36;7.38;7.4;7.42;7.44;7.46;7.48;7.5;7.52;7.54;7.56;7.58;7.6;7.62;7.64;7.66;7.68;7.7;7.72;7.74;7.76;7.78;7.8;7.82;7.84;7.86;7.88;7.9;7.92;7.94;7.96;7.98;8;8.02;8.04;8.06;8.08;8.1;8.12;8.14;8.16;8.18;8.2;8.22;8.24;8.26;8.28;8.3;8.32
A;0.0788;0.0783;0.0737;0.068;0.076;0.0737;0.0825;0.0818;0.0825;0.082;0.0757;0.0835;0.08;0.0833;0.0813;0.0778;0.0755;0.0798;0.0803;0.0872;0.0835;0.0955;0.0907;0.103;0.0968;0.101;0.1075;0.1128;0.1058;0.1148;0.119;0.1182;0.1255;0.1148;0.1278;0.1283;0.1303;0.1383;0.125;0.1298;0.1093;0.1048;0.102;0.0927;0.097;0.0998;0.1022;0.102;0.093;0.0948;0.0915;0.0887
A;0.0781;0.07;0.0717;0.0881;0.0739;0.085;0.0733;0.0772;0.0758;0.0764;0.0803;0.0822;0.0811;0.0781;0.08;0.0825;0.0811;0.0756;0.0889;0.0844;0.0903;0.0872;0.0928;0.0944;0.0992;0.1075;0.0983;0.1183;0.1192;0.1058;0.1136;0.1108;0.1275;0.1228;0.1278;0.1222;0.1303;0.1222;0.1269;0.1175;0.11;0.1017;0.0978;0.1042;0.0989;0.0911;0.0967;0.0872;0.0936;0.0997;0.0956;0.1031
A;0.0689;0.0754;0.0689;0.0811;0.0806;0.0806;0.0777;0.0737;0.0697;0.0751;0.074;0.0766;0.07;0.0774;0.0711;0.0706;0.0683;0.0729;0.0809;0.0897;0.0829;0.0829;0.0846;0.0883;0.0797;0.0914;0.1009;0.0911;0.1034;0.0971;0.1146;0.1083;0.12;0.1303;0.1226;0.1237;0.1229;0.1314;0.13;0.1071;0.1203;0.1089;0.1006;0.0946;0.0986;0.0871;0.0914;0.088;0.0866;0.0909;0.0857;0.0914
A;0.0757;0.0805;0.074;0.0808;0.0783;0.074;0.0712;0.0785;0.08;0.0808;0.078;0.0735;0.08;0.0755;0.0818;0.0877;0.0722;0.0935;0.0895;0.084;0.087;0.087;0.0887;0.0988;0.1008;0.1053;0.1022;0.1115;0.1172;0.1205;0.1163;0.1123;0.124;0.1363;0.1285;0.134;0.1313;0.1253;0.1285;0.106;0.1075;0.1027;0.1053;0.1013;0.101;0.099;0.0963;0.0907;0.0917;0.092;0.0955;0.085
A;0.0744;0.0706;0.0792;0.0742;0.0703;0.0781;0.0806;0.0797;0.0697;0.0819;0.0797;0.0742;0.0761;0.0758;0.0831;0.0772;0.0792;0.0769;0.0742;0.085;0.0911;0.0828;0.0917;0.0906;0.0978;0.0981;0.0961;0.1056;0.12;0.115;0.1139;0.1056;0.1125;0.1264;0.1319;0.1283;0.1397;0.1375;0.1325;0.1203;0.1142;0.1025;0.0942;0.0947;0.0889;0.0939;0.0972;0.0794;0.0961;0.0911;0.0878;0.1
A;0.0655;0.0633;0.0575;0.0712;0.072;0.0698;0.0717;0.0693;0.0727;0.067;0.0688;0.0698;0.0688;0.0705;0.079;0.0715;0.0655;0.07;0.072;0.077;0.0785;0.0665;0.0778;0.0845;0.092;0.0895;0.0938;0.0995;0.1165;0.102;0.1017;0.1027;0.13;0.1273;0.136;0.1477;0.1355;0.1385;0.1278;0.121;0.1138;0.1058;0.1022;0.0855;0.0907;0.0855;0.0833;0.0808;0.0808;0.0872;0.0785;0.093
A;0.0706;0.0651;0.0717;0.0697;0.0686;0.0683;0.0737;0.0683;0.0791;0.0654;0.0714;0.0674;0.07;0.0674;0.0754;0.0791;0.0783;0.0746;0.0826;0.0786;0.0786;0.076;0.0851;0.0903;0.0869;0.0857;0.1011;0.1;0.1069;0.1074;0.1214;0.1077;0.1137;0.1211;0.1214;0.1277;0.13;0.1274;0.1237;0.1237;0.114;0.1011;0.0974;0.0946;0.0989;0.1037;0.0829;0.0806;0.0837;0.0903;0.0811;0.0869
A;0.0631;0.0608;0.0661;0.0692;0.0789;0.07;0.0761;0.0711;0.075;0.0739;0.0672;0.0706;0.0767;0.0861;0.0761;0.0736;0.0753;0.0869;0.0742;0.0764;0.0844;0.0781;0.0931;0.0828;0.1025;0.0933;0.0961;0.1044;0.0992;0.1075;0.1114;0.1014;0.1083;0.1083;0.1125;0.1186;0.1253;0.1258;0.1161;0.1056;0.1131;0.1031;0.0936;0.0961;0.0875;0.0844;0.0925;0.0925;0.0861;0.0889;0.0867;0.0917
A;0.0663;0.0729;0.0783;0.07;0.0754;0.0832;0.0751;0.0739;0.0788;0.0807;0.0768;0.0776;0.0822;0.0795;0.081;0.0746;0.0832;0.079;0.0863;0.0917;0.0915;0.0846;0.0895;0.092;0.0973;0.1002;0.1088;0.1078;0.11;0.1117;0.1115;0.1059;0.1349;0.1268;0.118;0.1441;0.1341;0.1329;0.1232;0.1251;0.1154;0.1076;0.0988;0.0966;0.0949;0.0963;0.0917;0.0941;0.0941;0.0876;0.0973;0.0937
A;0.0703;0.0744;0.0779;0.0729;0.0712;0.0912;0.0821;0.0803;0.0797;0.0815;0.0815;0.0809;0.0853;0.0788;0.0844;0.0818;0.08;0.0856;0.0841;0.0797;0.0862;0.0932;0.0953;0.0941;0.0962;0.0921;0.1;0.1065;0.1129;0.1147;0.1115;0.1174;0.1165;0.1297;0.1359;0.1338;0.1438;0.1294;0.1297;0.1265;0.1206;0.1088;0.0985;0.1003;0.0959;0.0918;0.0903;0.1029;0.1056;0.0932;0.0994;0.0985
A;0.0512;0.0541;0.0573;0.062;0.0561;0.0549;0.0605;0.0612;0.0627;0.0566;0.0534;0.0595;0.062;0.0615;0.0595;0.0668;0.0673;0.0602;0.0641;0.0702;0.0678;0.0676;0.0722;0.0685;0.0778;0.0827;0.079;0.0846;0.0859;0.0873;0.08;0.0893;0.0902;0.0912;0.0985;0.0993;0.1022;0.0988;0.1012;0.0883;0.0959;0.0837;0.08;0.081;0.0693;0.0727;0.0702;0.0759;0.0702;0.0751;0.0739;0.0666
B;0.07;0.0714;0.0686;0.0795;0.0668;0.0724;0.0654;0.0803;0.0786;0.0797;0.0773;0.0795;0.0803;0.0838;0.0768;0.0824;0.0732;0.0754;0.0797;0.0881;0.0735;0.0895;0.0954;0.0889;0.0946;0.0941;0.1043;0.1049;0.1049;0.1097;0.1103;0.1178;0.1116;0.1311;0.1314;0.1303;0.1411;0.1216;0.1173;0.1259;0.1146;0.1097;0.1008;0.0946;0.0914;0.0959;0.0892;0.0914;0.0914;0.0884;0.0986;0.0932
B;0.0683;0.0744;0.0714;0.0786;0.0747;0.0733;0.0769;0.0756;0.0764;0.0722;0.0778;0.0875;0.0764;0.0806;0.0764;0.0808;0.0914;0.0886;0.0892;0.0792;0.0897;0.0978;0.0922;0.0961;0.105;0.1019;0.1058;0.1128;0.1144;0.1144;0.1069;0.1175;0.1228;0.1197;0.125;0.1308;0.1214;0.1333;0.1258;0.1189;0.1108;0.0953;0.1025;0.0936;0.1014;0.0922;0.0833;0.0922;0.0978;0.0967;0.0992;0.0942
B;0.0731;0.0791;0.0849;0.0777;0.0831;0.0837;0.0843;0.0877;0.0983;0.0969;0.0969;0.084;0.0883;0.086;0.0777;0.0803;0.0909;0.0851;0.0866;0.0863;0.0906;0.0866;0.0963;0.1071;0.0966;0.1003;0.104;0.096;0.1014;0.1086;0.1109;0.108;0.1291;0.1317;0.128;0.1337;0.1271;0.1254;0.1243;0.1114;0.1063;0.1029;0.1026;0.1029;0.1037;0.0931;0.0997;0.0969;0.0977;0.0989;0.0991;0.0943
B;0.0851;0.0726;0.0758;0.0709;0.0698;0.0747;0.0807;0.0709;0.0784;0.0798;0.0791;0.0798;0.0714;0.0779;0.0786;0.0835;0.0721;0.0805;0.084;0.0833;0.0863;0.0933;0.0872;0.0893;0.0951;0.0919;0.1014;0.1019;0.106;0.11;0.1119;0.1105;0.1195;0.1156;0.1307;0.1288;0.1286;0.1316;0.1247;0.116;0.1056;0.1037;0.0802;0.1019;0.087;0.1023;0.0912;0.0928;0.0912;0.0981;0.0956;0.0974
B;0.0757;0.0698;0.076;0.069;0.065;0.073;0.0707;0.068;0.0783;0.0745;0.0715;0.0772;0.0703;0.0778;0.076;0.073;0.0742;0.074;0.0778;0.0835;0.0725;0.0862;0.0843;0.0965;0.0922;0.0948;0.0978;0.101;0.0978;0.1027;0.1013;0.1185;0.1153;0.1163;0.1198;0.1373;0.124;0.122;0.12;0.1205;0.108;0.099;0.0933;0.0848;0.0922;0.0833;0.085;0.087;0.0922;0.088;0.0902;0.0867
B;0.0794;0.0783;0.0694;0.0822;0.0792;0.0811;0.0794;0.085;0.0842;0.0731;0.0872;0.0719;0.0786;0.0825;0.0819;0.0842;0.0858;0.0803;0.0853;0.075;0.08;0.0933;0.0939;0.0925;0.0917;0.1033;0.105;0.1103;0.1233;0.1186;0.1197;0.1183;0.1322;0.1308;0.1197;0.1294;0.1317;0.1258;0.1306;0.1128;0.1178;0.1172;0.0994;0.0914;0.0992;0.0808;0.0983;0.0975;0.1025;0.0981;0.0889;0.0975
B;0.0668;0.0759;0.0689;0.0597;0.0654;0.0681;0.0708;0.0746;0.0673;0.0654;0.0768;0.0735;0.0735;0.0776;0.0768;0.0768;0.0727;0.0768;0.0727;0.08;0.0873;0.0762;0.0857;0.0832;0.0959;0.0959;0.1003;0.0989;0.0984;0.1054;0.1062;0.11;0.1135;0.1251;0.117;0.1289;0.123;0.1157;0.1081;0.1095;0.1119;0.1046;0.0946;0.0822;0.0895;0.0908;0.0843;0.087;0.0838;0.0819;0.0968;0.0919
B;0.073;0.075;0.0635;0.0722;0.074;0.0685;0.0707;0.077;0.0705;0.083;0.074;0.0725;0.0835;0.0795;0.07;0.0732;0.076;0.0752;0.0835;0.0778;0.0795;0.0865;0.0935;0.0917;0.098;0.1015;0.0945;0.097;0.109;0.1073;0.1128;0.1123;0.131;0.124;0.1398;0.135;0.1325;0.139;0.1383;0.121;0.1153;0.1105;0.1013;0.0945;0.1;0.0978;0.0895;0.0877;0.101;0.0953;0.0862;0.0943
