Class;3;3.02;3.04;3.06;3.08;3.1;3.12;3.14;3.16;3.18;3.2;3.22;3.24;3.26;3.28;3.3;3.32;3.34;3.36;3.38;3.4;3.42;3.44
A;0.048;0.0408;0.0415;0.0428;0.034;0.044;0.0473;0.0658;0.106;0.1895;0.2998;0.5162;0.7435;0.8988;1.033;0.9842;0.8237;0.6222;0.4053;0.2255;0.125;0.075;0.0565
A;0.0514;0.0417;0.0419;0.0372;0.0456;0.0486;0.0542;0.0828;0.1119;0.2108;0.3478;0.6067;0.8881;1.1142;1.2428;1.1706;0.9678;0.7189;0.47;0.2689;0.1394;0.0894;0.0556
A;0.052;0.0534;0.0463;0.0523;0.0537;0.0537;0.0646;0.0917;0.1437;0.2591;0.4731;0.7509;1.066;1.408;1.5109;1.4486;1.248;0.8929;0.5866;0.3271;0.1671;0.1054;0.0674
A;0.0455;0.0432;0.0435;0.043;0.0437;0.039;0.0505;0.071;0.1025;0.1613;0.3252;0.5263;0.7435;0.9537;1.024;1.008;0.857;0.6045;0.3957;0.2293;0.1255;0.0747;0.0612
A;0.0569;0.0536;0.0406;0.0497;0.0447;0.055;0.0647;0.0836;0.1275;0.2456;0.4169;0.6806;0.9703;1.2272;1.3469;1.3053;1.0669;0.7869;0.5258;0.2975;0.165;0.0933;0.0694
A;0.0468;0.0503;0.0462;0.055;0.055;0.0525;0.072;0.0975;0.1693;0.288;0.5128;0.8605;1.2423;1.5442;1.7048;1.6515;1.3753;0.9862;0.611;0.3725;0.1935;0.102;0.0803
A;0.0589;0.0497;0.0583;0.05;0.056;0.0523;0.0731;0.096;0.1649;0.278;0.4786;0.7974;1.1669;1.5109;1.6654;1.5606;1.3314;0.9383;0.6097;0.3529;0.1831;0.1094;0.0837
A;0.0556;0.0569;0.0444;0.0492;0.0386;0.0603;0.0586;0.085;0.145;0.2653;0.4789;0.7503;1.1025;1.4111;1.5303;1.4961;1.235;0.8967;0.5711;0.3192;0.1856;0.1086;0.08
A;0.048;0.0422;0.04;0.04;0.0488;0.0444;0.0451;0.0673;0.1068;0.1934;0.3515;0.5402;0.7876;1.0176;1.1363;1.0783;0.8959;0.6415;0.4185;0.24;0.13;0.0744;0.0602
A;0.0632;0.0482;0.0479;0.0418;0.0462;0.0509;0.0556;0.0926;0.1362;0.2229;0.3985;0.6747;0.9318;1.1991;1.3288;1.285;1.0774;0.8059;0.5012;0.2841;0.1326;0.0879;0.0732
A;0.0671;0.0624;0.0544;0.0556;0.061;0.0576;0.08;0.12;0.2198;0.4141;0.7493;1.2195;1.7563;2.2429;2.492;2.4188;2.0229;1.4288;0.9405;0.508;0.2685;0.1422;0.1
