Class;6.04;6.06;6.08;6.1;6.12;6.14;6.16;6.18;6.2;6.22;6.24;6.26;6.28;6.3;6.32;6.34;6.36;6.38;6.4;6.42;6.44;6.46;6.48;6.5;6.52;6.54;6.56;6.58;6.6;6.62;6.64;6.66;6.68;6.7;6.72;6.74;6.76;6.78;6.8
A;0.039;0.038;0.0398;0.0372;0.043;0.0462;0.0432;0.0445;0.0423;0.052;0.0522;0.0503;0.0545;0.0705;0.0785;0.0853;0.0925;0.098;0.0955;0.0892;0.0785;0.0762;0.073;0.0635;0.0602;0.0625;0.0695;0.0607;0.056;0.0498;0.054;0.062;0.056;0.0583;0.06;0.0548;0.0617;0.0673;0.0673
A;0.0486;0.0467;0.0433;0.0378;0.0406;0.0461;0.0439;0.0389;0.0506;0.0397;0.0411;0.0589;0.0625;0.0631;0.0681;0.0819;0.0872;0.0919;0.0778;0.0856;0.0708;0.0764;0.0733;0.0592;0.055;0.0544;0.0519;0.0553;0.0519;0.0544;0.0617;0.0631;0.0586;0.0611;0.0558;0.0681;0.0575;0.06;0.0578
A;0.044;0.0374;0.04;0.0449;0.0349;0.0394;0.0417;0.0397;0.0406;0.0474;0.0471;0.0517;0.062;0.0663;0.0831;0.0966;0.0963;0.108;0.1086;0.0997;0.0917;0.0717;0.0694;0.0631;0.064;0.0574;0.058;0.0631;0.0509;0.0577;0.0566;0.0546;0.0597;0.0626;0.06;0.0549;0.0586;0.0549;0.0546
A;0.0435;0.0405;0.048;0.0508;0.0425;0.0447;0.0432;0.048;0.0495;0.0485;0.0537;0.0563;0.0643;0.0722;0.083;0.0865;0.0993;0.108;0.0993;0.0885;0.0785;0.0703;0.064;0.0703;0.059;0.0578;0.0583;0.0537;0.0565;0.065;0.0615;0.0543;0.0645;0.0635;0.0658;0.0553;0.0653;0.0607;0.0648
A;0.0392;0.0383;0.0414;0.0433;0.0417;0.0378;0.0389;0.0475;0.0453;0.0489;0.0617;0.0739;0.0889;0.0928;0.1214;0.1297;0.1439;0.1614;0.1633;0.1511;0.1308;0.1136;0.0814;0.0714;0.0658;0.0614;0.0569;0.0575;0.0589;0.0611;0.0494;0.0517;0.0533;0.0597;0.0611;0.0642;0.0533;0.0611;0.0628
A;0.036;0.0357;0.0345;0.0413;0.0395;0.0435;0.0415;0.0423;0.0432;0.047;0.0442;0.0597;0.063;0.0715;0.0858;0.0983;0.1075;0.113;0.1055;0.097;0.0815;0.08;0.0643;0.0615;0.056;0.0473;0.0553;0.053;0.0508;0.0522;0.052;0.052;0.0505;0.0495;0.051;0.0555;0.0558;0.052;0.0568
A;0.0414;0.0329;0.0403;0.0411;0.0423;0.0434;0.0423;0.0474;0.0469;0.0497;0.0486;0.0543;0.0703;0.08;0.092;0.0977;0.1091;0.1063;0.1083;0.0937;0.0874;0.0769;0.0694;0.0671;0.052;0.0571;0.0637;0.0511;0.0503;0.0569;0.056;0.058;0.058;0.054;0.0554;0.0551;0.0591;0.0594;0.0574
A;0.0425;0.0378;0.045;0.0356;0.0408;0.0436;0.0417;0.0417;0.0439;0.0475;0.0467;0.0533;0.0553;0.0625;0.0672;0.0717;0.0822;0.0822;0.0761;0.0756;0.0689;0.0656;0.0722;0.0611;0.0497;0.0561;0.0542;0.055;0.0539;0.0528;0.0558;0.0544;0.0556;0.0578;0.0506;0.0564;0.0564;0.0586;0.0539
A;0.0441;0.042;0.0402;0.0478;0.0351;0.0434;0.0454;0.0446;0.0495;0.0485;0.0522;0.0561;0.0707;0.0817;0.0841;0.0983;0.1;0.1178;0.1127;0.0883;0.0927;0.0832;0.0732;0.0688;0.0585;0.0627;0.0524;0.062;0.0585;0.0561;0.0583;0.0541;0.0554;0.0595;0.068;0.0576;0.0585;0.062;0.072
