Class;4.26;4.29;4.31;4.34;4.37;4.39;4.42;4.44;4.47;4.49;4.52;4.54;4.57;4.6;4.62;4.65;4.67;4.7;4.72
A;3.0;5.0;5.0;10.0;10.0;16.0;23.0;76.0;78.0;111.0;156.0;154.0;145.0;98.0;56.0;30.0;20.0;8.0;5.0
A;8.0;8.0;10.0;15.0;15.0;32.0;56.0;100.0;146.0;231.0;269.0;285.0;240.0;141.0;120.0;57.0;24.0;14.0;5.0
A;13.0;7.0;5.0;11.0;7.0;19.0;43.0;91.0;141.0;198.0;231.0;189.0;205.0;164.0;105.0;40.0;28.0;13.0;9.0
A;8.0;6.0;7.0;9.0;11.0;12.0;27.0;56.0;73.0;106.0;130.0;116.0;101.0;94.0;47.0;36.0;18.0;12.0;8.0
A;4.0;10.0;8.0;11.0;15.0;15.0;34.0;72.0;111.0;163.0;197.0;178.0;166.0;120.0;68.0;46.0;26.0;11.0;10.0
A;10.0;4.0;6.0;6.0;13.0;14.0;43.0;67.0;128.0;158.0;204.0;194.0;163.0;106.0;71.0;38.0;17.0;12.0;10.0
A;12.0;12.0;11.0;13.0;17.0;22.0;55.0;90.0;120.0;170.0;204.0;219.0;173.0;131.0;67.0;45.0;26.0;11.0;9.0
A;6.0;4.0;8.0;8.0;13.0;31.0;51.0;91.0;121.0;234.0;241.0;255.0;221.0;158.0;86.0;56.0;27.0;14.0;8.0
A;7.0;12.0;10.0;9.0;16.0;12.0;47.0;112.0;143.0;249.0;274.0;281.0;247.0;179.0;112.0;75.0;35.0;15.0;7.0
A;6.0;11.0;8.0;6.0;15.0;23.0;47.0;94.0;152.0;193.0;228.0;235.0;207.0;125.0;90.0;57.0;22.0;16.0;7.0
A;11.0;10.0;8.0;4.0;5.0;20.0;39.0;62.0;101.0;114.0;170.0;138.0;132.0;88.0;61.0;32.0;18.0;9.0;10.0
A;8.0;7.0;10.0;15.0;16.0;12.0;29.0;71.0;120.0;177.0;199.0;195.0;173.0;135.0;73.0;46.0;28.0;22.0;17.0
A;10.0;6.0;8.0;9.0;11.0;38.0;38.0;77.0;121.0;142.0;175.0;160.0;164.0;126.0;61.0;39.0;20.0;16.0;6.0
A;9.0;13.0;10.0;6.0;9.0;10.0;34.0;47.0;120.0;134.0;164.0;165.0;154.0;88.0;67.0;41.0;32.0;10.0;12.0
A;9.0;15.0;6.0;7.0;8.0;22.0;43.0;75.0;142.0;204.0;223.0;239.0;204.0;145.0;76.0;43.0;27.0;20.0;7.0
A;6.0;9.0;9.0;8.0;10.0;24.0;37.0;83.0;95.0;158.0;172.0;168.0;143.0;100.0;73.0;31.0;24.0;14.0;15.0
A;11.0;6.0;10.0;6.0;23.0;37.0;63.0;103.0;180.0;275.0;275.0;308.0;261.0;169.0;123.0;58.0;26.0;12.0;13.0
A;6.0;5.0;9.0;8.0;13.0;21.0;31.0;92.0;143.0;193.0;228.0;282.0;218.0;171.0;96.0;44.0;31.0;10.0;11.0
A;3.0;9.0;9.0;10.0;15.0;19.0;37.0;52.0;91.0;147.0;145.0;166.0;140.0;94.0;63.0;38.0;23.0;12.0;9.0
A;5.0;9.0;10.0;8.0;11.0;24.0;54.0;84.0;155.0;208.0;238.0;241.0;194.0;177.0;103.0;47.0;24.0;18.0;9.0
A;10.0;11.0;7.0;13.0;21.0;33.0;63.0;116.0;171.0;278.0;327.0;311.0;274.0;206.0;98.0;73.0;21.0;17.0;8.0
A;10.0;5.0;6.0;6.0;13.0;21.0;40.0;74.0;127.0;204.0;262.0;177.0;197.0;131.0;115.0;59.0;20.0;14.0;9.0
A;8.0;6.0;10.0;8.0;14.0;23.0;42.0;81.0;133.0;170.0;228.0;226.0;193.0;129.0;92.0;49.0;19.0;19.0;9.0
A;9.0;6.0;8.0;10.0;13.0;18.0;42.0;69.0;113.0;167.0;217.0;218.0;155.0;121.0;89.0;51.0;18.0;24.0;9.0
A;10.0;11.0;9.0;12.0;10.0;17.0;35.0;84.0;131.0;186.0;249.0;236.0;212.0;124.0;99.0;45.0;27.0;15.0;12.0
A;9.0;8.0;7.0;9.0;15.0;20.0;53.0;76.0;128.0;146.0;176.0;173.0;158.0;123.0;69.0;35.0;18.0;10.0;11.0
A;5.0;10.0;14.0;10.0;15.0;22.0;44.0;63.0;90.0;144.0;175.0;179.0;133.0;77.0;37.0;37.0;22.0;14.0;18.0
A;5.0;11.0;13.0;3.0;15.0;28.0;35.0;74.0;128.0;184.0;236.0;223.0;196.0;121.0;86.0;46.0;32.0;14.0;11.0
A;7.0;10.0;6.0;8.0;15.0;24.0;47.0;78.0;148.0;203.0;249.0;244.0;199.0;127.0;101.0;53.0;25.0;18.0;8.0
A;9.0;6.0;9.0;18.0;12.0;20.0;37.0;87.0;116.0;205.0;235.0;265.0;243.0;159.0;91.0;46.0;29.0;15.0;11.0
A;11.0;9.0;12.0;12.0;13.0;55.0;87.0;149.0;211.0;268.0;309.0;353.0;270.0;180.0;121.0;53.0;27.0;25.0;15.0
A;9.0;3.0;13.0;12.0;16.0;27.0;38.0;91.0;180.0;252.0;283.0;267.0;245.0;176.0;125.0;46.0;27.0;13.0;9.0
A;9.0;8.0;9.0;16.0;13.0;28.0;53.0;70.0;111.0;141.0;189.0;173.0;158.0;109.0;65.0;49.0;26.0;11.0;11.0
A;10.0;17.0;15.0;20.0;22.0;37.0;69.0;149.0;267.0;313.0;400.0;394.0;323.0;244.0;148.0;75.0;40.0;21.0;17.0
A;8.0;11.0;5.0;13.0;10.0;21.0;40.0;76.0;154.0;206.0;311.0;271.0;235.0;159.0;119.0;61.0;24.0;17.0;15.0
A;6.0;4.0;14.0;18.0;16.0;35.0;72.0;138.0;226.0;320.0;420.0;340.0;320.0;226.0;135.0;56.0;34.0;15.0;15.0
A;4.0;10.0;6.0;9.0;11.0;12.0;19.0;42.0;63.0;105.0;133.0;106.0;114.0;87.0;58.0;33.0;12.0;10.0;8.0
A;10.0;10.0;8.0;6.0;14.0;23.0;46.0;57.0;121.0;159.0;171.0;167.0;132.0;98.0;63.0;36.0;16.0;13.0;12.0
A;4.0;10.0;9.0;12.0;22.0;39.0;46.0;108.0;174.0;257.0;303.0;314.0;235.0;153.0;108.0;52.0;40.0;18.0;18.0
A;8.0;11.0;6.0;3.0;7.0;17.0;55.0;71.0;121.0;172.0;210.0;239.0;205.0;145.0;90.0;56.0;22.0;5.0;14.0
A;6.0;8.0;7.0;7.0;14.0;20.0;39.0;84.0;128.0;155.0;222.0;230.0;187.0;128.0;85.0;36.0;23.0;9.0;14.0
A;13.0;12.0;4.0;12.0;20.0;28.0;51.0;88.0;157.0;215.0;259.0;222.0;230.0;155.0;99.0;57.0;32.0;16.0;12.0
A;7.0;5.0;10.0;7.0;9.0;19.0;32.0;60.0;73.0;99.0;142.0;133.0;97.0;75.0;48.0;22.0;15.0;8.0;7.0
A;4.0;5.0;9.0;7.0;10.0;22.0;55.0;98.0;149.0;231.0;274.0;266.0;254.0;162.0;107.0;53.0;31.0;19.0;8.0
A;8.0;8.0;6.0;9.0;6.0;30.0;32.0;70.0;94.0;147.0;135.0;147.0;144.0;109.0;55.0;33.0;17.0;9.0;7.0
A;9.0;10.0;8.0;9.0;17.0;24.0;48.0;92.0;153.0;201.0;264.0;274.0;225.0;179.0;114.0;51.0;21.0;17.0;9.0
A;7.0;5.0;8.0;5.0;16.0;15.0;24.0;68.0;97.0;107.0;142.0;177.0;113.0;82.0;68.0;34.0;14.0;15.0;10.0
A;10.0;9.0;11.0;7.0;22.0;26.0;47.0;65.0;117.0;148.0;198.0;214.0;145.0;111.0;76.0;32.0;24.0;16.0;11.0
A;5.0;12.0;5.0;9.0;9.0;20.0;43.0;69.0;95.0;135.0;188.0;175.0;157.0;103.0;74.0;40.0;20.0;5.0;10.0
A;8.0;9.0;8.0;5.0;17.0;26.0;53.0;142.0;194.0;287.0;369.0;334.0;326.0;211.0;112.0;62.0;35.0;16.0;22.0
A;7.0;10.0;6.0;9.0;20.0;16.0;36.0;55.0;76.0;103.0;118.0;103.0;112.0;50.0;54.0;23.0;14.0;12.0;11.0
A;9.0;3.0;11.0;10.0;8.0;22.0;47.0;98.0;129.0;167.0;198.0;207.0;169.0;111.0;62.0;41.0;24.0;16.0;12.0
A;8.0;3.0;9.0;10.0;15.0;28.0;54.0;75.0;152.0;215.0;263.0;265.0;228.0;142.0;97.0;68.0;32.0;9.0;8.0
A;7.0;8.0;9.0;2.0;5.0;23.0;43.0;50.0;85.0;123.0;147.0;140.0;124.0;102.0;54.0;31.0;20.0;17.0;7.0
A;7.0;10.0;6.0;12.0;16.0;25.0;43.0;84.0;135.0;156.0;223.0;224.0;238.0;153.0;70.0;54.0;24.0;14.0;7.0
A;10.0;6.0;6.0;10.0;16.0;18.0;44.0;94.0;155.0;232.0;274.0;294.0;213.0;162.0;112.0;57.0;35.0;17.0;6.0
A;10.0;8.0;9.0;12.0;10.0;12.0;33.0;71.0;118.0;164.0;188.0;195.0;167.0;122.0;79.0;47.0;34.0;11.0;3.0
A;7.0;8.0;2.0;10.0;11.0;34.0;44.0;111.0;184.0;239.0;307.0;287.0;257.0;170.0;141.0;77.0;29.0;13.0;7.0
A;3.0;7.0;10.0;13.0;22.0;20.0;43.0;84.0;160.0;180.0;256.0;244.0;250.0;134.0;104.0;61.0;14.0;14.0;8.0
A;8.0;11.0;7.0;14.0;10.0;36.0;72.0;129.0;210.0;319.0;350.0;352.0;356.0;245.0;137.0;74.0;41.0;21.0;11.0
A;7.0;17.0;8.0;13.0;13.0;40.0;46.0;82.0;151.0;208.0;271.0;241.0;184.0;135.0;92.0;45.0;25.0;16.0;17.0
A;11.0;7.0;7.0;12.0;10.0;15.0;26.0;85.0;121.0;162.0;204.0;200.0;184.0;141.0;88.0;30.0;24.0;17.0;6.0
A;8.0;4.0;11.0;12.0;12.0;27.0;47.0;101.0;124.0;204.0;250.0;245.0;224.0;175.0;95.0;52.0;20.0;10.0;10.0
A;7.0;8.0;7.0;10.0;9.0;24.0;31.0;53.0;94.0;118.0;190.0;186.0;150.0;112.0;57.0;37.0;21.0;15.0;13.0
A;9.0;7.0;4.0;4.0;13.0;10.0;32.0;45.0;80.0;112.0;112.0;149.0;117.0;71.0;41.0;40.0;18.0;17.0;14.0
A;9.0;5.0;9.0;8.0;11.0;28.0;33.0;68.0;108.0;137.0;167.0;170.0;141.0;122.0;51.0;43.0;22.0;8.0;9.0
A;3.0;7.0;9.0;14.0;12.0;29.0;53.0;88.0;150.0;220.0;268.0;256.0;253.0;181.0;120.0;48.0;33.0;13.0;18.0
A;14.0;5.0;8.0;11.0;7.0;20.0;22.0;56.0;94.0;124.0;129.0;140.0;128.0;117.0;47.0;24.0;14.0;15.0;8.0
A;7.0;7.0;5.0;16.0;5.0;20.0;36.0;56.0;134.0;144.0;210.0;202.0;179.0;147.0;80.0;55.0;22.0;17.0;7.0
A;11.0;6.0;5.0;7.0;9.0;19.0;23.0;76.0;103.0;150.0;188.0;171.0;144.0;118.0;86.0;35.0;15.0;15.0;6.0
A;8.0;13.0;6.0;12.0;14.0;46.0;79.0;138.0;271.0;330.0;397.0;422.0;336.0;262.0;176.0;90.0;52.0;18.0;14.0
A;7.0;11.0;12.0;6.0;11.0;32.0;49.0;90.0;141.0;217.0;268.0;277.0;205.0;183.0;98.0;70.0;30.0;13.0;15.0
A;9.0;9.0;13.0;11.0;13.0;21.0;21.0;57.0;76.0;126.0;136.0;148.0;128.0;95.0;61.0;35.0;25.0;9.0;5.0
A;10.0;9.0;7.0;6.0;9.0;16.0;40.0;79.0;107.0;166.0;211.0;227.0;163.0;127.0;85.0;51.0;22.0;12.0;12.0
A;6.0;6.0;2.0;12.0;13.0;34.0;39.0;79.0;132.0;209.0;224.0;241.0;220.0;143.0;114.0;63.0;32.0;15.0;8.0
A;7.0;10.0;14.0;7.0;20.0;17.0;50.0;108.0;104.0;158.0;184.0;188.0;152.0;123.0;69.0;43.0;21.0;8.0;11.0
A;6.0;13.0;13.0;21.0;23.0;32.0;68.0;126.0;181.0;253.0;309.0;305.0;272.0;189.0;121.0;62.0;29.0;22.0;7.0
A;5.0;5.0;14.0;14.0;9.0;17.0;30.0;67.0;78.0;146.0;149.0;128.0;131.0;93.0;66.0;24.0;25.0;9.0;11.0
A;6.0;9.0;3.0;18.0;18.0;36.0;71.0;111.0;227.0;268.0;340.0;341.0;254.0;191.0;119.0;62.0;27.0;18.0;8.0
A;10.0;8.0;5.0;11.0;14.0;30.0;55.0;121.0;181.0;286.0;325.0;340.0;307.0;214.0;117.0;85.0;34.0;22.0;13.0
A;6.0;8.0;7.0;11.0;17.0;36.0;60.0;114.0;183.0;277.0;316.0;309.0;284.0;188.0;102.0;64.0;33.0;14.0;16.0
A;6.0;10.0;5.0;12.0;11.0;27.0;40.0;59.0;118.0;156.0;199.0;204.0;150.0;132.0;78.0;46.0;28.0;22.0;9.0
A;9.0;4.0;14.0;17.0;25.0;40.0;63.0;100.0;162.0;225.0;248.0;241.0;183.0;141.0;91.0;46.0;24.0;15.0;15.0
A;9.0;4.0;7.0;8.0;4.0;14.0;35.0;71.0;104.0;172.0;177.0;202.0;171.0;137.0;77.0;31.0;32.0;8.0;13.0
A;7.0;8.0;9.0;8.0;21.0;32.0;44.0;92.0;145.0;198.0;218.0;223.0;140.0;127.0;75.0;50.0;18.0;16.0;7.0
A;5.0;7.0;9.0;14.0;24.0;42.0;79.0;128.0;205.0;320.0;407.0;379.0;317.0;239.0;132.0;66.0;32.0;32.0;10.0
A;6.0;5.0;5.0;6.0;12.0;17.0;22.0;48.0;79.0;113.0;126.0;141.0;103.0;73.0;58.0;27.0;20.0;16.0;9.0
A;12.0;12.0;6.0;5.0;9.0;15.0;31.0;48.0;77.0;106.0;138.0;128.0;117.0;88.0;54.0;24.0;16.0;8.0;11.0
A;10.0;10.0;13.0;14.0;21.0;48.0;90.0;169.0;268.0;374.0;427.0;452.0;346.0;280.0;167.0;85.0;58.0;19.0;22.0
A;7.0;5.0;10.0;5.0;5.0;16.0;42.0;57.0;93.0;116.0;146.0;184.0;161.0;93.0;57.0;53.0;27.0;21.0;18.0
A;7.0;4.0;11.0;14.0;21.0;30.0;78.0;148.0;218.0;345.0;394.0;392.0;354.0;247.0;158.0;88.0;37.0;21.0;13.0
A;7.0;10.0;4.0;8.0;15.0;15.0;30.0;67.0;95.0;122.0;146.0;144.0;125.0;73.0;56.0;29.0;20.0;11.0;8.0
A;10.0;6.0;15.0;6.0;9.0;29.0;53.0;71.0;127.0;223.0;222.0;226.0;215.0;125.0;89.0;46.0;25.0;16.0;15.0
A;7.0;9.0;9.0;9.0;9.0;21.0;49.0;74.0;146.0;189.0;214.0;200.0;192.0;142.0;92.0;48.0;20.0;12.0;11.0
