Class;6.79;6.81;6.84;6.86;6.89;6.91;6.94;6.96;6.99;7.02;7.04;7.07;7.09;7.12;7.14;7.17;7.19;7.22;7.25;7.27;7.3;7.32
A;11.0;6.0;4.0;6.0;11.0;4.0;7.0;6.0;4.0;6.0;11.0;12.0;7.0;11.0;12.0;5.0;4.0;9.0;6.0;4.0;6.0;4.0
A;4.0;7.0;3.0;8.0;8.0;9.0;10.0;6.0;8.0;6.0;6.0;1.0;2.0;7.0;7.0;11.0;7.0;8.0;3.0;12.0;7.0;4.0
A;4.0;6.0;10.0;10.0;7.0;11.0;10.0;13.0;11.0;8.0;8.0;7.0;7.0;9.0;8.0;5.0;5.0;8.0;5.0;5.0;7.0;8.0
A;8.0;11.0;4.0;7.0;5.0;11.0;12.0;9.0;11.0;10.0;8.0;15.0;9.0;4.0;6.0;9.0;15.0;3.0;3.0;9.0;6.0;7.0
A;3.0;4.0;9.0;4.0;5.0;7.0;6.0;11.0;8.0;6.0;6.0;6.0;10.0;16.0;8.0;6.0;6.0;7.0;6.0;9.0;8.0;5.0
A;6.0;4.0;13.0;4.0;11.0;8.0;11.0;7.0;9.0;6.0;7.0;4.0;8.0;8.0;5.0;8.0;9.0;8.0;4.0;4.0;6.0;7.0
A;6.0;7.0;6.0;4.0;9.0;10.0;7.0;9.0;6.0;7.0;6.0;6.0;4.0;7.0;8.0;7.0;13.0;8.0;4.0;5.0;8.0;7.0
A;4.0;7.0;10.0;3.0;7.0;10.0;19.0;11.0;7.0;11.0;15.0;9.0;8.0;9.0;6.0;9.0;11.0;8.0;7.0;7.0;5.0;12.0
A;8.0;5.0;8.0;3.0;5.0;6.0;7.0;10.0;8.0;6.0;11.0;13.0;6.0;8.0;9.0;13.0;5.0;10.0;8.0;7.0;8.0;5.0
A;4.0;5.0;4.0;10.0;6.0;6.0;8.0;6.0;8.0;5.0;7.0;10.0;8.0;7.0;9.0;9.0;6.0;9.0;10.0;7.0;8.0;6.0
A;5.0;6.0;11.0;5.0;7.0;11.0;8.0;6.0;5.0;7.0;5.0;13.0;11.0;7.0;7.0;6.0;5.0;5.0;9.0;4.0;5.0;9.0
A;3.0;4.0;9.0;9.0;5.0;13.0;6.0;11.0;11.0;7.0;12.0;8.0;11.0;8.0;6.0;4.0;7.0;6.0;5.0;6.0;8.0;6.0
A;6.0;6.0;4.0;6.0;8.0;5.0;10.0;6.0;9.0;8.0;7.0;12.0;8.0;7.0;10.0;8.0;8.0;9.0;6.0;5.0;8.0;10.0
A;6.0;4.0;7.0;5.0;15.0;5.0;10.0;5.0;10.0;3.0;11.0;6.0;8.0;7.0;7.0;9.0;10.0;8.0;7.0;7.0;4.0;6.0
A;8.0;8.0;8.0;11.0;6.0;11.0;11.0;11.0;8.0;8.0;5.0;15.0;9.0;9.0;5.0;14.0;11.0;5.0;5.0;6.0;11.0;5.0
A;7.0;8.0;7.0;12.0;6.0;6.0;4.0;14.0;7.0;9.0;5.0;9.0;11.0;11.0;12.0;9.0;9.0;5.0;5.0;8.0;6.0;8.0
A;6.0;6.0;5.0;10.0;6.0;12.0;9.0;11.0;10.0;11.0;8.0;9.0;9.0;9.0;12.0;4.0;6.0;3.0;7.0;8.0;11.0;9.0
A;11.0;4.0;6.0;8.0;5.0;11.0;7.0;7.0;10.0;8.0;9.0;4.0;8.0;10.0;10.0;1.0;9.0;3.0;6.0;11.0;12.0;8.0
A;5.0;5.0;3.0;3.0;8.0;9.0;4.0;10.0;6.0;8.0;6.0;7.0;9.0;8.0;3.0;10.0;3.0;10.0;6.0;9.0;10.0;2.0
A;9.0;12.0;12.0;5.0;2.0;6.0;8.0;8.0;5.0;10.0;11.0;7.0;7.0;12.0;7.0;9.0;7.0;14.0;7.0;4.0;9.0;7.0
A;7.0;9.0;6.0;8.0;4.0;8.0;5.0;6.0;8.0;6.0;10.0;4.0;4.0;10.0;16.0;8.0;11.0;4.0;6.0;9.0;10.0;3.0
A;9.0;4.0;7.0;7.0;3.0;11.0;12.0;4.0;12.0;12.0;10.0;9.0;7.0;8.0;13.0;12.0;8.0;8.0;6.0;10.0;6.0;8.0
A;8.0;8.0;10.0;6.0;10.0;8.0;8.0;6.0;9.0;5.0;9.0;8.0;12.0;10.0;14.0;8.0;9.0;7.0;8.0;8.0;2.0;5.0
A;11.0;7.0;9.0;8.0;9.0;11.0;14.0;6.0;8.0;7.0;10.0;12.0;7.0;12.0;15.0;9.0;12.0;6.0;6.0;7.0;8.0;8.0
A;8.0;9.0;2.0;6.0;2.0;6.0;9.0;7.0;8.0;8.0;9.0;8.0;8.0;8.0;10.0;12.0;6.0;11.0;5.0;9.0;8.0;7.0
A;9.0;7.0;2.0;7.0;8.0;7.0;11.0;8.0;10.0;7.0;8.0;9.0;8.0;4.0;10.0;7.0;9.0;6.0;7.0;10.0;7.0;9.0
A;12.0;10.0;5.0;8.0;4.0;6.0;9.0;5.0;9.0;6.0;5.0;9.0;9.0;11.0;7.0;8.0;8.0;7.0;7.0;6.0;7.0;4.0
A;2.0;5.0;9.0;11.0;8.0;5.0;3.0;7.0;5.0;3.0;12.0;9.0;7.0;8.0;3.0;7.0;7.0;10.0;5.0;7.0;6.0;11.0
A;8.0;12.0;8.0;5.0;8.0;7.0;7.0;10.0;12.0;10.0;9.0;9.0;12.0;6.0;13.0;10.0;8.0;5.0;6.0;9.0;5.0;7.0
A;4.0;4.0;4.0;13.0;4.0;4.0;9.0;5.0;6.0;5.0;9.0;10.0;7.0;10.0;4.0;8.0;8.0;4.0;12.0;7.0;3.0;2.0
A;5.0;4.0;6.0;22.0;10.0;5.0;11.0;12.0;8.0;7.0;9.0;7.0;12.0;5.0;8.0;6.0;6.0;7.0;7.0;5.0;8.0;3.0
A;9.0;8.0;7.0;5.0;7.0;8.0;8.0;6.0;6.0;9.0;11.0;8.0;8.0;9.0;13.0;13.0;7.0;8.0;6.0;8.0;3.0;9.0
A;8.0;8.0;4.0;4.0;8.0;8.0;7.0;10.0;12.0;10.0;4.0;2.0;12.0;11.0;9.0;9.0;2.0;5.0;5.0;8.0;9.0;5.0
A;8.0;6.0;8.0;5.0;8.0;4.0;6.0;12.0;8.0;9.0;5.0;10.0;15.0;9.0;4.0;5.0;9.0;8.0;9.0;7.0;7.0;6.0
