Class;3.92;3.94;3.97;3.99;4.02;4.04;4.07;4.09;4.12;4.15;4.17;4.20;4.22;4.25;4.27;4.30;4.32;4.35;4.38;4.40;4.43;4.45;4.48;4.50;4.53;4.56;4.58;4.61;4.63;4.66;4.68;4.71;4.73;4.76;4.79;4.81;4.84;4.86;4.89;4.91;4.94;4.96;4.99;5.02;5.04;5.07;5.09;5.12;5.14;5.17;5.19;5.22;5.25;5.27;5.30;5.32;5.35;5.37;5.40;5.42;5.45;5.48;5.50;5.53;5.55;5.58;5.60;5.63;5.66;5.68;5.71;5.73;5.76;5.78;5.81;5.83;5.86;5.89;5.91;5.94;5.96;5.99;6.01;6.04;6.06;6.09;6.12
A;11.8947;10.0;9.84211;9.63158;11.4737;10.6316;11.2632;11.2632;8.73684;7.15789;10.0;10.0;7.94737;6.26316;13.1053;9.10526;8.0;8.94737;6.0;6.94737;10.5789;6.78947;6.0;6.73684;5.63158;6.26316;7.0;7.0;6.52632;6.84211;9.47368;10.4211;7.78947;10.0;9.52632;7.73684;13.5263;5.0;7.0;8.0;5.0;9.0;8.0;8.0;8.0;8.0;5.0;6.0;6.0;8.0;8.0;18.0;9.0;5.0;5.0;9.0;8.0;7.0;7.0;6.68421;5.84211;10.3158;11.7895;5.52632;4.26316;6.94737;5.89474;6.31579;7.36842;6.31579;4.52632;9.52632;7.63158;9.68421;0.526316;12.0;8.94737;8.31579;11.0;11.0;9.42105;5.0;9.05263;11.7895;7.89474;7.36842;4.42105
A;5.05263;14.8421;16.0;12.8421;12.0;14.7368;12.8421;9.84211;9.0;7.57895;6.42105;7.0;7.0;6.47368;5.84211;8.68421;7.42105;11.0;11.0;5.0;18.0;7.0;7.0;9.0;7.0;8.0;12.0;7.0;15.0;11.0;8.0;12.0;7.0;10.0;10.0;8.0;12.0;7.0;6.05263;9.57895;5.78947;6.57895;4.78947;6.05263;7.0;8.15789;7.42105;6.94737;7.57895;6.26316;6.89474;11.0;10.3684;7.68421;6.21053;8.26316;13.0;10.8947;8.57895;5.78947;9.15789;5.21053;6.15789;10.7895;5.31579;5.36842;7.47368;11.0526;9.57895;8.36842;8.26316;7.21053;7.84211;8.89474;6.15789;15.0;8.36842;8.89474;6.47368;8.36842;10.4737;5.52632;6.15789;6.84211;10.7368;10.7368;6.0
A;12.7368;8.63158;13.2105;10.6842;14.8947;8.36842;9.57895;11.4737;7.52632;12.2632;11.2105;7.63158;7.31579;6.26316;6.78947;9.52632;11.7895;11.0526;12.0;6.05263;6.47368;3.57895;13.0526;14.1053;6.94737;7.89474;8.94737;10.6316;8.52632;7.26316;6.0;8.05263;9.0;9.78947;6.63158;8.68421;13.7368;7.0;3.10526;5.31579;9.42105;15.7368;10.7368;10.0;10.3684;8.47368;5.94737;5.42105;8.05263;9.10526;7.31579;7.73684;6.42105;11.0526;11.1053;11.0;13.0;14.0;12.0;13.0;9.0;5.0;9.0;9.0;4.0;6.0;5.0;10.0;7.0;4.0;6.0;7.0;10.0;8.0;9.0;12.0;10.1053;8.21053;13.0526;11.6316;6.57895;9.10526;7.84211;5.42105;6.05263;9.36842;12.0
A;11.7368;7.42105;11.4737;14.4211;14.1579;9.94737;12.3684;11.3158;9.0;5.84211;4.15789;5.63158;6.68421;7.73684;5.63158;4.15789;5.78947;2.21053;13.0;8.0;7.0;4.0;6.0;9.0;7.0;8.0;15.0;5.0;9.0;6.0;9.0;7.0;6.0;11.0;5.0;6.0;7.0;11.0;8.15789;10.6842;6.78947;13.1053;9.84211;6.63158;4.73684;5.15789;7.05263;10.8421;11.4737;8.36842;8.05263;5.73684;5.21053;5.84211;5.94737;14.1053;16.0;11.0;10.4737;7.10526;11.9474;8.26316;8.36842;7.73684;9.42105;7.63158;5.52632;4.26316;8.05263;10.3158;10.7368;8.63158;10.5263;11.0;8.15789;10.0;5.26316;10.3158;12.3684;9.0;8.73684;7.68421;9.21053;11.7368;9.05263;7.47368;7.0
A;8.94737;8.31579;10.2105;7.89474;13.4211;10.2632;11.5263;7.73684;7.42105;8.47368;9.15789;5.57895;5.05263;8.94737;6.84211;5.15789;13.9474;6.47368;6.0;6.94737;7.89474;7.15789;8.57895;11.2105;9.94737;9.63158;10.0;9.47368;8.05263;5.73684;6.57895;10.3684;8.21053;6.0;6.78947;10.8947;9.73684;5.0;6.89474;7.89474;7.15789;7.0;7.73684;8.0;8.63158;4.94737;3.05263;4.47368;4.57895;5.47368;7.68421;7.26316;8.84211;11.2105;7.10526;7.78947;4.0;15.3684;4.36842;3.84211;4.78947;7.21053;4.57895;7.42105;8.26316;6.47368;9.78947;12.3158;7.42105;3.94737;5.73684;6.89474;13.0526;7.36842;2.52632;12.0;5.89474;4.42105;7.52632;5.42105;7.52632;8.36842;6.63158;7.26316;8.52632;8.0;10.8947
A;12.8947;9.42105;5.63158;10.5263;12.0;12.6842;13.0;11.8421;8.89474;6.52632;7.68421;10.7368;10.7368;8.52632;8.73684;5.10526;10.3684;5.10526;7.0;1.0;7.0;6.0;10.0;10.0;10.0;3.0;8.0;10.0;8.0;5.0;9.0;12.0;6.0;4.0;8.0;13.0;13.0;5.0;6.89474;7.0;12.0526;10.6316;9.26316;6.26316;5.63158;8.31579;9.47368;8.05263;7.42105;6.89474;7.52632;11.4211;7.84211;10.5263;7.89474;7.10526;9.0;9.0;8.89474;8.31579;10.4211;10.9474;7.36842;6.0;8.10526;7.68421;3.47368;7.63158;7.21053;9.78947;7.57895;6.0;4.31579;4.89474;5.94737;8.0;4.94737;4.42105;8.94737;12.3158;7.05263;12.2105;12.9474;7.26316;8.05263;5.42105;7.47368
A;9.15789;8.10526;13.0526;13.2105;16.6842;12.5263;13.1579;13.2632;10.9474;9.52632;9.0;8.26316;8.26316;9.42105;4.57895;4.42105;11.4737;7.26316;12.0;7.0;11.0;9.0;9.0;11.0;3.0;6.0;8.0;9.0;2.0;6.0;5.0;7.0;4.0;6.0;8.0;8.0;10.0;4.0;2.0;12.0;9.0;11.0;9.0;7.0;8.0;10.0;10.0;6.0;9.0;12.0;5.0;8.0;9.0;8.0;15.0;2.0;9.0;4.0;5.0;10.0;6.0;5.0;9.0;14.0;7.0;9.0;9.0;11.0;12.0;10.0;7.0;9.0;5.0;6.0;6.0;9.0;10.1579;11.9474;3.47368;7.05263;10.4737;8.05263;5.63158;5.0;6.89474;8.47368;10.3158
A;15.9474;14.3684;9.0;9.21053;10.2632;12.8947;12.2105;4.84211;7.89474;8.42105;5.84211;6.89474;3.89474;4.94737;6.0;6.0;7.78947;6.10526;9.0;3.52632;11.9474;3.94737;8.78947;8.26316;8.05263;5.63158;7.52632;9.10526;8.57895;11.1579;8.21053;8.05263;8.26316;8.78947;7.31579;7.0;11.7368;5.0;4.0;7.0;6.0;7.0;12.0;10.0;8.0;12.0;13.0;10.0;4.0;9.0;10.0;9.0;10.0;9.0;6.0;5.0;5.0;4.05263;4.89474;4.15789;10.3158;9.78947;5.57895;5.26316;9.47368;10.4211;7.57895;8.52632;9.78947;5.68421;5.26316;6.42105;7.68421;6.42105;10.2632;15.0;7.42105;6.10526;9.36842;10.7895;9.52632;9.0;7.10526;4.84211;7.68421;9.10526;7.0
A;7.94737;7.42105;10.8421;11.0526;14.7368;14.3158;15.0;12.0526;12.7368;15.3684;10.6842;10.2632;7.57895;8.94737;9.21053;4.78947;6.68421;7.94737;16.0;8.42105;8.0;9.68421;6.84211;6.0;8.05263;8.36842;10.8947;8.26316;6.84211;10.4211;9.52632;7.31579;7.73684;6.36842;3.84211;3.94737;11.6842;6.0;7.0;11.0;11.0;21.0;7.0;11.0;8.0;8.0;8.0;7.0;9.0;13.0;5.0;8.0;12.0;11.0;7.0;9.0;12.0;15.5789;8.10526;9.0;9.0;10.0526;10.4737;7.21053;10.5789;8.10526;6.52632;7.57895;9.89474;9.63158;8.26316;7.21053;11.2105;13.7895;11.1579;12.0;7.26316;7.89474;8.84211;12.9474;9.57895;7.31579;7.63158;10.3158;12.0;10.1053;7.15789
