Class;20.06;20.08;20.11;20.13;20.16;20.19;20.21;20.24;20.26;20.29;20.31;20.34;20.36;20.39;20.42;20.44;20.47;20.49;20.52;20.54;20.57;20.60;20.62;20.65;20.67;20.70;20.72;20.75;20.77;20.80;20.83;20.85;20.88;20.90;20.93;20.95;20.98;21.00;21.03;21.06;21.08;21.11;21.13;21.16;21.18;21.21;21.23;21.26;21.29;21.31;21.34;21.36;21.39;21.41;21.44;21.46;21.49;21.52;21.54;21.57;21.59;21.62
A;493.947;484.579;498.789;501.316;518.526;527.474;507.895;499.684;491.368;511.053;527.105;528.158;553.053;533.263;531.0;531.737;543.526;532.895;539.632;536.737;545.684;527.0;581.526;598.947;601.053;584.368;580.158;581.474;595.684;608.316;602.421;599.211;614.158;603.0;591.632;589.211;590.684;576.789;554.579;577.421;561.316;561.368;549.789;521.368;519.895;509.947;479.316;472.368;459.211;486.053;463.526;452.263;475.0;421.947;371.579;407.263;434.737;407.579;398.737;442.947;422.263;410.579
A;542.105;509.158;515.158;554.158;541.0;521.579;531.263;526.0;529.789;566.368;569.211;550.421;526.737;534.474;561.0;525.0;571.526;522.211;589.158;568.632;587.579;565.632;595.316;599.737;578.684;612.632;616.421;619.895;666.105;661.632;654.474;611.053;664.737;635.0;656.789;623.737;676.737;639.895;587.263;584.526;570.737;581.895;572.684;545.842;532.632;525.895;532.632;478.947;495.526;519.316;497.842;457.105;466.0;406.316;462.947;431.263;414.526;415.684;412.895;421.737;431.474;443.474
A;542.105;572.105;581.105;555.632;540.579;529.526;541.579;553.789;556.684;547.421;577.158;559.053;563.842;550.789;608.0;577.684;591.211;607.316;625.789;643.263;622.0;598.0;640.789;666.474;644.211;646.421;658.684;648.895;672.053;688.158;682.632;667.684;648.158;651.0;649.105;635.579;647.474;638.947;646.316;595.263;576.316;576.526;586.632;562.474;524.263;524.526;522.632;516.368;497.737;505.789;493.368;487.211;473.0;460.684;483.263;472.526;464.474;463.737;450.316;442.105;465.316;454.579
A;537.895;527.0;514.684;530.105;548.737;558.684;558.684;547.421;549.316;565.895;570.421;559.368;570.737;561.053;580.0;591.368;614.368;602.684;602.368;602.263;608.158;650.789;683.263;661.053;641.158;653.895;674.526;685.263;671.474;688.947;648.842;619.263;647.526;657.0;623.842;656.895;619.737;612.0;629.684;584.0;571.368;572.211;576.421;556.053;535.947;549.526;544.789;526.316;488.0;482.947;458.632;479.0;443.0;458.158;479.579;461.789;448.526;448.211;448.316;445.474;434.158;427.526
A;533.316;508.263;486.158;496.053;488.053;487.105;511.316;524.421;527.579;523.263;534.421;521.316;525.421;545.684;540.0;525.947;508.368;523.0;547.632;577.632;567.842;556.947;587.474;611.526;567.316;554.421;582.421;586.0;596.211;634.368;592.474;594.632;614.947;591.0;602.105;606.316;620.158;599.526;626.632;580.632;565.211;556.579;526.789;528.895;530.474;531.737;520.737;518.947;487.632;476.474;495.684;444.947;420.0;429.474;454.158;451.947;425.737;431.526;425.053;408.0;415.474;420.211
A;545.263;547.0;515.105;500.579;481.0;473.895;498.632;525.211;540.053;544.053;554.474;526.842;513.053;536.474;491.0;524.158;528.684;558.474;543.474;529.158;586.211;587.474;555.789;565.579;575.053;577.895;602.895;606.684;589.579;592.842;636.263;608.053;585.421;629.0;617.632;593.737;590.158;607.368;563.368;545.316;570.263;553.158;545.789;527.789;513.053;533.526;506.368;477.158;475.789;486.053;465.316;467.368;456.0;466.0;439.0;413.0;442.0;437.0;438.0;449.0;417.0;385.0
A;532.368;519.526;518.842;502.0;504.105;506.211;533.789;512.737;517.842;518.158;500.0;541.474;541.947;539.105;529.0;555.526;551.632;538.368;539.947;560.158;518.421;559.158;569.368;564.211;568.474;592.263;616.632;588.842;605.632;604.053;623.474;622.0;587.632;581.0;608.474;599.263;569.368;584.526;599.579;586.579;538.579;554.947;556.632;523.0;532.789;538.263;488.053;466.842;490.0;501.211;480.474;473.263;424.0;438.211;454.211;424.0;435.368;420.105;434.895;419.105;426.0;418.842
A;521.842;537.316;522.158;552.842;567.158;544.895;542.474;546.684;542.895;541.474;527.053;534.474;556.263;581.421;535.0;556.789;562.474;576.474;572.684;580.579;617.526;655.105;637.895;630.737;642.105;621.053;599.053;613.895;623.368;609.158;633.789;625.368;654.211;658.0;637.158;607.368;616.632;611.895;610.737;604.158;596.579;589.947;591.737;570.895;548.053;535.842;510.579;513.053;479.895;505.316;521.105;503.0;467.0;496.0;473.0;484.0;439.0;450.0;427.0;427.0;445.0;439.0
A;530.158;568.737;562.105;518.053;521.737;550.158;554.053;545.579;521.895;497.0;521.421;514.947;558.211;608.579;565.0;512.632;560.0;560.947;569.368;587.263;598.842;577.632;582.474;637.211;630.368;623.895;620.105;611.316;606.579;646.053;645.211;671.632;682.579;665.0;664.105;676.0;608.632;627.158;667.684;617.263;615.105;628.579;622.316;617.579;596.421;572.421;598.105;565.579;571.105;529.842;528.158;510.053;505.0;494.737;473.368;486.737;485.895;455.368;461.789;442.789;466.789;451.158
