Shap;Permutation;LRC_perturbation;LRC_covariance
Ag La;Ag ka;Ag La;Ag La
Ag ka;Ag La;Ag Lb;Ag Lb
Ag Lb;Ag Lb;Ag ka;Ag ka
Ag compton;Zn;Ag compton;Bremsstrahlung
Bremsstrahlung;Bremsstrahlung;Zn;Ag compton
Zn;Ag compton;Fe;Ca
Fe;Fe;Bremsstrahlung;Cu
Cu;Cu;Ca;background
Ca;Ca;background;Fe
background;background;Cu;Zn
;;;
