Method_1;Method_2;RBO_Score
Shap;Permutation;0.94273367697
Permutation;LRC_covariance;0.9244397799733334
Shap;LRC_covariance;0.91579806876
Permutation;LRC_perturbation;0.8597887747666666
Shap;LRC_perturbation;0.8326915769700001
LRC_perturbation;LRC_covariance;0.8163192803066668
