energy;Mean_Abs_SHAP;Zone
12.6;0.0;sum Fe
12.74;0.0;sum Fe
12.62;0.0;sum Fe
12.64;0.0;sum Fe
12.66;0.0;sum Fe
12.68;0.0;sum Fe
12.7;0.0;sum Fe
12.52;0.0;background3
10.56;0.0;background2
10.58;0.0;background2
10.6;0.0;background2
10.62;0.0;background2
10.64;0.0;background2
10.66;0.0;background2
10.68;0.0;background2
10.7;0.0;Fe ka + Ti ka
11.62;0.0;background3
10.74;0.0;Fe ka + Ti ka
10.76;0.0;Fe ka + Ti ka
10.78;0.0;Fe ka + Ti ka
10.8;0.0;Fe ka + Ti ka
10.82;0.0;Fe ka + Ti ka
10.84;0.0;Fe ka + Ti ka
10.86;0.0;Fe ka + Ti ka
10.88;0.0;Fe ka + Ti ka
10.72;0.0;Fe ka + Ti ka
10.2;0.0;background2
10.22;0.0;background2
10.24;0.0;background2
10.26;0.0;background2
10.28;0.0;background2
10.3;0.0;background2
10.32;0.0;background2
10.34;0.0;background2
10.54;0.0;background2
10.38;0.0;background2
10.4;0.0;background2
10.42;0.0;background2
10.54;0.0;background2
7.78;0.0;background1
10.44;0.0;background2
10.46;0.0;background2
10.48;0.0;background2
10.5;0.0;background2
10.52;0.0;background2
10.36;0.0;background2
11.28;0.0;background3
11.3;0.0;background3
11.32;0.0;background3
11.34;0.0;background3
11.36;0.0;background3
11.38;0.0;background3
11.4;0.0;background3
11.42;0.0;background3
10.9;0.0;Fe ka + Ti ka
11.46;0.0;background3
11.48;0.0;background3
11.5;0.0;background3
11.32;0.0;background3
11.52;0.0;background3
11.54;0.0;background3
11.56;0.0;background3
11.58;0.0;background3
11.6;0.0;background3
11.44;0.0;background3
10.92;0.0;Fe ka + Ti ka
10.94;0.0;Fe ka + Ti ka
10.96;0.0;Fe ka + Ti ka
10.98;0.0;Fe ka + Ti ka
11.12;0.0;Fe ka + Ti ka
11.0;0.0;Fe ka + Ti ka
11.02;0.0;Fe ka + Ti ka
11.04;0.0;Fe ka + Ti ka
11.06;0.0;Fe ka + Ti ka
11.26;0.0;background3
11.1;0.0;Fe ka + Ti ka
11.12;0.0;Fe ka + Ti ka
11.14;0.0;background3
11.28;0.0;background3
11.16;0.0;background3
11.18;0.0;background3
11.2;0.0;background3
11.22;0.0;background3
11.24;0.0;background3
11.08;0.0;Fe ka + Ti ka
3.5;0.0;K
3.48;0.0;K
3.46;0.0;K
3.44;0.0;K
3.42;0.0;K
3.4;0.0;K
3.38;0.0;K
3.36;0.0;K
3.34;0.0;K
3.28;0.0;K
3.26;0.0;K
3.24;0.0;K
3.22;0.0;K
3.2;0.0;Rh L + Ar
3.18;0.0;Rh L + Ar
7.2;0.0;Fe kb
2.84;0.0;Rh L + Ar
2.86;0.0;Rh L + Ar
2.88;0.0;Rh L + Ar
2.9;0.0;Rh L + Ar
2.92;0.0;Rh L + Ar
2.94;0.0;Rh L + Ar
2.96;0.0;Rh L + Ar
3.16;0.0;Rh L + Ar
3.0;0.0;Rh L + Ar
3.02;0.0;Rh L + Ar
3.04;0.0;Rh L + Ar
3.06;0.0;Rh L + Ar
3.08;0.0;Rh L + Ar
3.1;0.0;Rh L + Ar
3.12;0.0;Rh L + Ar
3.14;0.0;Rh L + Ar
2.98;0.0;Rh L + Ar
4.08;0.0;Ca kb
4.1;0.0;Ca kb
4.12;0.0;Ca kb
4.14;0.0;Ca kb
4.16;0.0;Ca kb
4.18;0.0;Ca kb
4.2;0.0;Ca kb
3.52;0.0;K
4.24;0.0;Ca kb
4.26;0.0;Ca kb
4.28;0.0;Ca kb
4.3;0.0;Ca kb
4.32;0.0;Ca kb
4.34;0.0;Ca kb
4.36;0.0;Ca kb
4.38;0.0;Ti ka
4.22;0.0;Ca kb
3.54;0.0;Ca ka
3.56;0.0;Ca ka
3.58;0.0;Ca ka
3.8;0.0;Ca ka
3.82;0.0;Ca ka
3.84;0.0;Ca kb
3.86;0.0;Ca kb
4.06;0.0;Ca kb
3.9;0.0;Ca kb
3.92;0.0;Ca kb
3.94;0.0;Ca kb
3.96;0.0;Ca kb
3.98;0.0;Ca kb
4.0;0.0;Ca kb
4.02;0.0;Ca kb
4.04;0.0;Ca kb
3.88;0.0;Ca kb
1.66;0.0;Si
1.32;0.0;
1.84;0.0;Si
1.86;0.0;P
1.88;0.0;P
1.9;0.0;P
1.92;0.0;P
2.82;0.0;Rh L + Ar
1.96;0.0;P
1.98;0.0;P
2.0;0.0;P
2.04;0.0;P
2.06;0.0;P
2.08;0.0;P
2.1;0.0;P
2.12;0.0;P
1.94;0.0;P
1.36;0.0;Al
1.38;0.0;Al
1.4;0.0;Al
1.42;0.0;Al
1.44;0.0;Al
1.46;0.0;Al
1.48;0.0;Al
1.64;0.0;Si
1.52;0.0;Al
1.54;0.0;Al
1.56;0.0;Al
1.58;0.0;Al
11.98;0.0;background3
2.22;0.0;S
1.6;0.0;Al
1.62;0.0;Al
1.5;0.0;Al
2.5;0.0;S
2.52;0.0;S
2.54;0.0;S
2.56;0.0;Rh L + Ar
2.58;0.0;Rh L + Ar
2.6;0.0;Rh L + Ar
2.62;0.0;Rh L + Ar
2.14;0.0;P
2.66;0.0;Rh L + Ar
2.68;0.0;Rh L + Ar
2.7;0.0;Rh L + Ar
