Class;3.93;3.96;3.98;4.01;4.03;4.06;4.09;4.11;4.14;4.16;4.19;4.21;4.24
A;6.0;9.0;9.0;9.0;10.0;19.0;6.0;2.0;4.0;9.0;5.0;7.0;7.0
A;6.0;8.0;12.0;8.0;11.0;8.0;8.0;5.0;4.0;11.0;6.0;10.0;4.0
A;11.0;11.0;16.0;30.0;23.0;17.0;10.0;13.0;12.0;9.0;7.0;9.0;8.0
A;14.0;16.0;21.0;17.0;15.0;24.0;15.0;16.0;15.0;8.0;6.0;17.0;6.0
A;7.0;7.0;8.0;4.0;6.0;9.0;5.0;8.0;10.0;9.0;12.0;7.0;11.0
A;11.0;12.0;13.0;19.0;12.0;19.0;12.0;12.0;8.0;5.0;8.0;10.0;3.0
A;8.0;5.0;5.0;7.0;7.0;9.0;12.0;7.0;10.0;4.0;3.0;3.0;6.0
A;17.0;17.0;21.0;29.0;22.0;28.0;19.0;20.0;14.0;7.0;7.0;11.0;9.0
A;6.0;17.0;21.0;23.0;28.0;23.0;20.0;19.0;22.0;16.0;8.0;7.0;7.0
A;7.0;15.0;17.0;21.0;20.0;15.0;12.0;13.0;12.0;12.0;7.0;13.0;10.0
A;6.0;7.0;8.0;3.0;4.0;8.0;6.0;6.0;8.0;6.0;7.0;7.0;4.0
A;11.0;10.0;20.0;14.0;22.0;19.0;26.0;18.0;13.0;8.0;4.0;6.0;4.0
A;15.0;6.0;12.0;15.0;8.0;8.0;7.0;5.0;5.0;5.0;9.0;11.0;3.0
A;16.0;13.0;17.0;17.0;20.0;19.0;11.0;7.0;14.0;10.0;6.0;6.0;10.0
A;9.0;13.0;17.0;18.0;13.0;21.0;13.0;15.0;11.0;5.0;7.0;7.0;2.0
A;13.0;5.0;7.0;14.0;6.0;11.0;11.0;8.0;7.0;7.0;2.0;7.0;7.0
A;12.0;7.0;16.0;12.0;11.0;8.0;10.0;9.0;2.0;10.0;9.0;5.0;4.0
A;5.0;6.0;9.0;13.0;22.0;20.0;9.0;15.0;6.0;9.0;14.0;8.0;10.0
A;8.0;4.0;11.0;10.0;8.0;10.0;6.0;10.0;10.0;5.0;4.0;6.0;5.0
A;8.0;21.0;15.0;21.0;11.0;20.0;14.0;20.0;11.0;7.0;12.0;13.0;9.0
A;11.0;9.0;9.0;1.0;16.0;8.0;5.0;10.0;6.0;6.0;8.0;7.0;11.0
