Class;6.15;6.17;6.2;6.23;6.25;6.28;6.3;6.33;6.35;6.38;6.4;6.43;6.46;6.48;6.51;6.53;6.56;6.58;6.61;6.63;6.66;6.68;6.71;6.74;6.76
A;5.0;5.0;5.0;6.0;12.0;7.0;9.0;8.0;17.0;14.0;16.0;21.0;26.0;24.0;17.0;16.0;10.0;7.0;9.0;5.0;4.0;10.0;9.0;11.0;8.0
A;8.0;3.0;4.0;8.0;4.0;6.0;10.0;11.0;11.0;15.0;16.0;22.0;25.0;11.0;7.0;6.0;8.0;4.0;6.0;4.0;4.0;6.0;11.0;7.0;14.0
A;10.0;1.0;6.0;7.0;6.0;5.0;13.0;10.0;14.0;17.0;18.0;16.0;19.0;17.0;13.0;8.0;10.0;5.0;9.0;2.0;9.0;5.0;11.0;9.0;8.0
A;4.0;8.0;8.0;6.0;8.0;6.0;8.0;19.0;14.0;27.0;26.0;31.0;22.0;22.0;11.0;14.0;7.0;9.0;5.0;6.0;7.0;11.0;11.0;4.0;4.0
A;4.0;9.0;10.0;7.0;5.0;8.0;10.0;10.0;11.0;14.0;18.0;15.0;20.0;14.0;17.0;7.0;5.0;10.0;10.0;7.0;5.0;6.0;11.0;7.0;8.0
A;8.0;5.0;3.0;9.0;13.0;8.0;8.0;10.0;17.0;13.0;19.0;25.0;17.0;27.0;17.0;13.0;5.0;5.0;4.0;8.0;9.0;5.0;7.0;11.0;4.0
A;8.0;4.0;5.0;7.0;8.0;5.0;12.0;9.0;10.0;12.0;24.0;13.0;17.0;21.0;13.0;5.0;8.0;8.0;8.0;6.0;9.0;10.0;8.0;6.0;5.0
A;10.0;15.0;7.0;5.0;5.0;11.0;10.0;8.0;13.0;23.0;12.0;20.0;17.0;17.0;8.0;13.0;7.0;11.0;17.0;7.0;9.0;11.0;8.0;6.0;4.0
A;10.0;8.0;6.0;8.0;11.0;5.0;9.0;8.0;17.0;22.0;17.0;19.0;26.0;24.0;18.0;15.0;10.0;13.0;11.0;4.0;12.0;9.0;8.0;8.0;2.0
