Class;3.5;3.52;3.55;3.58;3.6;3.63;3.65;3.68;3.7;3.73;3.75;3.78;3.81;3.83;3.86;3.88;3.91
A;25.0;11.0;7.0;16.0;10.0;12.0;17.0;12.0;14.0;17.0;14.0;10.0;12.0;14.0;13.0;8.0;11.0
A;17.0;19.0;13.0;14.0;9.0;12.0;11.0;12.0;11.0;23.0;19.0;16.0;13.0;16.0;17.0;13.0;8.0
A;15.0;20.0;15.0;15.0;23.0;26.0;48.0;56.0;69.0;79.0;61.0;53.0;44.0;32.0;18.0;8.0;6.0
A;22.0;17.0;16.0;21.0;17.0;34.0;53.0;68.0;89.0;91.0;68.0;59.0;49.0;16.0;16.0;13.0;6.0
A;17.0;18.0;17.0;12.0;16.0;13.0;11.0;10.0;11.0;21.0;15.0;22.0;17.0;10.0;6.0;7.0;5.0
A;18.0;18.0;23.0;19.0;33.0;33.0;45.0;77.0;104.0;86.0;83.0;65.0;45.0;25.0;11.0;16.0;16.0
A;15.0;14.0;19.0;16.0;18.0;13.0;12.0;16.0;26.0;41.0;42.0;24.0;32.0;13.0;12.0;8.0;7.0
A;21.0;17.0;12.0;14.0;26.0;49.0;85.0;133.0;149.0;143.0;137.0;88.0;60.0;37.0;19.0;14.0;9.0
A;19.0;19.0;18.0;21.0;30.0;59.0;80.0;124.0;136.0;157.0;129.0;101.0;58.0;43.0;14.0;13.0;19.0
A;22.0;11.0;25.0;23.0;21.0;41.0;48.0;65.0;89.0;94.0;61.0;47.0;26.0;14.0;14.0;11.0;13.0
A;21.0;11.0;9.0;8.0;15.0;4.0;14.0;10.0;16.0;10.0;11.0;19.0;16.0;7.0;11.0;7.0;4.0
A;19.0;16.0;18.0;33.0;35.0;35.0;69.0;111.0;143.0;106.0;106.0;87.0;44.0;27.0;21.0;7.0;9.0
A;17.0;12.0;18.0;12.0;17.0;13.0;16.0;15.0;18.0;22.0;27.0;19.0;15.0;9.0;13.0;9.0;10.0
A;18.0;7.0;13.0;11.0;35.0;32.0;61.0;81.0;95.0;79.0;85.0;56.0;40.0;29.0;19.0;12.0;7.0
A;13.0;14.0;17.0;24.0;36.0;43.0;75.0;86.0;101.0;116.0;86.0;77.0;44.0;23.0;16.0;13.0;10.0
A;16.0;11.0;18.0;10.0;17.0;10.0;18.0;21.0;17.0;22.0;25.0;15.0;15.0;10.0;10.0;10.0;8.0
A;18.0;16.0;16.0;20.0;14.0;10.0;25.0;26.0;25.0;21.0;32.0;20.0;25.0;10.0;13.0;10.0;13.0
A;17.0;19.0;21.0;20.0;22.0;37.0;52.0;66.0;97.0;83.0;79.0;68.0;41.0;20.0;10.0;7.0;8.0
A;18.0;16.0;17.0;12.0;10.0;18.0;19.0;11.0;24.0;13.0;26.0;16.0;14.0;18.0;12.0;8.0;6.0
A;15.0;16.0;20.0;18.0;23.0;20.0;63.0;90.0;81.0;94.0;92.0;52.0;46.0;21.0;12.0;9.0;11.0
A;17.0;13.0;15.0;7.0;20.0;8.0;18.0;13.0;16.0;14.0;23.0;17.0;14.0;20.0;16.0;6.0;9.0
A;12.0;25.0;15.0;23.0;15.0;27.0;55.0;78.0;78.0;101.0;99.0;75.0;39.0;29.0;14.0;13.0;13.0
A;17.0;20.0;16.0;14.0;9.0;9.0;16.0;13.0;11.0;17.0;18.0;24.0;12.0;8.0;8.0;12.0;6.0
