Class;5.78;5.8;5.82;5.84;5.86;5.88;5.9;5.92;5.94;5.96;5.98;6;6.02;6.04;6.06;6.08;6.1;6.12
A;2.015;2.385;3.01;3.565;4.405;4.935;5.235;5.095;4.76;4.085;3.495;2.88;2.515;2.28;2.38;2.415;2.545;2.53
A;1.94;2.19;2.575;3.195;3.795;4.06;4.585;4.53;4.095;3.67;3.19;2.575;2.23;2.245;2.04;2.075;2.435;2.44
A;2.065;2.47;3.255;4.17;5.075;5.61;6.09;6.04;5.6;4.52;3.835;3.225;2.585;2.34;2.205;2.255;2.39;2.515
A;1.895;2.105;2.31;2.93;3.43;3.795;4.125;4.065;3.625;3.385;2.95;2.535;2.38;2.24;2.19;2.075;2.265;2.325
A;2.105;2.34;2.8;3.44;4.33;4.505;4.8;4.495;4.14;3.51;3.125;2.595;2.36;2.065;2.065;2.215;2.33;2.5
A;2.02;2.33;2.755;3.36;3.82;4.2;4.445;4.28;3.96;3.485;2.935;2.525;2.285;2.325;2.095;2.28;2.35;2.54
A;1.98;2.25;2.58;3.33;3.845;4.215;4.555;4.52;4.135;3.74;3.07;2.8;2.485;2.33;2.345;2.39;2.435;2.575
A;1.975;2.27;2.77;3.29;4.06;4.53;4.805;4.96;4.405;3.94;3.32;2.92;2.53;2.345;2.25;2.29;2.565;2.495
A;1.93;2.155;2.47;3.06;3.625;4.1;4.37;4.415;4.1;3.785;3.205;2.745;2.48;2.3;2.13;2.275;2.475;2.48
A;2.0;2.325;2.895;3.69;4.485;5.09;5.4;5.06;4.94;4.065;3.46;2.805;2.53;2.275;2.205;2.21;2.34;2.355
A;1.82;2.245;2.495;3.375;3.675;4.225;4.5;4.65;4.27;3.705;3.06;2.67;2.37;2.285;2.265;2.14;2.3;2.44
A;1.935;2.23;2.68;3.37;4.145;4.72;4.94;5.05;4.465;3.945;3.415;2.835;2.33;2.14;2.16;2.22;2.18;2.26
A;2.025;2.6;3.21;4.19;5.045;5.99;6.09;6.185;5.49;4.86;3.91;3.115;2.62;2.295;2.275;2.415;2.335;2.47
A;1.98;2.22;2.605;3.145;3.755;4.275;4.35;4.345;3.925;3.57;3.165;2.56;2.54;2.225;2.225;2.29;2.485;2.475
A;1.87;2.24;2.435;3.09;3.455;4.04;4.015;3.99;3.7;3.335;2.79;2.505;2.285;2.095;2.18;2.16;2.405;2.5
A;2.13;2.345;2.82;3.515;4.075;4.555;4.725;4.69;4.095;3.775;3.13;2.72;2.45;2.32;2.33;2.295;2.4;2.575
A;2.01;2.285;3.025;3.65;4.35;4.89;4.93;4.905;4.45;3.765;3.14;2.655;2.295;2.095;2.24;2.23;2.295;2.6
A;2.045;2.305;2.905;3.64;4.565;5.19;5.755;5.47;5.13;4.26;3.805;2.975;2.6;2.36;2.255;2.35;2.3;2.495
A;1.89;2.27;2.67;3.225;3.825;4.33;4.5;4.55;4.255;3.77;3.165;2.68;2.38;2.14;2.155;2.21;2.32;2.33
A;2.095;2.395;2.96;3.77;4.38;5.32;5.58;5.56;4.805;4.145;3.56;3.03;2.595;2.43;2.27;2.29;2.375;2.585
A;2.095;2.45;3.065;3.915;4.825;5.6;5.91;5.63;5.04;4.5;3.615;2.95;2.485;2.415;2.06;2.345;2.43;2.505
A;2.14;2.705;3.37;4.255;5.025;5.69;6.275;6.085;5.535;4.705;3.84;3.46;2.56;2.48;2.42;2.375;2.545;2.565
A;2.115;2.475;3.11;3.965;4.995;5.56;5.875;5.765;5.125;4.48;3.73;3.095;2.55;2.365;2.365;2.5;2.365;2.57
A;2.035;2.56;3.215;4.065;5.14;6.035;6.35;6.535;5.625;4.885;3.885;3.375;2.67;2.445;2.29;2.385;2.415;2.62
A;2.195;2.595;3.415;4.49;5.465;6.31;6.445;5.96;5.565;4.58;3.74;3.015;2.595;2.345;2.305;2.385;2.375;2.74
A;1.91;2.075;2.48;2.925;3.43;3.995;3.97;4.035;3.995;3.335;3.01;2.52;2.29;2.14;2.13;2.1;2.29;2.38
A;1.965;2.3;2.9;3.525;4.43;4.855;5.29;5.01;4.79;4.295;3.635;2.84;2.465;2.23;2.13;2.23;2.275;2.35
A;1.965;2.34;2.86;3.49;4.235;4.97;4.995;4.915;4.4;3.815;3.12;2.615;2.36;2.175;2.125;2.025;2.225;2.53
A;2.135;2.535;2.97;3.855;4.8;5.355;5.535;5.42;4.97;4.405;3.59;3.0;2.66;2.275;2.26;2.27;2.4;2.575
A;1.895;2.125;2.345;3.01;3.51;3.965;4.4;4.045;3.84;3.645;3.06;2.605;2.32;2.165;2.255;2.19;2.34;2.41
A;2.105;2.625;3.41;4.255;5.155;6.02;6.54;6.28;5.915;4.945;3.985;3.155;2.76;2.34;2.275;2.155;2.51;2.445
A;2.065;2.455;3.04;3.665;4.535;5.095;5.38;5.1;4.49;3.84;3.08;2.62;2.26;2.205;2.165;2.155;2.19;2.34
A;1.875;2.215;2.55;3.135;3.86;4.065;4.46;4.15;3.765;3.345;2.875;2.485;2.22;2.17;2.15;2.21;2.34;2.51
A;2.22;2.95;3.84;4.77;5.93;7.1;7.32;7.26;6.61;5.5;4.63;3.52;2.82;2.55;2.24;2.33;2.39;2.65
A;1.725;2.06;2.46;2.99;3.345;3.825;4.125;4.085;3.805;3.535;2.975;2.62;2.38;2.23;2.255;2.13;2.285;2.435
A;2.05;2.34;2.6;3.12;3.9;4.17;4.81;4.32;4.01;3.48;2.85;2.64;2.39;2.15;2.09;2.25;2.46;2.5
A;2.06;2.32;2.86;3.585;4.36;4.93;5.39;5.01;4.595;4.1;3.43;2.875;2.49;2.295;2.295;2.31;2.3;2.495
A;1.9;2.12;2.79;3.65;4.14;4.77;5.24;5.1;4.54;4.04;3.41;2.96;2.46;2.14;2.12;2.22;2.32;2.43
A;1.9;2.17;2.605;3.185;3.585;4.03;4.15;4.45;3.89;3.72;3.11;2.675;2.405;2.27;2.11;2.275;2.39;2.53
A;2.21;2.62;3.19;3.93;4.89;5.62;5.84;5.71;5.5;4.72;3.7;3.2;2.64;2.37;2.22;2.32;2.41;2.98
A;2.02;2.37;3.03;3.6;4.25;5.43;5.74;5.41;4.82;4.53;3.62;3.15;2.56;2.24;2.15;2.25;2.33;2.54
A;1.77;1.91;2.18;2.53;2.8;3.18;3.3;3.22;3.22;3.11;2.66;2.29;2.21;1.92;2.04;2.14;2.33;2.42
A;1.94;2.18;2.63;2.96;3.41;3.6;4.11;3.97;3.63;3.15;2.94;2.57;2.27;2.19;2.14;2.4;2.52;2.65
A;1.93;2.21;2.77;3.12;3.63;4.32;4.38;4.12;4.16;3.46;3.07;2.72;2.39;2.19;2.1;2.35;2.55;2.56
A;2.15;2.26;2.64;3.08;3.66;4.06;4.6;4.1;3.75;3.39;2.94;2.75;2.37;2.33;2.2;2.26;2.54;2.66
A;2.055;2.445;3.31;4.07;5.005;5.825;6.2;6.13;5.29;4.78;3.87;3.135;2.62;2.285;2.18;2.21;2.375;2.325
A;1.775;2.155;2.4;3.06;3.45;3.85;4.12;3.855;3.72;3.34;2.775;2.47;2.25;2.18;2.06;2.265;2.27;2.435
A;2.1;2.42;3.355;3.92;4.825;5.485;5.67;5.58;4.81;4.11;3.495;2.815;2.53;2.43;2.215;2.345;2.53;2.565
A;1.86;2.21;2.6;3.01;3.74;4.4;4.4;4.6;4.2;3.58;3.09;2.74;2.32;2.22;2.27;2.05;2.27;2.52
A;1.9;2.11;2.41;2.94;3.29;3.74;4.05;3.9;3.55;3.18;2.91;2.38;2.52;2.23;2.27;2.28;2.59;2.53
A;2.06;2.53;3.24;4.05;4.62;5.37;5.71;5.99;5.36;4.38;3.56;3.06;2.67;2.36;2.17;2.37;2.33;2.61
A;2.15;2.44;2.86;2.9;3.86;4.27;4.63;4.28;3.8;3.37;2.84;2.37;2.43;2.05;2.13;2.33;2.33;2.52
A;2.005;2.335;3.11;3.835;4.765;5.045;5.625;5.415;5.0;4.045;3.29;2.685;2.515;2.14;2.065;2.09;2.07;2.35
A;1.75;2.01;2.54;2.89;3.44;4.03;3.93;3.88;3.71;3.23;2.95;2.54;2.33;2.1;2.35;2.14;2.54;2.38
A;1.92;2.095;2.485;2.94;3.37;3.91;3.93;3.915;3.715;3.375;2.85;2.39;2.305;2.23;2.315;2.25;2.37;2.435
A;1.71;1.95;2.17;2.44;2.85;3.28;3.28;3.27;2.93;2.87;2.51;2.47;2.18;2.22;2.11;2.25;2.28;2.42
A;2.08;2.32;2.84;3.3;4.01;4.18;4.34;4.38;4.09;3.7;3.02;2.72;2.34;2.27;2.21;2.24;2.44;2.78
A;1.77;2.22;2.71;3.04;3.77;4.45;4.77;4.74;4.31;3.73;3.23;2.58;2.34;2.26;2.3;2.41;2.34;2.7
A;2.0;2.21;2.82;3.46;4.39;4.82;5.28;5.13;4.72;4.14;3.57;2.87;2.46;2.17;2.22;2.32;2.41;2.32
A;1.83;2.14;2.85;3.13;3.85;4.26;4.62;4.39;4.15;3.62;2.87;2.58;2.34;2.14;2.19;2.12;2.15;2.45
A;1.79;2.19;2.43;3.24;3.67;4.29;4.76;4.6;4.23;3.57;3.1;2.84;2.42;2.29;2.29;2.36;2.46;2.59
A;1.965;2.425;2.8;3.495;4.18;4.73;4.61;4.59;4.205;3.52;3.005;2.505;2.345;2.29;2.145;2.19;2.34;2.595
A;1.86;2.26;2.9;3.43;4.34;4.8;5.21;5.16;4.33;3.58;3.32;2.84;2.35;2.21;2.21;2.26;2.37;2.6
A;1.84;2.18;2.4;2.81;3.3;3.8;3.93;3.96;3.63;3.2;2.79;2.52;2.22;2.26;2.2;2.28;2.39;2.36
A;1.92;2.2;2.7;3.15;3.91;4.26;4.69;4.34;3.85;3.39;2.92;2.68;2.38;2.3;2.35;2.21;2.37;2.57
A;2.3;2.65;3.54;4.6;5.92;6.81;7.49;7.1;6.24;5.37;4.37;3.43;2.84;2.39;2.33;2.27;2.44;2.63
A;1.81;2.07;2.55;3.03;3.55;3.75;4.31;3.89;3.94;3.34;2.99;2.53;2.14;2.25;2.46;2.18;2.45;2.66
A;2.22;2.625;3.345;4.275;5.065;5.92;6.175;6.3;5.865;4.91;3.98;3.245;2.685;2.525;2.37;2.485;2.605;2.615
A;1.76;2.12;2.68;3.08;3.67;4.08;4.25;4.09;4.08;3.37;2.87;2.41;2.15;2.23;2.1;2.2;2.33;2.38
A;1.91;1.99;2.42;3.13;3.44;3.8;3.74;3.86;3.63;3.22;3.1;2.76;2.44;2.37;2.42;2.31;2.46;2.54
A;1.78;2.18;2.47;2.79;3.5;3.81;3.77;3.96;3.59;3.14;2.93;2.38;2.32;2.17;2.07;2.11;2.43;2.4
A;1.92;2.05;2.26;2.69;3.25;4.0;3.85;3.91;3.95;3.32;2.89;2.56;2.3;1.98;2.13;2.03;2.05;2.48
A;1.87;2.32;2.65;3.34;4.21;4.745;5.3;5.06;4.73;4.05;3.545;2.8;2.335;2.065;1.97;2.175;2.235;2.22
A;2.15;2.26;2.88;3.41;4.48;4.66;4.97;4.72;4.5;3.54;2.96;2.55;2.36;2.38;2.27;2.38;2.47;2.61
A;2.195;2.565;3.24;4.135;5.15;5.765;6.205;6.285;5.855;4.79;4.045;3.235;2.755;2.485;2.345;2.495;2.345;2.655
A;1.68;2.0;2.17;2.58;2.79;2.98;3.51;3.29;3.05;2.53;2.54;2.31;2.24;2.13;2.07;2.13;2.26;2.32
A;1.86;2.205;2.625;2.89;3.835;4.23;4.285;4.48;4.145;3.61;3.165;2.595;2.24;2.16;2.09;2.23;2.215;2.45
B;1.915;2.0;2.47;2.8;3.135;3.86;4.055;4.12;3.6;3.355;3.005;2.62;2.465;2.295;2.05;2.25;2.295;2.535
B;1.965;2.305;2.58;3.325;3.81;4.35;4.555;4.33;4.16;3.49;2.995;2.59;2.355;2.1;2.315;2.3;2.29;2.53
B;1.79;2.04;2.54;3.045;3.515;3.895;4.46;4.21;4.025;3.575;2.94;2.515;2.415;2.205;2.19;2.175;2.205;2.415
B;1.96;2.245;2.61;3.2;3.37;3.89;4.235;4.1;3.665;3.35;2.695;2.625;2.22;2.17;2.17;2.31;2.45;2.645
B;1.85;2.165;2.665;3.06;3.685;4.2;4.335;4.265;3.945;3.61;2.895;2.545;2.47;2.225;2.185;2.315;2.425;2.43
B;1.87;2.08;2.41;2.92;3.255;3.68;3.805;3.87;3.43;3.25;2.71;2.465;2.32;2.27;2.35;2.335;2.365;2.53
B;1.86;2.06;2.495;3.1;3.645;4.335;4.455;4.26;4.025;3.68;3.16;2.81;2.455;2.365;2.165;2.225;2.51;2.475
B;1.995;2.105;2.46;2.93;3.49;3.915;4.28;4.115;3.855;3.455;3.06;2.62;2.4;2.19;2.12;2.285;2.37;2.425
B;1.83;2.075;2.445;3.08;3.72;4.035;4.575;4.44;4.075;3.62;3.175;2.69;2.245;2.285;2.155;2.385;2.32;2.43
B;1.92;2.145;2.58;2.94;3.62;4.18;4.185;4.31;4.085;3.655;3.025;2.705;2.455;2.285;2.255;2.375;2.45;2.51
B;1.905;2.055;2.475;2.905;3.365;3.875;4.06;3.99;3.61;3.31;2.94;2.565;2.255;2.23;2.17;2.21;2.365;2.56
B;1.85;2.145;2.82;3.17;3.785;4.215;4.49;4.49;4.15;3.59;3.01;2.71;2.48;2.27;2.295;2.295;2.325;2.535
B;1.99;2.215;2.495;2.975;3.46;3.91;4.1;4.245;3.815;3.51;3.01;2.555;2.27;2.21;2.265;2.155;2.355;2.48
B;2.16;2.49;3.26;3.845;4.865;5.795;5.685;5.7;5.19;4.38;3.785;3.275;2.64;2.435;2.45;2.445;2.48;2.675
B;1.975;2.385;3.035;3.655;4.48;5.08;5.42;5.2;4.795;4.05;3.47;2.88;2.53;2.33;2.17;2.255;2.32;2.43
B;1.8;2.06;2.37;2.805;3.23;3.735;3.82;3.815;3.685;3.16;2.91;2.505;2.15;2.24;2.125;2.105;2.24;2.45
B;2.05;2.36;2.755;3.255;3.765;4.44;4.565;4.57;4.04;3.6;2.94;2.635;2.375;2.27;2.21;2.205;2.56;2.715
B;1.835;2.105;2.5;2.94;3.415;3.915;4.105;4.135;3.88;3.575;3.08;2.765;2.5;2.285;2.21;2.27;2.425;2.575
