Class;5.7;5.72;5.74;5.76;5.78;5.8;5.82;5.84;5.86;5.88;5.9;5.92;5.94;5.96;5.98;6;6.02;6.04
A;0.0311;0.0286;0.0281;0.035;0.0303;0.035;0.0433;0.0364;0.0414;0.0339;0.0394;0.0372;0.0408;0.0356;0.04;0.0314;0.0308;0.0353
A;0.0318;0.0349;0.0279;0.0274;0.0262;0.0328;0.0354;0.0333;0.0354;0.04;0.0321;0.0392;0.0387;0.0277;0.0379;0.0431;0.031;0.0328
A;0.0242;0.0275;0.0261;0.0297;0.0275;0.0319;0.0369;0.0372;0.0369;0.0353;0.0356;0.0317;0.0356;0.0289;0.0339;0.0325;0.0389;0.0333
A;0.0286;0.0286;0.0317;0.0267;0.0261;0.0303;0.0369;0.0372;0.0336;0.0408;0.0358;0.0378;0.0333;0.0317;0.0328;0.0322;0.0333;0.0297
A;0.026;0.0318;0.0257;0.026;0.0293;0.0348;0.0297;0.0295;0.0398;0.0385;0.0432;0.0423;0.0365;0.0382;0.0377;0.0382;0.038;0.0313
A;0.0262;0.031;0.0283;0.0262;0.0267;0.0313;0.027;0.0375;0.0405;0.0357;0.0377;0.04;0.0362;0.0323;0.0362;0.0318;0.035;0.0338
A;0.0222;0.0294;0.0383;0.0342;0.0411;0.0414;0.0483;0.0483;0.0506;0.0461;0.0514;0.0428;0.0483;0.0419;0.0397;0.0411;0.04;0.0336
A;0.0273;0.0297;0.0198;0.0305;0.0278;0.0308;0.0365;0.034;0.031;0.0367;0.037;0.0365;0.0315;0.0375;0.036;0.0348;0.0323;0.0343
A;0.0222;0.0203;0.0286;0.0303;0.0265;0.0303;0.0308;0.03;0.0295;0.0349;0.033;0.033;0.0305;0.0303;0.0297;0.027;0.0316;0.0332
A;0.0331;0.0254;0.0286;0.032;0.0306;0.0383;0.0386;0.0277;0.044;0.0391;0.0386;0.0423;0.0371;0.032;0.0337;0.0386;0.0346;0.0331
A;0.0257;0.0322;0.0319;0.0338;0.0395;0.037;0.0403;0.0411;0.0432;0.0549;0.0492;0.043;0.0443;0.0381;0.0378;0.0365;0.0338;0.0381
A;0.0341;0.0285;0.03;0.0305;0.0346;0.0341;0.029;0.0364;0.0359;0.0351;0.0341;0.0346;0.0287;0.0397;0.0321;0.0387;0.0372;0.0415
A;0.0305;0.0323;0.031;0.0341;0.0277;0.0351;0.0382;0.0295;0.0418;0.0354;0.0346;0.0349;0.0331;0.0364;0.0395;0.0374;0.0379;0.0305
A;0.0334;0.0274;0.0326;0.0326;0.036;0.0283;0.0311;0.0409;0.0411;0.0426;0.0354;0.0383;0.0354;0.0369;0.042;0.0397;0.0403;0.034
B;0.0287;0.0249;0.0277;0.0285;0.031;0.031;0.0308;0.0328;0.0397;0.0344;0.0374;0.0374;0.0403;0.0351;0.0364;0.0395;0.0392;0.0367
B;0.0232;0.0227;0.0289;0.0303;0.0289;0.0357;0.0351;0.0378;0.0365;0.0354;0.0432;0.037;0.0349;0.0386;0.0346;0.0335;0.0349;0.0292
B;0.0265;0.026;0.0293;0.0295;0.0285;0.0343;0.034;0.0343;0.0328;0.031;0.034;0.0367;0.0403;0.034;0.0278;0.034;0.0288;0.0285
B;0.0265;0.026;0.0262;0.028;0.033;0.0302;0.033;0.0357;0.0323;0.0323;0.0343;0.0335;0.0335;0.0362;0.0325;0.033;0.039;0.0393
B;0.029;0.0254;0.0276;0.0332;0.032;0.0346;0.0368;0.0354;0.0361;0.0366;0.0332;0.0378;0.0334;0.0329;0.0395;0.0315;0.0359;0.0344
B;0.0262;0.0292;0.0243;0.0259;0.0243;0.0311;0.0338;0.0357;0.0376;0.0316;0.0365;0.0343;0.0268;0.0414;0.0386;0.0354;0.0376;0.0332
B;0.0338;0.0308;0.0295;0.0338;0.0303;0.0354;0.0357;0.0373;0.0381;0.0392;0.0384;0.0397;0.0362;0.0395;0.0346;0.04;0.0343;0.0359
B;0.03;0.0294;0.0325;0.0297;0.0306;0.0367;0.0347;0.0353;0.0347;0.0372;0.0364;0.0356;0.0339;0.0369;0.0356;0.0328;0.0303;0.035
B;0.0279;0.0277;0.0284;0.0235;0.0286;0.0253;0.0277;0.0284;0.0358;0.0309;0.0335;0.0293;0.0342;0.0365;0.0363;0.0314;0.0295;0.0293
B;0.0332;0.03;0.0286;0.0278;0.0319;0.0346;0.0357;0.0354;0.0397;0.0354;0.037;0.0359;0.0349;0.0349;0.037;0.0343;0.0368;0.033
B;0.0273;0.0268;0.0235;0.0351;0.0311;0.0378;0.0381;0.0343;0.0341;0.0316;0.0368;0.0322;0.0384;0.0332;0.0359;0.0341;0.0373;0.0316
B;0.0244;0.0241;0.0268;0.0251;0.0327;0.0298;0.0315;0.0356;0.0349;0.0339;0.0368;0.0337;0.0371;0.0354;0.0351;0.0317;0.0329;0.03
B;0.0286;0.0268;0.0276;0.0295;0.0324;0.0278;0.0327;0.0411;0.0335;0.0373;0.0343;0.0314;0.0384;0.0349;0.0397;0.0354;0.0319;0.0365
B;0.0246;0.0273;0.0281;0.0284;0.0292;0.0276;0.0289;0.0365;0.0397;0.0338;0.0276;0.0389;0.0346;0.0297;0.0276;0.0305;0.0357;0.0314
B;0.0257;0.0286;0.0319;0.0376;0.0381;0.0465;0.0546;0.0538;0.0616;0.0595;0.0589;0.053;0.0524;0.0465;0.0403;0.0365;0.0376;0.0373
B;0.0311;0.0311;0.0319;0.0303;0.0381;0.0365;0.0422;0.0443;0.0403;0.0459;0.0457;0.0414;0.0395;0.047;0.043;0.0411;0.0362;0.0368
B;0.0312;0.031;0.0249;0.0329;0.0351;0.0298;0.0315;0.0315;0.0324;0.0354;0.032;0.0351;0.0312;0.0359;0.0383;0.0361;0.0351;0.0334
B;0.0263;0.0197;0.025;0.0313;0.0297;0.0253;0.0342;0.0337;0.0374;0.0318;0.0292;0.0326;0.0353;0.0353;0.0376;0.0329;0.0271;0.0321
B;0.0277;0.0334;0.0283;0.0266;0.0306;0.0334;0.0349;0.0326;0.0383;0.0414;0.0343;0.0377;0.0409;0.0391;0.0346;0.034;0.0354;0.0343
B;0.03;0.0327;0.0314;0.033;0.0335;0.0362;0.033;0.0308;0.0381;0.0359;0.0351;0.0327;0.0341;0.0354;0.0378;0.0389;0.0316;0.0343
B;0.027;0.0268;0.0245;0.0253;0.0298;0.0317;0.0349;0.0345;0.0406;0.0357;0.0387;0.0364;0.0409;0.0294;0.0357;0.0319;0.036;0.0368
B;0.0303;0.0334;0.0375;0.0359;0.0419;0.0406;0.0453;0.0422;0.0441;0.0516;0.0459;0.0519;0.0434;0.0472;0.0384;0.0431;0.0416;0.0347
Multivariate_threshold|Mn > -0.005294;0.028204179252560226;0.02792700571995985;0.027882063893542627;0.02955279950848033;0.03028177557001427;0.03214887070414532;0.03386103708016413;0.0345563587487293;0.03666749550480675;0.03587142645680549;0.03567059834285122;0.035920743929641556;0.03535440369798614;0.03502217186548931;0.03566279681013292;0.034680686284686985;0.0344437752025348;0.033482353988327856
