Class;19.9;19.92;19.94;19.96;19.98;20;20.02;20.04;20.06;20.08;20.1;20.12;20.14;20.16;20.18;20.2;20.22;20.24;20.26;20.28;20.3;20.32;20.34;20.36;20.38;20.4;20.42;20.44;20.46;20.48;20.5;20.52;20.54;20.56;20.58;20.6;20.62;20.64;20.66;20.68;20.7;20.72;20.74;20.76;20.78;20.8
A;0.2589;0.2531;0.2839;0.2994;0.3211;0.3481;0.3733;0.4022;0.4564;0.4789;0.5275;0.5336;0.565;0.6078;0.6314;0.6108;0.605;0.5947;0.5503;0.5464;0.4925;0.4311;0.4269;0.3467;0.3044;0.2742;0.2311;0.2064;0.1883;0.1769;0.1781;0.1561;0.1578;0.1606;0.1694;0.1592;0.1519;0.1578;0.1622;0.1461;0.1611;0.1608;0.1575;0.1572;0.1578;0.1678
A;0.2546;0.2697;0.2818;0.2938;0.3185;0.3362;0.3718;0.4021;0.4433;0.4864;0.5241;0.5433;0.5908;0.5874;0.6192;0.6377;0.6277;0.5985;0.5559;0.5136;0.4923;0.4328;0.3897;0.3505;0.3038;0.2769;0.2297;0.1974;0.1926;0.1859;0.1687;0.1574;0.1687;0.1533;0.1528;0.1731;0.1556;0.1549;0.1677;0.1572;0.1564;0.1633;0.1638;0.1546;0.1613;0.1567
A;0.2639;0.2756;0.2906;0.2978;0.3064;0.3539;0.4144;0.4281;0.46;0.4983;0.5194;0.5567;0.6008;0.6297;0.6231;0.6375;0.6264;0.6161;0.5692;0.5375;0.4992;0.4681;0.4011;0.3631;0.3153;0.2814;0.2481;0.2217;0.195;0.1783;0.1675;0.1642;0.1711;0.1681;0.1667;0.1769;0.1556;0.1653;0.1625;0.1661;0.1744;0.1678;0.1683;0.1725;0.175;0.1586
A;0.2808;0.285;0.2756;0.3106;0.3319;0.3458;0.3919;0.4172;0.4686;0.4892;0.5417;0.565;0.6106;0.6253;0.6353;0.6297;0.6367;0.6253;0.5814;0.5614;0.4983;0.4189;0.4033;0.3486;0.3069;0.2547;0.2247;0.2039;0.1906;0.1769;0.1744;0.1683;0.1556;0.1597;0.1719;0.1489;0.1547;0.1617;0.1575;0.1614;0.16;0.1572;0.1631;0.1658;0.1625;0.18
A;0.243;0.2552;0.2607;0.2893;0.3167;0.34;0.372;0.4155;0.4305;0.461;0.5072;0.5375;0.5525;0.5867;0.5985;0.6;0.6005;0.556;0.542;0.5135;0.469;0.4263;0.364;0.3147;0.2712;0.2657;0.2155;0.21;0.1868;0.1742;0.1698;0.15;0.1427;0.163;0.1442;0.151;0.1497;0.1573;0.1595;0.1518;0.146;0.1437;0.163;0.1475;0.147;0.152
A;0.2542;0.2547;0.2622;0.285;0.2963;0.3347;0.359;0.3837;0.434;0.4542;0.4843;0.5275;0.5787;0.569;0.5955;0.5767;0.5823;0.5783;0.516;0.5048;0.4645;0.4215;0.362;0.3187;0.3018;0.244;0.2215;0.1993;0.1825;0.1698;0.1613;0.1615;0.1643;0.157;0.157;0.1548;0.15;0.1533;0.1487;0.157;0.1553;0.154;0.1618;0.1548;0.1615;0.1635
A;0.2603;0.2706;0.2842;0.3039;0.3372;0.3308;0.3692;0.4267;0.4472;0.5003;0.5092;0.5456;0.5872;0.5833;0.6214;0.6425;0.6317;0.5961;0.5653;0.5161;0.5025;0.4506;0.3889;0.3636;0.2933;0.2628;0.2267;0.2114;0.1836;0.1858;0.1811;0.18;0.1539;0.1517;0.17;0.1631;0.1578;0.1542;0.1567;0.1672;0.1569;0.1703;0.1553;0.1528;0.1556;0.1642
A;0.2397;0.2545;0.2617;0.2717;0.296;0.3113;0.3543;0.3837;0.4055;0.4542;0.4968;0.5132;0.544;0.5605;0.582;0.5585;0.5773;0.544;0.5235;0.4895;0.4442;0.4018;0.356;0.3068;0.271;0.2375;0.2168;0.1772;0.175;0.1668;0.157;0.1477;0.1497;0.1388;0.151;0.148;0.1505;0.1518;0.1405;0.1497;0.149;0.1457;0.1437;0.148;0.163;0.1543
A;0.2459;0.2611;0.2978;0.2805;0.3149;0.3357;0.3665;0.4105;0.4419;0.4824;0.5122;0.5589;0.5554;0.5851;0.6205;0.6203;0.6405;0.5762;0.5719;0.5249;0.4841;0.4203;0.4041;0.3276;0.2889;0.2586;0.2149;0.2068;0.1851;0.1708;0.1649;0.1668;0.1522;0.1554;0.1592;0.1562;0.1532;0.1519;0.1714;0.1627;0.1505;0.1595;0.1573;0.1586;0.1578;0.1527
