Class;57;58;59;60;61;62;63;64;65;66;67;68;69;70
A;125.0;136.0;167.0;193.0;223.0;269.0;245.0;226.0;203.0;171.0;147.0;118.0;110.0;121.0
A;124.0;119.0;136.0;155.0;169.0;194.0;194.0;195.0;171.0;142.0;118.0;120.0;92.0;102.0
A;134.0;123.0;141.0;172.0;176.0;223.0;229.0;241.0;210.0;155.0;137.0;104.0;108.0;101.0
A;118.0;127.0;126.0;138.0;170.0;196.0;222.0;195.0;184.0;172.0;117.0;140.0;100.0;101.0
A;136.0;128.0;122.0;124.0;155.0;213.0;226.0;225.0;218.0;181.0;156.0;124.0;103.0;97.0
A;126.0;137.0;150.0;169.0;209.0;233.0;245.0;243.0;212.0;213.0;161.0;123.0;113.0;94.0
A;147.0;155.0;137.0;160.0;211.0;239.0;271.0;236.0;223.0;189.0;151.0;145.0;113.0;119.0
A;162.0;140.0;168.0;180.0;250.0;271.0;279.0;275.0;259.0;247.0;221.0;153.0;105.0;113.0
A;165.0;165.0;185.0;248.0;258.0;289.0;294.0;285.0;231.0;205.0;147.0;149.0;130.0;109.0
A;131.0;125.0;154.0;166.0;217.0;237.0;241.0;243.0;226.0;182.0;144.0;134.0;124.0;106.0
A;108.0;118.0;120.0;148.0;155.0;179.0;181.0;182.0;160.0;131.0;106.0;132.0;111.0;98.0
A;143.0;156.0;157.0;199.0;264.0;253.0;280.0;277.0;197.0;168.0;150.0;132.0;100.0;109.0
A;133.0;149.0;133.0;187.0;212.0;252.0;286.0;294.0;256.0;210.0;169.0;124.0;112.0;129.0
A;155.0;149.0;156.0;162.0;190.0;247.0;257.0;235.0;212.0;160.0;172.0;121.0;120.0;107.0
A;144.0;136.0;137.0;186.0;225.0;258.0;286.0;288.0;244.0;225.0;187.0;128.0;115.0;133.0
A;148.0;129.0;154.0;159.0;167.0;214.0;202.0;230.0;219.0;196.0;154.0;134.0;112.0;111.0
A;159.0;146.0;178.0;240.0;296.0;342.0;283.0;273.0;256.0;190.0;147.0;133.0;124.0;126.0
