Class;6.1;6.12;6.14;6.16;6.18;6.2;6.22;6.24;6.26;6.28;6.3;6.32;6.34;6.36;6.38;6.4;6.42;6.44;6.46;6.48;6.5;6.52;6.54;6.56;6.58;6.6;6.62;6.64;6.66;6.68;6.7;6.72;6.74;6.76
A;4.05;4.15;4.21;4.17;4.48;4.67;4.84;5.07;5.92;6.94;8.63;10.71;13.6;16.57;19.37;21.07;20.92;18.86;16.8;13.45;10.17;8.26;6.39;5.51;5.13;4.81;4.79;4.54;4.44;4.55;4.43;4.71;4.58;4.72
A;4.18;4.19;4.13;4.35;4.61;4.86;5.12;5.86;7.48;10.0;14.73;21.45;30.05;38.02;45.87;50.43;49.51;45.19;36.77;27.6;19.5;13.19;9.59;6.88;5.77;5.15;4.82;4.78;4.7;4.55;4.65;4.78;4.69;4.77
A;4.05;4.17;4.33;4.35;4.64;4.85;5.21;5.93;7.37;9.97;14.04;20.12;27.93;36.11;43.34;47.81;46.95;42.59;34.81;26.51;18.97;13.19;9.36;6.87;5.63;5.13;4.84;4.85;4.69;4.66;4.72;4.57;4.75;4.87
A;4.02;4.03;4.02;4.2;4.27;4.57;4.86;5.06;5.79;6.93;8.88;11.18;14.43;18.46;21.1;22.71;22.6;20.56;17.19;13.61;10.62;8.09;6.6;5.33;4.75;4.81;4.49;4.36;4.43;4.48;4.51;4.59;4.49;4.64
A;4.13;4.03;4.34;4.48;4.42;4.57;4.93;5.23;5.67;6.68;8.03;10.06;12.76;15.37;18.02;19.0;19.15;17.44;14.83;11.97;9.24;7.25;5.94;5.19;4.69;4.69;4.63;4.61;4.68;4.75;4.51;4.79;4.66;4.75
A;4.2;4.22;4.39;4.3;4.72;4.83;5.41;5.63;6.48;7.92;10.74;14.12;18.76;23.85;27.26;29.48;29.92;26.43;22.38;17.87;13.09;9.7;7.51;5.97;5.36;5.2;4.8;4.76;4.95;4.96;4.84;4.87;4.95;5.15
A;4.16;4.24;4.28;4.27;4.5;4.79;5.31;6.07;7.33;9.56;13.42;18.85;26.12;34.3;40.56;43.98;42.75;39.11;31.99;24.72;17.52;12.15;8.56;6.47;5.46;5.03;4.85;4.76;4.84;4.71;4.66;4.55;4.78;4.92
A;4.06;4.22;4.36;4.33;4.54;4.68;4.89;5.15;5.71;6.53;7.64;9.43;11.54;14.16;15.73;16.79;16.65;15.09;13.22;10.77;8.45;6.84;5.76;5.06;4.82;4.77;4.71;4.86;4.87;4.66;4.53;4.53;4.67;4.85
A;4.09;4.14;4.16;4.36;4.56;4.84;5.13;5.58;6.38;7.87;10.03;13.4;17.57;21.94;25.95;27.83;27.76;24.96;21.26;16.35;12.32;9.56;7.22;5.93;5.22;4.89;4.81;4.86;4.69;4.69;4.85;5.0;4.81;4.86
A;3.93;4.04;4.12;3.93;4.26;4.41;4.46;4.85;5.22;5.72;6.39;7.69;8.65;10.38;11.25;12.08;11.84;11.31;9.86;8.22;7.09;5.74;5.22;4.61;4.62;4.61;4.46;4.5;4.52;4.56;4.48;4.59;4.32;4.4
A;4.06;3.92;4.03;4.21;4.22;4.46;4.56;4.73;5.36;5.82;7.05;8.73;10.58;12.48;14.27;15.23;15.31;14.22;12.33;10.06;8.5;6.88;5.68;4.82;4.7;4.78;4.55;4.41;4.41;4.51;4.34;4.37;4.38;4.3
A;4.22;4.04;4.27;4.67;4.63;4.69;5.09;5.39;5.71;6.75;8.17;10.47;12.88;15.78;18.12;19.33;18.82;17.58;14.88;11.89;9.39;7.32;6.09;5.36;4.85;4.82;4.83;4.67;4.83;4.69;4.89;4.86;4.73;4.9
A;3.96;3.92;4.03;4.12;4.23;4.5;4.69;4.92;5.52;6.37;7.63;9.13;11.41;13.8;15.79;16.96;16.44;15.14;13.03;10.34;8.27;6.59;5.37;4.94;4.74;4.47;4.54;4.62;4.51;4.5;4.55;4.57;4.71;4.63
A;3.94;3.92;4.05;4.11;4.45;4.54;4.8;5.43;6.27;7.62;10.3;14.26;19.07;23.75;29.16;31.14;30.38;27.78;22.85;18.12;13.31;9.52;7.43;5.81;5.31;4.84;4.46;4.5;4.45;4.49;4.68;4.49;4.4;4.62
A;4.41;4.33;4.33;4.5;4.8;4.81;5.11;5.82;7.01;9.0;12.6;17.73;24.22;31.2;36.98;40.57;39.9;36.29;29.91;22.99;16.63;11.49;8.39;6.64;5.57;5.26;5.01;4.76;4.87;4.83;4.8;4.89;4.83;4.84
A;3.96;4.2;4.07;4.25;4.41;4.63;4.57;5.3;6.01;7.3;9.29;12.23;15.66;20.17;23.33;25.6;25.5;22.83;18.82;15.03;11.38;8.44;6.71;5.65;4.97;4.78;4.73;4.61;4.58;4.61;4.61;4.57;4.55;4.63
A;3.98;4.13;3.99;4.07;4.41;4.37;4.8;4.84;5.62;6.45;8.24;10.17;13.27;15.68;17.93;19.91;19.41;17.94;14.98;12.09;9.21;7.27;6.0;5.21;4.8;4.56;4.43;4.23;4.39;4.61;4.5;4.34;4.55;4.57
A;4.18;4.17;4.26;4.35;4.59;4.6;5.06;5.27;5.84;6.55;8.05;9.95;12.23;14.65;16.75;18.26;17.91;16.44;14.15;11.89;9.29;7.34;6.2;5.25;4.98;4.69;4.75;4.63;4.7;4.71;4.58;4.75;4.98;4.63
A;4.15;4.17;4.2;4.42;4.38;4.78;4.82;5.11;5.5;6.19;6.76;8.14;9.58;11.21;12.36;13.45;13.23;12.21;10.84;9.09;7.6;6.54;5.3;4.87;4.79;4.56;4.64;4.83;4.57;4.71;4.71;4.84;4.83;4.89
A;4.18;4.12;4.2;4.4;4.65;4.67;4.95;5.45;5.93;6.98;8.74;10.94;13.55;16.85;19.49;20.77;20.81;19.13;16.07;13.07;10.31;8.05;6.5;5.46;5.14;4.94;4.57;4.85;4.56;4.6;4.67;4.71;4.69;4.83
A;4.28;4.23;4.31;4.64;4.57;4.89;5.55;6.37;7.69;11.04;16.49;24.07;33.93;44.94;53.59;59.39;58.47;53.06;43.18;32.94;23.03;15.12;10.27;7.63;6.06;5.1;4.95;4.79;4.82;4.8;4.84;4.98;4.92;4.79
A;4.1;4.16;4.39;4.4;4.46;4.88;5.32;5.62;6.81;8.69;12.16;17.05;23.3;29.64;36.12;38.36;38.55;34.14;28.7;22.12;16.09;11.4;8.51;6.52;5.59;5.03;4.78;4.61;4.74;4.68;4.75;4.72;4.68;4.73
A;4.07;4.18;4.27;4.44;4.41;4.69;5.06;5.45;6.23;7.52;9.75;13.32;17.46;22.55;25.93;27.93;28.18;25.49;21.34;16.76;12.95;9.64;7.08;5.65;5.2;4.68;4.68;4.77;4.42;4.43;4.75;4.63;4.67;4.74
A;3.93;4.02;4.01;4.19;4.22;4.44;4.8;5.14;6.1;7.47;9.71;13.11;17.07;21.48;25.53;27.33;27.14;24.67;20.62;16.29;12.08;8.74;6.8;5.6;4.89;4.56;4.5;4.57;4.55;4.42;4.3;4.56;4.47;4.71
A;3.88;3.85;4.14;4.2;4.23;4.55;4.75;5.48;6.68;8.88;12.5;17.65;24.59;31.93;38.05;41.18;41.01;36.55;29.97;23.51;16.19;11.49;8.02;6.4;5.19;4.85;4.59;4.61;4.5;4.56;4.42;4.32;4.44;4.39
A;4.44;4.52;4.48;4.68;5.01;4.76;5.24;5.67;6.55;8.25;11.01;14.55;19.45;24.77;29.41;31.77;31.21;28.44;23.68;18.55;13.58;10.2;7.6;6.33;5.47;4.96;5.01;4.87;4.9;5.07;5.02;5.06;5.01;5.3
A;4.16;4.13;4.22;4.41;4.5;4.72;5.07;5.56;6.3;8.3;11.08;15.44;20.92;26.82;31.33;34.14;33.7;30.32;24.85;19.31;14.49;10.35;7.81;6.16;5.1;4.65;4.91;4.44;4.69;4.84;4.64;4.59;4.68;4.83
A;3.77;3.88;4.14;4.09;4.25;4.3;4.6;4.83;5.36;6.07;7.11;8.77;11.22;13.53;15.54;16.28;16.1;14.94;12.85;10.3;8.26;6.45;5.57;4.92;4.55;4.23;4.37;4.23;4.62;4.43;4.41;4.55;4.49;4.56
A;3.81;4.16;4.05;4.13;4.39;4.42;4.7;5.05;5.82;7.25;9.35;12.57;16.35;20.47;24.16;26.51;26.15;23.61;19.65;15.5;11.74;8.42;6.37;5.36;5.17;4.58;4.43;4.38;4.53;4.58;4.56;4.43;4.6;4.53
A;4.17;4.18;4.38;4.35;4.59;4.68;5.27;6.01;7.95;10.95;16.06;24.02;33.56;44.21;52.22;58.22;57.31;51.37;41.62;31.88;22.28;15.77;10.01;7.36;5.79;5.22;4.85;4.92;4.61;4.67;4.64;4.68;4.73;4.86
A;4.54;4.37;4.6;4.72;4.9;5.19;5.74;6.75;8.79;12.47;18.58;27.49;39.14;51.93;62.82;68.46;67.61;60.85;50.2;37.42;26.31;17.37;11.36;8.13;6.39;5.48;5.16;5.06;4.94;4.88;4.98;5.12;4.94;5.03
A;3.91;3.76;3.96;4.13;4.08;4.38;4.58;4.9;6.0;7.13;8.72;12.24;15.78;20.0;23.59;25.17;25.16;22.88;19.15;14.6;11.28;8.22;6.15;5.1;4.78;4.44;4.18;4.45;4.47;4.18;4.2;4.27;4.48;4.4
A;4.28;4.21;4.39;4.34;4.57;4.75;4.87;5.37;6.16;6.91;8.42;10.87;13.71;16.7;19.35;20.95;20.81;18.8;16.48;13.24;10.34;8.01;6.47;5.66;5.03;4.64;4.77;4.74;4.55;4.6;4.84;4.68;4.78;4.81
A;4.08;4.01;4.27;4.28;4.31;4.65;4.94;5.12;5.49;6.46;7.94;9.66;12.32;14.87;16.93;18.22;17.81;16.54;14.13;11.68;9.11;7.21;6.21;5.31;4.84;4.58;4.63;4.7;4.7;4.66;4.58;4.79;4.68;4.78
A;3.94;4.17;4.3;4.34;4.47;4.9;5.22;5.82;6.95;9.47;13.66;19.05;26.77;34.38;41.56;44.85;44.62;40.19;33.41;25.37;17.42;12.07;8.62;6.77;5.59;5.01;4.83;4.74;4.75;4.58;4.77;4.83;4.68;4.69
A;4.2;4.04;4.37;4.32;4.31;4.53;4.78;5.21;5.59;6.45;7.55;9.12;11.24;13.52;15.37;16.12;16.15;15.08;13.04;10.7;8.69;6.97;5.74;5.42;4.71;4.79;4.84;4.68;4.67;4.61;4.58;4.71;4.64;4.99
A;3.85;3.94;4.09;4.17;4.36;4.48;4.85;5.08;5.92;7.29;9.14;12.12;15.76;20.25;23.1;25.41;24.62;22.29;18.71;14.53;11.11;8.08;6.33;5.43;4.81;4.57;4.62;4.78;4.59;4.58;4.51;4.5;4.67;4.52
A;4.22;4.23;4.5;4.48;4.52;5.21;5.26;6.8;8.7;13.02;20.05;29.61;42.93;56.67;68.57;74.19;73.72;65.14;53.16;39.74;27.8;18.11;11.61;7.93;6.33;5.37;4.99;4.98;4.65;4.76;4.77;4.83;4.92;4.75
A;3.79;3.94;3.9;3.93;4.04;4.47;4.55;4.87;5.31;6.28;7.45;9.42;12.14;14.33;16.92;18.26;17.66;16.25;14.23;11.52;8.69;7.17;5.86;4.97;4.57;4.58;4.49;4.47;4.3;4.34;4.23;4.42;4.46;4.54
A;4.27;4.44;4.57;4.58;4.85;5.19;5.46;6.07;7.13;9.01;12.35;17.2;22.93;28.98;34.7;37.59;37.44;33.84;28.42;21.75;16.12;11.46;8.14;6.7;5.71;5.32;5.04;5.08;5.11;5.11;5.03;5.16;5.02;5.22
B;3.78;4.14;3.98;4.23;4.21;4.61;4.8;4.73;5.11;5.66;6.44;7.71;8.88;10.25;11.77;12.38;12.4;11.36;9.82;8.62;7.0;5.9;5.23;4.54;4.62;4.42;4.36;4.51;4.33;4.57;4.59;4.38;4.55;4.61
B;4.36;4.2;4.51;4.66;4.68;4.83;4.88;5.28;5.45;6.2;6.74;7.54;8.62;9.35;10.58;10.61;10.71;9.76;8.69;7.46;6.58;5.86;5.24;4.94;5.03;4.78;4.91;4.88;4.68;4.85;5.01;5.0;4.99;4.91
B;4.22;4.32;4.28;4.43;4.52;4.52;4.9;5.28;5.74;6.83;8.24;9.98;12.73;15.2;17.19;17.8;17.26;15.24;12.7;9.88;8.24;6.48;5.53;4.87;4.63;4.68;4.44;4.64;4.52;4.41;4.57;4.64;4.66;5.0
B;4.1;4.08;3.91;4.26;4.55;4.68;4.72;4.6;5.25;5.59;6.3;7.42;8.62;10.21;11.36;11.89;11.81;10.92;9.85;8.3;7.03;6.24;5.38;5.0;4.69;4.6;4.42;4.32;4.5;4.4;4.46;4.54;4.61;4.57
B;4.1;4.13;4.16;4.39;4.58;4.79;4.89;5.1;5.42;6.08;6.74;7.79;9.08;10.48;12.31;12.17;12.09;11.46;10.45;8.9;7.54;6.49;5.63;5.16;5.04;4.73;4.57;4.64;4.61;4.62;4.65;4.85;4.88;4.71
B;3.82;3.92;3.93;4.21;4.3;4.31;4.71;5.0;5.2;5.74;6.81;7.5;9.32;11.12;12.01;12.28;11.83;10.71;9.23;7.87;6.53;5.35;5.08;4.57;4.44;4.47;4.3;4.22;4.53;4.28;4.63;4.42;4.28;4.56
B;4.37;4.3;4.44;4.52;4.69;4.74;5.1;5.41;5.58;6.07;6.98;8.28;9.38;11.02;12.4;12.98;12.48;11.92;10.48;9.13;7.72;6.67;6.07;5.56;5.1;4.75;4.83;4.77;4.72;4.8;4.81;4.96;4.96;5.07
B;4.17;4.27;4.5;4.62;4.75;4.93;5.13;5.29;5.68;6.41;7.27;8.17;9.46;10.81;11.22;12.07;11.87;10.63;9.93;8.34;7.05;6.34;5.55;5.24;4.98;4.76;4.92;4.75;4.77;4.93;4.83;4.76;4.9;5.08
