energy;Mean_Abs_SHAP
3.34;0.007007919629551065
13.4;0.006513374959297549
13.42;0.006113954681370889
19.18;0.0052865825427983355
2.58;0.004102975539619662
3.24;0.003857021349976102
13.34;0.003382844764060827
2.5;0.0033182035463255226
3.7;0.0031882191159387477
19.56;0.0028435427559095217
19.06;0.0027606261579335746
2.62;0.002679874422786553
13.44;0.002504256725666734
13.32;0.0023922761088740092
13.36;0.002060718565108346
19.16;0.0019220920054441623
18.2;0.0018260668608826203
20.28;0.0018117476925104794
3.28;0.0014277028341408036
13.5;0.0014029546202510602
3.64;0.0013096423571694357
19.66;0.0012869187428449884
20.04;0.001235364376879176
3.58;0.0012297375594789686
3.2;0.0011710559614831046
21.74;0.0011678562462392145
19.32;0.0011372766836048919
2.3;0.0011213106143605238
8.62;0.001102972699506044
19.38;0.001101587252926258
13.48;0.001085292055670733
20.16;0.001069057322741921
21.72;0.0010420509643392908
21.46;0.0009948166190141068
19.02;0.000994756322189186
21;0.0009216956496098237
3.68;0.0008797255011314966
22.18;0.0008554509782408018
13.26;0.0008502996623696766
15.12;0.0008392501226829334
3.26;0.000814454432710468
21.88;0.0007675650369636197
2.52;0.0007526330846695261
21.34;0.0007480615681529403
14.1;0.0007377081134738755
15.78;0.0006868532473712481
8;0.0006505173417602582
11.22;0.0006359008072314054
19.68;0.0006354464656982291
19.52;0.0006342361245981878
7;0.0006213659779201344
15.18;0.0006027199445137262
21.76;0.0005989851699456958
3.22;0.0005968919078846756
18.34;0.0005728991031288043
6.38;0.0005562845830492132
13.92;0.0005270328376771848
3.72;0.0005109529463818469
18.56;0.0004893507695425676
15;0.0004534085638266108
23.08;0.00043638202765943553
3.3;0.0004344131817963111
15.7;0.00041381249619436023
2.48;0.00038714260903491754
3.18;0.00038675874253098154
14.46;0.00038587473785378396
19.86;0.0003720414499032486
6.16;0.000362032120572284
13.28;0.0003589907447039408
14.9;0.00035851694295948217
18.48;0.000353875441417035
11.12;0.0003522364584409668
15.56;0.0003498724623496259
4.58;0.0003448339394375038
20.18;0.00034039463762950805
22.58;0.000336145155383434
18.5;0.0003349366537198728
19.7;0.0003251179661575758
11.92;0.0003212507754299396
8.5;0.0003151105974512123
10.9;0.0003147456340874369
17.78;0.00031289677395237675
20.78;0.00031031605778016844
6.02;0.00030935060941503424
19.04;0.0003025613396772809
12.28;0.00030100059013249213
10.1;0.0002992500899364864
