Class;6.8;6.82;6.84;6.86;6.88;6.9;6.92;6.94;6.96;6.98;7;7.02;7.04;7.06;7.08;7.1;7.12;7.14;7.16;7.18;7.2;7.22;7.24;7.26;7.28;7.3
A;2.531752928;2.629197445;3.082133999;3.821990521;4.718840988;6.840966036;10.38145017;16.11263143;25.05767723;36.96756271;50.44377857;62.34464141;71.39074079;73.5363247;69.93087755;59.46641909;45.04282596;32.21984927;20.42184453;12.16071488;6.689385675;3.545897721;1.923626957;1.2072293;0.992490456;0.923918388
A;2.48;2.76;3.015;3.405;4.31;5.97;8.875;13.84;21.365;31.925;45.43;58.72;70.21;76.58;76.18;68.265;56.395;41.485;29.495;17.905;10.325;5.865;3.07;1.88;1.19;0.96
A;2.685;2.865;3.24;3.76;4.745;6.335;9.135;14.23;21.84;33.275;47.125;61.04;74.035;79.92;80.445;73.245;60.58;45.355;31.11;19.555;11.33;6.535;3.58;1.99;1.415;1.0
A;2.547954219;2.583556194;3.016320198;3.491628094;4.542089303;6.273802486;9.250498462;15.10392053;23.5020926;34.49565315;47.60172595;60.35523781;69.65742235;73.90329116;69.38329262;60.31529107;47.55398775;33.43183514;22.18280105;13.04918028;7.375311197;4.023958643;2.146924349;1.29850298;0.891615967;0.869897823
A;2.575;2.75;3.11;3.57;4.625;6.1;9.13;14.4;22.595;33.61;48.41;62.58;74.595;81.02;79.95;72.025;58.89;44.075;29.845;18.96;10.91;5.87;3.275;1.765;1.16;0.915
A;2.508463008;2.683113733;3.061296496;3.378294742;4.512760685;6.185670365;9.389333845;15.30293482;23.47857749;34.74968278;48.14215949;60.78341024;69.93710648;73.14940628;69.61976837;59.84872806;47.34250792;33.90874134;22.27556372;13.14382417;7.484051239;4.060767749;2.186184451;1.383012182;1.085883126;0.909385959
A;2.463999671;2.618546545;3.066923363;3.513657644;4.45391154;6.324060783;9.31207376;15.0285403;23.74055113;34.63622962;47.17412045;60.88505146;69.47528792;72.49202911;69.49895362;59.03742793;46.32425117;32.66387115;21.70198708;12.88667369;7.083464082;3.765808686;2.123294983;1.384105062;0.954120654;0.839207795
A;2.775;2.755;3.105;3.67;4.545;6.29;9.365;14.16;21.905;33.095;47.05;60.66;72.435;78.595;78.13;70.2;57.98;43.22;29.445;18.315;10.61;5.885;3.21;1.855;1.3;1.0
A;2.565;2.755;3.03;3.61;4.405;6.16;8.855;13.835;21.635;32.67;46.095;59.62;71.715;77.59;77.08;69.9;57.58;43.265;29.025;18.56;10.725;5.745;3.225;1.775;1.22;0.965
