Class;2.2;2.22;2.24;2.26;2.28;2.3;2.32;2.34;2.36;2.38;2.4;2.42;2.44;2.46;2.48;2.5;2.52;2.54
A;0.255;0.335;0.35;0.49;0.6;0.695;0.715;0.67;0.665;0.555;0.515;0.46;0.47;0.41;0.46;0.505;0.49;0.535
A;0.27;0.295;0.41;0.53;0.65;0.765;0.815;0.755;0.665;0.55;0.48;0.475;0.44;0.41;0.43;0.465;0.535;0.51
A;0.25;0.315;0.385;0.46;0.595;0.72;0.635;0.715;0.615;0.595;0.52;0.445;0.415;0.45;0.445;0.47;0.54;0.615
A;0.275;0.26;0.315;0.375;0.495;0.57;0.575;0.615;0.54;0.53;0.465;0.41;0.435;0.425;0.475;0.465;0.495;0.615
A;0.255;0.245;0.32;0.44;0.57;0.635;0.63;0.695;0.63;0.64;0.48;0.47;0.425;0.42;0.4;0.405;0.455;0.58
A;0.25;0.325;0.425;0.53;0.71;0.77;0.89;0.83;0.655;0.635;0.5;0.445;0.445;0.465;0.455;0.485;0.52;0.555
A;0.285;0.305;0.435;0.595;0.725;0.765;0.85;0.785;0.69;0.64;0.6;0.495;0.455;0.455;0.385;0.51;0.51;0.57
A;0.27;0.31;0.355;0.48;0.66;0.7;0.81;0.735;0.645;0.59;0.52;0.435;0.445;0.44;0.37;0.5;0.52;0.545
A;0.255;0.3;0.335;0.44;0.55;0.68;0.695;0.635;0.635;0.605;0.535;0.46;0.46;0.47;0.455;0.44;0.53;0.6
A;0.29;0.285;0.4;0.41;0.6;0.605;0.75;0.675;0.58;0.595;0.52;0.48;0.475;0.465;0.445;0.445;0.495;0.52
A;0.295;0.285;0.405;0.505;0.72;0.9;0.92;0.85;0.71;0.685;0.53;0.515;0.495;0.445;0.455;0.545;0.515;0.575
A;0.295;0.325;0.32;0.45;0.535;0.68;0.645;0.625;0.685;0.57;0.5;0.475;0.4;0.44;0.455;0.475;0.52;0.63
A;0.3;0.345;0.45;0.54;0.655;0.79;0.855;0.78;0.76;0.65;0.565;0.49;0.45;0.455;0.48;0.45;0.53;0.545
A;0.25;0.31;0.34;0.465;0.6;0.63;0.7;0.7;0.59;0.535;0.485;0.47;0.45;0.42;0.475;0.46;0.43;0.565
A;0.25;0.295;0.33;0.395;0.53;0.55;0.625;0.595;0.625;0.545;0.475;0.435;0.37;0.445;0.405;0.41;0.51;0.575
A;0.27;0.275;0.34;0.45;0.48;0.705;0.63;0.675;0.595;0.565;0.5;0.435;0.39;0.385;0.41;0.495;0.47;0.595
A;0.235;0.285;0.37;0.45;0.535;0.59;0.65;0.605;0.575;0.51;0.515;0.47;0.45;0.465;0.435;0.415;0.485;0.59
A;0.22;0.29;0.34;0.4;0.505;0.62;0.685;0.675;0.585;0.58;0.55;0.5;0.445;0.435;0.43;0.415;0.46;0.58
A;0.23;0.295;0.33;0.4;0.52;0.615;0.67;0.695;0.615;0.535;0.55;0.435;0.43;0.43;0.455;0.48;0.455;0.52
A;0.27;0.315;0.38;0.505;0.62;0.805;0.785;0.755;0.69;0.57;0.565;0.475;0.475;0.445;0.44;0.5;0.49;0.56
A;0.27;0.295;0.46;0.535;0.65;0.79;0.84;0.77;0.645;0.6;0.59;0.475;0.435;0.435;0.435;0.455;0.495;0.57
A;0.27;0.32;0.365;0.52;0.685;0.825;0.785;0.79;0.65;0.56;0.5;0.505;0.415;0.49;0.465;0.52;0.485;0.62
A;0.26;0.275;0.36;0.465;0.555;0.6;0.695;0.65;0.645;0.51;0.52;0.465;0.47;0.41;0.47;0.405;0.495;0.625
A;0.24;0.28;0.36;0.43;0.55;0.63;0.665;0.695;0.695;0.6;0.545;0.455;0.41;0.455;0.48;0.495;0.525;0.55
A;0.28;0.31;0.425;0.505;0.585;0.745;0.76;0.72;0.67;0.585;0.495;0.46;0.49;0.42;0.455;0.47;0.46;0.515
A;0.29;0.34;0.425;0.51;0.665;0.785;0.84;0.785;0.685;0.57;0.525;0.485;0.445;0.455;0.47;0.46;0.48;0.545
A;0.25;0.265;0.36;0.41;0.585;0.58;0.675;0.595;0.58;0.57;0.455;0.415;0.395;0.425;0.365;0.44;0.465;0.575
A;0.215;0.245;0.43;0.525;0.56;0.705;0.755;0.74;0.645;0.58;0.52;0.42;0.465;0.49;0.41;0.51;0.47;0.635
A;0.3;0.34;0.38;0.465;0.695;0.705;0.72;0.685;0.69;0.59;0.505;0.475;0.455;0.45;0.395;0.455;0.52;0.535
A;0.235;0.275;0.365;0.445;0.53;0.595;0.53;0.665;0.63;0.545;0.49;0.48;0.455;0.435;0.44;0.51;0.495;0.51
A;0.235;0.295;0.39;0.51;0.645;0.7;0.775;0.725;0.675;0.53;0.525;0.49;0.46;0.45;0.445;0.495;0.47;0.565
A;0.29;0.285;0.395;0.465;0.54;0.62;0.72;0.65;0.6;0.58;0.53;0.47;0.43;0.435;0.46;0.45;0.455;0.605
A;0.25;0.305;0.395;0.495;0.62;0.775;0.785;0.755;0.665;0.565;0.505;0.455;0.44;0.42;0.405;0.46;0.525;0.575
A;0.28;0.31;0.37;0.55;0.61;0.76;0.9;0.77;0.69;0.65;0.58;0.57;0.48;0.43;0.44;0.5;0.51;0.62
A;0.265;0.28;0.32;0.445;0.55;0.625;0.635;0.665;0.595;0.535;0.495;0.51;0.47;0.445;0.4;0.44;0.495;0.545
