Shap;Permutation;LRC_perturbation;LRC_covariance
Ag La;Ag ka;Ag La;Ag La
Ag ka;Ag La;Ag Lb;Ag Lb
Ag Lb;Ag Lb;Ag ka;Ag ka
Zn;Zn;Ag compton;Bremsstrahlung
Fe;Fe;Zn;Ag compton
Ag compton;Ag compton;Fe;Fe
Bremsstrahlung;Bremsstrahlung;Ca;Ca
Cu;Ca;Bremsstrahlung;Cu
background;Cu;Cu;Zn
Ca;background;background;background
;;;
