energy;Reg_coef;Abs_Reg_coef;Zone
22.08;0.012666071939197821;0.012666071939197821;Ag ka
22.13;0.011839600280231719;0.011839600280231719;Ag ka
22.16;0.011347022475981497;0.011347022475981497;Ag ka
22.10;0.010657739162691712;0.010657739162691712;Ag ka
22.23;0.01030292571431439;0.01030292571431439;Ag ka
8.75;0.01022657200658072;0.01022657200658072;Zn
2.99;-0.010069602967320578;0.010069602967320578;Ag La
21.98;0.010053779015306314;0.010053779015306314;Ag ka
22.05;0.009136011303440012;0.009136011303440012;Ag ka
8.67;0.009049965321558655;0.009049965321558655;Zn
6.35;-0.008967689038568944;0.008967689038568944;Fe
6.42;-0.008654345976350755;0.008654345976350755;Fe
3.07;-0.008118760427860734;0.008118760427860734;Ag La
22.21;0.008105494567439418;0.008105494567439418;Ag ka
8.73;0.007682488426271595;0.007682488426271595;Zn
22.18;0.0075904721031186785;0.0075904721031186785;Ag ka
22.03;0.007372525991740538;0.007372525991740538;Ag ka
8.70;0.007344777504421238;0.007344777504421238;Zn
6.45;-0.007270493148570605;0.007270493148570605;Fe
21.95;0.007013948416656428;0.007013948416656428;Ag ka
2.94;-0.006997738848638943;0.006997738848638943;Ag La
3.22;-0.006824852366582148;0.006824852366582148;Ag Lb
22.00;0.006546119062981236;0.006546119062981236;Ag ka
3.15;-0.006481477060530462;0.006481477060530462;Ag Lb
18.27;-0.006314966508797389;0.006314966508797389;Bremsstrahlung
22.28;0.0062896782446736415;0.0062896782446736415;Ag ka
21.41;-0.006187131531159667;0.006187131531159667;Ag compton
12.31;0.006130480180994227;0.006130480180994227;Bremsstrahlung
6.40;-0.005882514974591878;0.005882514974591878;Fe
11.23;0.005801009083304547;0.005801009083304547;Bremsstrahlung
17.99;-0.0056794721847783555;0.0056794721847783555;Bremsstrahlung
18.57;-0.0056231843262505715;0.0056231843262505715;Bremsstrahlung
3.17;-0.005582655749301781;0.005582655749301781;Ag Lb
6.50;-0.005494125742071307;0.005494125742071307;Fe
10.75;0.00547960198466538;0.00547960198466538;Bremsstrahlung
12.97;-0.005460501321077399;0.005460501321077399;Bremsstrahlung
10.11;0.005458969270730449;0.005458969270730449;Bremsstrahlung
3.02;-0.005366091980504426;0.005366091980504426;Ag La
3.89;0.005327152499037859;0.005327152499037859;Ca
18.45;-0.005287337726440274;0.005287337726440274;Bremsstrahlung
19.80;-0.005137531355328905;0.005137531355328905;Bremsstrahlung
20.44;-0.005113991852667847;0.005113991852667847;Ag compton
8.60;0.005093685297815474;0.005093685297815474;Zn
8.65;0.005079018809824646;0.005079018809824646;Zn
