Shap;Permutation;LRC_perturbation
Pb-212;Pb-212;Pb-212
Pb-214;Pb-214;Pb-214
Ac-228 + Tl-208;Tl-208;Tl-208
Ac-228;Ac-228 + Tl-208;Ac-228 + Tl-208
Tl-208;Ac-228;Ac-228
background 1;background 1;background 1
K-40;Bi-214;background 2
Bi-214;background 2;K-40
background 2;K-40;Bi-214
;;
