split_seed;LVs;Accuracy Cal;Sensitivity Cal;Specificity Cal;CM Cal;Accuracy CV;Sensitivity CV;Specificity CV;CM CV;Accuracy Pred;Sensitivity Pred;Specificity Pred;CM Pred;X Cum Exp Var;Y Cum Exp Var;X Ind Exp Var;Y Ind Exp Var
0;1;0.75;0.17647058823529413;1.0;"[[39  0]
 [14  3]]";0.75;0.17647058823529413;1.0;"[[39  0]
 [14  3]]";0.6666666666666666;0.0;0.9411764705882353;"[[16  1]
 [ 7  0]]";77.25303137870803;4.2416244421829035;77.25303137870803;4.2416244421829035
1;1;0.6964285714285714;0.0;1.0;"[[39  0]
 [17  0]]";0.6964285714285714;0.0;1.0;"[[39  0]
 [17  0]]";0.7083333333333334;0.0;1.0;"[[17  0]
 [ 7  0]]";85.07490691308419;2.4059665522722793;85.07490691308419;2.4059665522722793
2;1;0.7678571428571429;1.0;0.23529411764705882;"[[ 4 13]
 [ 0 39]]";0.75;0.9743589743589743;0.23529411764705882;"[[ 4 13]
 [ 1 38]]";0.7083333333333334;0.9411764705882353;0.14285714285714285;"[[ 1  6]
 [ 1 16]]";82.27061255274707;4.057950058123536;82.27061255274707;4.057950058123536
