energy;Reg_coef;Abs_Reg_coef;Zone
103;-0.00015885242439514304;0.00015885242439514304;Pb-212
104;-0.0001546546673690365;0.0001546546673690365;Pb-212
102;-0.00015029782792536553;0.00015029782792536553;Pb-212
101;-0.00014796055292153285;0.00014796055292153285;Pb-212
100;-0.00014161095937026988;0.00014161095937026988;Pb-212
105;-0.00014156813285477727;0.00014156813285477727;Pb-212
99;-0.0001312490472715763;0.0001312490472715763;Pb-212
106;-0.00011711991048976174;0.00011711991048976174;Pb-212
98;-0.00011687481662545197;0.00011687481662545197;Pb-212
107;-0.00010536679373309418;0.00010536679373309418;Pb-212
97;-9.848826743189703e-05;9.848826743189703e-05;Pb-212
108;-7.70340974989049e-05;7.70340974989049e-05;Pb-212
96;-7.608939969091139e-05;7.608939969091139e-05;Pb-212
148;-6.56399202321038e-05;6.56399202321038e-05;Pb-214
146;-6.280734104524258e-05;6.280734104524258e-05;Pb-214
147;-6.263534454671185e-05;6.263534454671185e-05;Pb-214
125;-6.203483978178465e-05;6.203483978178465e-05;Pb-214
149;-6.13283773164e-05;6.13283773164e-05;Pb-214
124;-5.96735078566861e-05;5.96735078566861e-05;Pb-214
109;-5.807204512337754e-05;5.807204512337754e-05;Pb-212
126;-5.772274257194298e-05;5.772274257194298e-05;Pb-214
150;-5.606935122993004e-05;5.606935122993004e-05;Pb-214
127;-5.592102406353169e-05;5.592102406353169e-05;Pb-214
137;-5.503571908079086e-05;5.503571908079086e-05;Pb-214
144;-5.362565314083792e-05;5.362565314083792e-05;Pb-214
138;-5.32367039718589e-05;5.32367039718589e-05;Pb-214
123;-5.321786769563033e-05;5.321786769563033e-05;Pb-214
128;-5.301909003822851e-05;5.301909003822851e-05;Pb-214
129;-5.27909056181447e-05;5.27909056181447e-05;Pb-214
145;-5.2296543318387576e-05;5.2296543318387576e-05;Pb-214
136;-5.167763987786693e-05;5.167763987786693e-05;Pb-214
135;-5.1455426275338305e-05;5.1455426275338305e-05;Pb-214
121;-5.090600409122078e-05;5.090600409122078e-05;Pb-214
134;-5.046872436320418e-05;5.046872436320418e-05;Pb-214
143;-5.0244750633676326e-05;5.0244750633676326e-05;Pb-214
95;-4.967821340249501e-05;4.967821340249501e-05;Pb-212
139;-4.938521546611655e-05;4.938521546611655e-05;Pb-214
130;-4.931891410766224e-05;4.931891410766224e-05;Pb-214
