Class;3;3.02;3.04;3.06;3.08;3.1;3.12;3.14;3.16;3.18;3.2;3.22;3.24;3.26;3.28;3.3;3.32;3.34;3.36;3.38;3.4;3.42;3.44
A;0.0622;0.0572;0.0592;0.0561;0.055;0.0553;0.0825;0.1192;0.185;0.3522;0.6614;1.0847;1.6106;1.9894;2.2589;2.1083;1.7678;1.3214;0.8239;0.4731;0.2308;0.1389;0.0978
A;0.0595;0.0536;0.0538;0.0485;0.0674;0.0708;0.0808;0.1185;0.189;0.3605;0.6405;1.039;1.5244;1.9264;2.1305;2.0428;1.7008;1.2538;0.8087;0.4533;0.2379;0.1244;0.0769
A;0.0622;0.0483;0.0511;0.0539;0.06;0.0656;0.0669;0.1164;0.1842;0.3269;0.5944;1.0144;1.4153;1.8125;1.9775;1.9431;1.6275;1.1672;0.7472;0.4186;0.2225;0.1206;0.0894
A;0.0586;0.0608;0.0578;0.0542;0.0608;0.0564;0.0764;0.1175;0.1756;0.345;0.6036;0.9578;1.4172;1.7861;2.0022;1.9461;1.6139;1.1747;0.7386;0.4192;0.2231;0.1344;0.0906
A;0.055;0.056;0.0558;0.0583;0.0527;0.0685;0.0717;0.108;0.1865;0.3428;0.6332;0.989;1.4578;1.8133;2.0133;1.9828;1.6235;1.178;0.7778;0.4163;0.2315;0.12;0.0943
A;0.0553;0.047;0.0522;0.0587;0.0527;0.06;0.0722;0.1038;0.1928;0.3252;0.5915;0.9845;1.4047;1.75;1.9695;1.8743;1.5365;1.1487;0.7218;0.4288;0.2133;0.1268;0.0895
A;0.0533;0.0544;0.0464;0.0478;0.0522;0.0569;0.0692;0.0992;0.1547;0.2922;0.5286;0.8472;1.2517;1.5561;1.7028;1.6214;1.3972;1.0164;0.6478;0.3606;0.1917;0.1058;0.0769
A;0.0537;0.0488;0.0505;0.0432;0.0527;0.0543;0.066;0.1095;0.1615;0.2943;0.5483;0.849;1.2625;1.5288;1.8025;1.7078;1.425;1.0237;0.6498;0.3935;0.1988;0.112;0.0823
A;0.0611;0.0554;0.0565;0.0546;0.0578;0.0632;0.0768;0.1186;0.1924;0.3789;0.6984;1.0914;1.577;2.0419;2.2578;2.1608;1.8081;1.3354;0.8165;0.4714;0.2338;0.137;0.0951
A;0.066;0.0503;0.0494;0.058;0.0606;0.0591;0.0689;0.0963;0.1866;0.3269;0.5857;0.9814;1.3803;1.7509;1.91;1.8526;1.5631;1.1123;0.7097;0.4154;0.2186;0.1203;0.0934
A;0.0508;0.0451;0.0411;0.0424;0.0462;0.0497;0.0624;0.0886;0.127;0.2489;0.4078;0.6681;0.9581;1.2414;1.3927;1.3405;1.1005;0.8249;0.4989;0.2986;0.1589;0.0978;0.0668
A;0.0613;0.0585;0.0605;0.0546;0.0544;0.0595;0.081;0.1136;0.1908;0.3521;0.6418;1.0103;1.4736;1.8808;2.0867;2.0062;1.691;1.2385;0.7767;0.441;0.2364;0.1228;0.0938
A;0.0562;0.0521;0.0574;0.0528;0.0595;0.0621;0.0672;0.1123;0.1823;0.3228;0.5638;0.9256;1.3451;1.7259;1.8977;1.8421;1.5203;1.1179;0.6969;0.409;0.2297;0.1297;0.0874
