Class;1.40;1.42;1.44;1.46;1.48;1.50;1.52;1.54;1.56;1.58;1.60;1.62;1.64;1.66
A;0.38475562;0.412957602;0.485476986;0.457275004;0.459289431;0.404899893;0.427058594;0.503606832;0.439145158;0.439145158;0.390798902;0.368640201;0.366625774;0.348495928
A;0.395035918;0.474043101;0.443655723;0.492275528;0.445681548;0.437578247;0.4578365;0.512533781;0.439604073;0.463913975;0.465939801;0.41124252;0.36464854;0.305899608
A;0.337112125;0.313592674;0.342991988;0.391990843;0.395910752;0.409630431;0.407670477;0.344951942;0.342991988;0.411590385;0.346911896;0.327312354;0.31163272;0.280273453
A;0.391179507;0.391179507;0.437556459;0.445622016;0.43554007;0.415376178;0.467802297;0.441589237;0.445622016;0.45973674;0.399245064;0.413359788;0.350851723;0.330687831
A;0.427535708;0.421514079;0.383377091;0.465672696;0.501802474;0.39742756;0.461658277;0.429542918;0.437571758;0.453629437;0.38739151;0.337211263;0.321153584;0.365312201
A;0.448553165;0.480736351;0.418381427;0.41234708;0.38820969;0.444530266;0.430450122;0.422404325;0.462633309;0.416369978;0.418381427;0.382175342;0.368095198;0.356026503
A;0.415094948;0.44129026;0.417109972;0.427185092;0.433230164;0.465470548;0.459425476;0.538011413;0.489650837;0.435245188;0.378824516;0.4110649;0.358674275;0.316358771
A;0.388710563;0.388710563;0.388710563;0.440805793;0.470860733;0.418765503;0.464849745;0.448820444;0.422772829;0.368673936;0.428783817;0.306560392;0.330604345;0.33461167
A;0.338876809;0.364341541;0.380012145;0.393723923;0.389806272;0.391765098;0.423106305;0.354547413;0.397641574;0.3996004;0.338876809;0.36042389;0.313412078;0.303617951
A;0.409974582;0.447972226;0.431973218;0.397975326;0.453971854;0.411974458;0.443972474;0.417974086;0.409974582;0.421973838;0.369977061;0.375976689;0.349978301;0.407974706
A;0.400143167;0.458455488;0.436337021;0.466498566;0.416229324;0.470520106;0.394110858;0.472530875;0.474541645;0.428293942;0.454433948;0.3780247;0.3780247;0.325744689
A;0.406350103;0.4223639;0.450388045;0.380327683;0.406350103;0.4223639;0.42636735;0.440379422;0.412355277;0.462398393;0.388334581;0.34029319;0.394339755;0.368317335
A;0.388472237;0.408600333;0.394510666;0.400549094;0.422689999;0.499176761;0.450869332;0.450869332;0.444830904;0.422689999;0.452882142;0.422689999;0.330100761;0.362305714
A;0.468136082;0.457914771;0.451781984;0.472224607;0.517198379;0.496755756;0.488578706;0.455870508;0.502888543;0.404763949;0.443604934;0.390454112;0.392498375;0.3965869
A;0.375960742;0.375960742;0.361962204;0.455952389;0.427955313;0.463951554;0.479949884;0.421955939;0.373960951;0.443953642;0.357962622;0.407957401;0.397958445;0.301968468
